area_code,id
3651000,G36085008900
3651000,G36085015400
3651000,G36085990100
3651000,G36061000500
3651000,G36061000100
3651000,G36061031100
3651000,G36061008602
3651000,G36047066600
3651000,G36047096000
3651000,G36047008600
3651000,G36047015400
3651000,G36047990100
3651000,G36047017700
3651000,G36047070203
3651000,G36081071600
3651000,G36081990100
3651000,G36081079300
3651000,G36081010701
3651000,G36081091602
3651000,G36081038301
3651000,G36081029900
3651000,G36081033100
3651000,G36081099900
3651000,G36081022900
3651000,G36081024600
3651000,G36081121100
3651000,G36081003700
3651000,G36081005000
3651000,G36081065501
3651000,G36081107202
3651000,G36005002400
3651000,G36005016300
3651000,G36005017100
3651000,G36005024900
