target_rho,real_rho,capy,moran
0.001,0.0027429429009622397,0.5295088189861691,-0.0068027210884353696
0.0060404040404040404,0.01124384044604245,0.7037693386367151,-0.01105442176870748
0.01108080808080808,0.07218569388055113,0.7098280448229854,-0.011224489795918344
0.016121212121212123,0.01680181822228087,0.7568407348462965,0.46787740628166274
0.021161616161616163,0.05556849380118726,0.788885939911873,0.3571180555555559
0.026202020202020202,0.02923674346133629,0.7316144322749405,0.4523681515616987
0.031242424242424245,0.043387457689063554,0.8594505402638266,0.2750000000000003
0.036282828282828285,0.037221713225021935,0.8346952818123097,0.2810137457044683
0.041323232323232324,0.07050281644537043,0.5370835124588991,0.20892857142857185
0.046363636363636364,0.07270632331244442,0.8545764797370056,0.5174242424242432
0.0514040404040404,0.20366358875728796,0.7636447377763185,0.49546816479400696
0.05644444444444444,0.05695579414168079,0.9111707259957127,0.7117045744952715
0.06148484848484849,0.0928237454664335,0.8345560007115107,0.556978873839338
0.06652525252525253,0.0875143282798949,0.7176586383586915,0.6363799283154116
0.07156565656565657,0.08585872041760687,0.6209091421160102,0.5865682766845551
0.07660606060606061,0.0776076372356928,0.6973525576067923,0.584050179211468
0.08164646464646465,0.08421502340324896,0.831681487186378,0.5729629629629628
0.08668686868686869,0.08906242506744518,0.8789785670083541,0.665698230511716
0.09172727272727273,0.10177098636552699,0.6197156023652534,0.6503571428571427
0.09676767676767677,0.1253193596101266,0.8773269200735374,0.2078125000000002
0.1018080808080808,0.15961946721523435,0.7802826606970727,0.6272097378277145
0.10684848484848485,0.11501020728323276,0.8671449209727901,0.6305008944543821
0.11188888888888888,0.11367838641862431,0.6925044854086321,0.6935286935286941
0.11692929292929292,0.20166068564482667,0.7631161710270694,0.2437719298245611
0.12196969696969698,0.247098689838072,0.8059601467787121,0.5397456709956713
0.12701010101010102,0.1285199298262991,0.605080424139487,0.5313041125541135
0.13205050505050506,0.13901777505987553,0.7904224019862514,0.6288142230576446
0.1370909090909091,0.22529400204177008,0.7306574454713894,0.4293258426966287
0.14213131313131314,0.19117851257957935,0.8439535644825347,0.597348484848486
0.14717171717171718,0.19670702667935902,0.906634584409443,0.6377777777777788
0.15221212121212122,0.17582699681447506,0.7008584939833953,0.7060552461237384
0.15725252525252525,0.1613565703528338,0.7668723923109728,0.6191287878787886
0.1622929292929293,0.16331684516743988,0.94577750249185,0.7146058079982556
0.16733333333333333,0.1725352145786271,0.7726280664771059,0.5937260536398458
0.17237373737373737,0.23821695860259426,0.8348653212206395,0.5299908424908418
0.1774141414141414,0.17928051582747953,0.848450357118488,0.7210868606701933
0.18245454545454545,0.19184520662030002,0.744218061036136,0.4881720430107518
0.1874949494949495,0.20094979608941788,0.7029055995276347,0.6437830687830685
0.19253535353535353,0.19359923569969492,0.7859266121288329,0.31031746031746105
0.19757575757575757,0.31790053125516204,0.775480890835701,0.7427341269841276
0.2026161616161616,0.22443297311376834,0.7908472807418285,0.5986590038314172
0.20765656565656565,0.3165586802028229,0.8800190181291268,0.5697191697191692
0.2126969696969697,0.2171999539865138,0.8221420814421528,0.629160688665709
0.21773737373737373,0.2598436105666774,0.9510096170987097,0.658089887640449
0.22277777777777777,0.35224734192189056,0.7680055696464998,0.6696417276588061
0.2278181818181818,0.2875842888393161,0.9542758892854302,0.8089506172839498
0.23285858585858585,0.2640851262032699,0.8749204412695113,0.6194444444444428
0.2378989898989899,0.25286636122655404,0.6249032078972027,0.7417550096961859
0.24293939393939395,0.3006708628374962,0.7097906460991397,0.5811204481792716
0.247979797979798,0.3458512165834109,0.8706700679277704,0.6055555555555553
0.25302020202020203,0.2599645997061782,0.9196913475467811,0.6276890756302513
0.25806060606060605,0.3480939038713077,0.7855080675678867,0.7817441492726129
0.2631010101010101,0.2722913869837627,0.8180308354814779,0.7019832189168561
0.2681414141414141,0.27690495989648845,0.7944535738218764,0.5908499095840871
0.2731818181818182,0.36269033456631505,0.7593215195706398,0.6773755656108593
0.2782222222222222,0.28166240331447556,0.9223133024884577,0.5656898656898653
0.28326262626262627,0.30637333800572913,0.820409315967658,0.708965577801194
0.2883030303030303,0.2962108771743958,0.9267495855625887,0.5478252294893853
0.29334343434343435,0.29581593853250204,0.9019621002340119,0.7123162845385054
0.29838383838383836,0.33337585715006635,0.8781082574558761,0.5936685463659155
0.30342424242424243,0.3293177058829245,0.840896050356033,0.6301667145731535
0.30846464646464644,0.3087902998054457,0.7939623818730077,0.7002063492063496
0.3135050505050505,0.3206237272240296,0.8708231173004308,0.7311388888888896
0.3185454545454545,0.3228335029584352,0.8418165379059839,0.5843101343101342
0.3235858585858586,0.32376411631381824,0.9679646565776847,0.5516259398496244
0.32862626262626266,0.46160052332504486,0.6596879130554355,0.6243055555555554
0.33366666666666667,0.39135347666680564,0.790652333975137,0.4755379746835446
0.33870707070707073,0.34831832932178064,0.9821063465470687,0.6276519142957493
0.34374747474747475,0.3455898048156812,0.9784373211502044,0.7425740025740026
0.3487878787878788,0.3974722046258599,0.9358780279855168,0.6669191919191929
0.3538282828282828,0.3554889732190853,0.9756633782096122,0.6175374779541447
0.3588686868686869,0.3773068256367837,0.9767179353414693,0.6909573506822091
0.3639090909090909,0.3644885591603981,0.8900906249789821,0.5968364197530863
0.36894949494949497,0.3825106124087841,0.9784485978602779,0.746831797235024
0.373989898989899,0.43876241274912087,0.9105504443459198,0.7838169329969156
0.37903030303030305,0.3825275383505795,0.9806655190798532,0.6887981965174128
0.38407070707070706,0.4109345972205723,0.772224662065073,0.7251562499999992
0.38911111111111113,0.3900865385790797,0.8175891521988561,0.641278400920333
0.39415151515151514,0.39635634624082666,0.9646607535503262,0.7966495646766166
0.3991919191919192,0.4324781866925111,0.9488603322961607,0.7000527903469077
0.4042323232323232,0.42325730973439124,0.8447472095302372,0.654400345125107
0.4092727272727273,0.4125829958854289,0.9767560332637806,0.7416425120772956
0.4143131313131313,0.4223571003855667,0.8722373199599986,0.769972550423679
0.41935353535353537,0.45446373131133105,0.6828163015379246,0.7719907407407409
0.4243939393939394,0.5670792312738746,0.8944942052661913,0.7272347535505437
0.42943434343434345,0.4655166847471249,0.8573657874198939,0.7613378684807256
0.43447474747474746,0.441571492200432,0.9045892411752033,0.7652187028657613
0.4395151515151515,0.4469520610311848,0.8020935638349783,0.7450136054421772
0.44455555555555554,0.4514192558917166,0.7720162637169297,0.6648185328185326
0.4495959595959596,0.4552109802972634,0.9277350170445999,0.7091896407685888
0.4546363636363636,0.4550213470604811,0.9875679266770976,0.769505718954248
0.4596767676767677,0.5193217461679197,0.7593051876952199,0.5292188805346705
0.4647171717171717,0.47029105410690736,0.9820571483685309,0.7553896103896093
0.46975757575757576,0.4733098271704621,0.8337496422436101,0.6627645502645504
0.4747979797979798,0.49943094356796974,0.8845599446588823,0.6584249084249076
0.47983838383838384,0.48263445388292076,0.8640099201056517,0.6718142641672047
0.4848787878787879,0.5052801102317631,0.8566047011999478,0.7086257309941527
0.4899191919191919,0.49786842838555667,0.6871138541432834,0.6252973497091141
0.494959595959596,0.5028067286260618,0.9218756391107292,0.7347531584062197
0.5,0.539618457927594,0.9630245301138499,0.6892769607843138
0.001,0.004056897493675497,0.5673947463224451,-0.011151603498542252
0.0060404040404040404,0.006471351746459422,0.5190790817185662,-0.013945578231292497
0.01108080808080808,0.054983921922511156,0.6666602198263725,0.1469072164948453
0.016121212121212123,0.01693409132297863,0.7276584379316019,0.32491228070175426
0.021161616161616163,0.02505572239449418,0.5666634429773905,0.2733333333333334
0.026202020202020202,0.03745303442955972,0.6999091089929035,0.49301075268817146
0.031242424242424245,0.07865704562701055,0.7326008780974609,0.1446735395189007
0.036282828282828285,0.04110621686707713,0.7600045682330374,-0.012755102040816278
0.041323232323232324,0.044785728547387466,0.8131920771421539,0.665719696969698
0.046363636363636364,0.05309667941231876,0.8513322777266745,0.6566017316017324
0.0514040404040404,0.05877000434745949,0.6397693444080469,0.5350561797752806
0.05644444444444444,0.05886748523446661,0.8080622594852724,0.6581272509003605
0.06148484848484849,0.16619206116909988,0.7111299146152016,0.1481099656357393
0.06652525252525253,0.07339339117199296,0.8436558640156061,0.48342490842490743
0.07156565656565657,0.07714060661948507,0.6066255069640334,0.6043674698795171
0.07660606060606061,0.18522559616144715,0.763368986234706,0.1477663230240555
0.08164646464646465,0.08189021395330759,0.8504218762324266,0.5038157894736839
0.08668686868686869,0.1266844054715928,0.7756573050262816,0.5323476702508948
0.09172727272727273,0.10374975433876144,0.856379024708336,0.6416246498599446
0.09676767676767677,0.12221282240392882,0.6967489047523652,0.7724358974358977
0.1018080808080808,0.24368027648212479,0.831502067992391,0.5896560846560855
0.10684848484848485,0.1087811472591415,0.7226036177572954,0.5586040590935166
0.11188888888888888,0.20627331822745268,0.7114233036371214,0.6190613026819919
0.11692929292929292,0.1993465332693491,0.7000573646031665,0.49445970695970626
0.12196969696969698,0.18171377668225838,0.7329633547426201,0.4428368794326251
0.12701010101010102,0.1324664952549376,0.6613998189107052,0.63030709600477
0.13205050505050506,0.1332996277233135,0.6032856383718688,0.5375056689342396
0.1370909090909091,0.14531359852104883,0.7584349443906935,0.36666666666666736
0.14213131313131314,0.16967034220806435,0.7821859465686469,0.5855363984674323
0.14717171717171718,0.253737733785653,0.8170679658772853,0.5628787878787885
