fid,STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,JOIN_KEY,GISJOIN,WHITE,BLACK,TOTPOP,POC
983,"17","031","400300","17031400300","4003",Census Tract 4003,G5020,S,1385551,79000,"+41.7897540",-087.6112728,"17031400300",G17031400300,20,1406,1504,1484
984,"17","031","400500","17031400500","4005",Census Tract 4005,G5020,S,326149,0,"+41.7910414",-087.6231791,"17031400500",G17031400500,25,2232,2372,2347
985,"17","031","400800","17031400800","4008",Census Tract 4008,G5020,S,493317,0,"+41.7828633",-087.6205580,"17031400800",G17031400800,17,2970,3178,3161
986,"17","031","410100","17031410100","4101",Census Tract 4101,G5020,S,220901,265305,"+41.8015822",-087.5810259,"17031410100",G17031410100,640,1139,2272,1632
987,"17","031","410500","17031410500","4105",Census Tract 4105,G5020,S,263011,0,"+41.7978308",-087.6037423,"17031410500",G17031410500,821,1335,2922,2101
988,"17","031","410600","17031410600","4106",Census Tract 4106,G5020,S,252245,0,"+41.7979687",-087.5989422,"17031410600",G17031410600,963,573,2371,1408
989,"17","031","460100","17031460100","4601",Census Tract 4601,G5020,S,2964055,2514274,"+41.7478345",-087.5367253,"17031460100",G17031460100,91,2092,2840,2749
994,"17","031","450300","17031450300","4503",Census Tract 4503,G5020,S,1366771,0,"+41.7419438",-087.5790892,"17031450300",G17031450300,11,3093,3252,3241
995,"17","031","460200","17031460200","4602",Census Tract 4602,G5020,S,600282,0,"+41.7413872",-087.5470101,"17031460200",G17031460200,83,834,1948,1865
1021,"17","031","750600","17031750600","7506",Census Tract 7506,G5020,S,1316350,0,"+41.6886312",-087.6520493,"17031750600",G17031750600,25,3215,3420,3395
1038,"17","031","410700","17031410700","4107",Census Tract 4107,G5020,S,259923,0,"+41.7980493",-087.5941996,"17031410700",G17031410700,1079,534,2399,1320
1039,"17","031","410800","17031410800","4108",Census Tract 4108,G5020,S,249520,0,"+41.7979614",-087.5896248,"17031410800",G17031410800,1038,870,2993,1955
1041,"17","031","410900","17031410900","4109",Census Tract 4109,G5020,S,387624,578244,"+41.7967097",-087.5780937,"17031410900",G17031410900,1505,1190,3670,2165
1042,"17","031","411000","17031411000","4110",Census Tract 4110,G5020,S,745892,1150922,"+41.7872267",-087.5774620,"17031411000",G17031411000,1621,1211,3902,2281
1043,"17","031","411100","17031411100","4111",Census Tract 4111,G5020,S,283324,0,"+41.7904552",-087.5897008,"17031411100",G17031411100,1335,193,2379,1044
1044,"17","031","411200","17031411200","4112",Census Tract 4112,G5020,S,402990,0,"+41.7905618",-087.5940171,"17031411200",G17031411200,998,173,1713,715
1045,"17","031","460400","17031460400","4604",Census Tract 4604,G5020,S,652525,0,"+41.7444903",-087.5636922,"17031460400",G17031460400,21,3165,3411,3390
1046,"17","031","460500","17031460500","4605",Census Tract 4605,G5020,S,1277228,0,"+41.7468819",-087.5726041,"17031460500",G17031460500,41,5108,5400,5359
1047,"17","031","461000","17031461000","4610",Census Tract 4610,G5020,S,561859,59596,"+41.7273925",-087.5465424,"17031461000",G17031461000,43,962,1460,1417
1065,"17","031","821300","17031821300","8213",Census Tract 8213,G5020,S,1752587,154299,"+41.6551198",-087.6674619,"17031821300",G17031821300,641,1839,5477,4836
1070,"17","031","420100","17031420100","4201",Census Tract 4201,G5020,S,761045,623125,"+41.7825689",-087.5795042,"17031420100",G17031420100,25,1518,1642,1617
1071,"17","031","420200","17031420200","4202",Census Tract 4202,G5020,S,277261,0,"+41.7834680",-087.5935208,"17031420200",G17031420200,185,1345,1781,1596
1072,"17","031","420400","17031420400","4204",Census Tract 4204,G5020,S,245128,0,"+41.7831699",-087.6035584,"17031420400",G17031420400,236,985,1544,1308
1073,"17","031","420700","17031420700","4207",Census Tract 4207,G5020,S,650530,0,"+41.7766914",-087.6106933,"17031420700",G17031420700,37,2772,3021,2984
1077,"17","031","420800","17031420800","4208",Census Tract 4208,G5020,S,347603,0,"+41.7769097",-087.6032569,"17031420800",G17031420800,54,2242,2457,2403
1078,"17","031","470100","17031470100","4701",Census Tract 4701,G5020,S,1589028,0,"+41.7282207",-087.5964894,"17031470100",G17031470100,4,2386,2527,2523
1079,"17","031","480100","17031480100","4801",Census Tract 4801,G5020,S,659618,0,"+41.7352410",-087.5757292,"17031480100",G17031480100,5,1936,2001,1996
1080,"17","031","480200","17031480200","4802",Census Tract 4802,G5020,S,286108,0,"+41.7351241",-087.5898829,"17031480200",G17031480200,2,1050,1103,1101
1081,"17","031","480300","17031480300","4803",Census Tract 4803,G5020,S,415735,0,"+41.7291940",-087.5879725,"17031480300",G17031480300,15,1300,1348,1333
1082,"17","031","480400","17031480400","4804",Census Tract 4804,G5020,S,1809911,0,"+41.7284498",-087.5756385,"17031480400",G17031480400,32,5362,5650,5618
1087,"17","031","650400","17031650400","6504",Census Tract 6504,G5020,S,1102193,0,"+41.7653118",-087.7171651,"17031650400",G17031650400,331,209,6894,6563
1089,"17","031","660400","17031660400","6604",Census Tract 6604,G5020,S,645646,0,"+41.7825321",-087.7080441,"17031660400",G17031660400,265,165,5692,5427
1097,"17","031","821401","17031821401","8214.01",Census Tract 8214.01,G5020,S,853996,0,"+41.6662102",-087.6578736,"17031821401",G17031821401,67,2542,2870,2803
1100,"17","031","821402","17031821402","8214.02",Census Tract 8214.02,G5020,S,1676878,92477,"+41.6614309",-087.6520323,"17031821402",G17031821402,76,2961,3200,3124
1101,"17","031","821600","17031821600","8216",Census Tract 8216,G5020,S,3553239,0,"+41.7300221",-087.6993289,"17031821600",G17031821600,1298,1947,4542,3244
1102,"17","031","821700","17031821700","8217",Census Tract 8217,G5020,S,1551015,0,"+41.7211743",-087.7153549,"17031821700",G17031821700,3368,707,4859,1491
1105,"17","031","421200","17031421200","4212",Census Tract 4212,G5020,S,325749,0,"+41.7706621",-087.6089474,"17031421200",G17031421200,15,1312,1405,1390
1135,"17","031","480500","17031480500","4805",Census Tract 4805,G5020,S,1363482,0,"+41.7276001",-087.5590911,"17031480500",G17031480500,50,2419,2986,2936
1136,"17","031","490500","17031490500","4905",Census Tract 4905,G5020,S,1424111,0,"+41.7179309",-087.6131964,"17031490500",G17031490500,22,1858,1995,1973
1137,"17","031","520200","17031520200","5202",Census Tract 5202,G5020,S,1108055,109644,"+41.7123087",-087.5406913,"17031520200",G17031520200,232,367,3338,3106
1138,"17","031","520300","17031520300","5203",Census Tract 5203,G5020,S,958354,0,"+41.7011139",-087.5395629,"17031520300",G17031520300,486,148,5675,5189
1139,"17","031","520400","17031520400","5204",Census Tract 5204,G5020,S,725278,0,"+41.7030080",-087.5307029,"17031520400",G17031520400,423,100,4055,3632
1140,"17","031","520500","17031520500","5205",Census Tract 5205,G5020,S,1050138,0,"+41.6931158",-087.5308719,"17031520500",G17031520500,948,113,4420,3472
1141,"17","031","520600","17031520600","5206",Census Tract 5206,G5020,S,1089377,0,"+41.6895204",-087.5404000,"17031520600",G17031520600,387,54,2530,2143
1142,"17","031","660500","17031660500","6605",Census Tract 6605,G5020,S,657188,0,"+41.7752461",-087.7079271,"17031660500",G17031660500,275,394,5013,4738
1143,"17","031","660600","17031660600","6606",Census Tract 6606,G5020,S,658608,0,"+41.7772873",-087.6933406,"17031660600",G17031660600,128,2741,6404,6276
1144,"17","031","660700","17031660700","6607",Census Tract 6607,G5020,S,480681,0,"+41.7738452",-087.6810955,"17031660700",G17031660700,16,1490,2076,2060
1145,"17","031","660800","17031660800","6608",Census Tract 6608,G5020,S,655390,0,"+41.7736413",-087.6932656,"17031660800",G17031660800,128,2780,6114,5986
1146,"17","031","660900","17031660900","6609",Census Tract 6609,G5020,S,1811423,161566,"+41.7678191",-087.6990630,"17031660900",G17031660900,142,2765,4446,4304
1147,"17","031","661000","17031661000","6610",Census Tract 6610,G5020,S,1118966,0,"+41.7618177",-087.6850469,"17031661000",G17031661000,90,3951,5756,5666
1154,"17","031","490600","17031490600","4906",Census Tract 4906,G5020,S,683115,0,"+41.7179734",-087.6283302,"17031490600",G17031490600,1,1369,1443,1442
1155,"17","031","490700","17031490700","4907",Census Tract 4907,G5020,S,639811,0,"+41.7107339",-087.6283617,"17031490700",G17031490700,4,2509,2656,2652
1156,"17","031","490800","17031490800","4908",Census Tract 4908,G5020,S,1081033,0,"+41.7106902",-087.6153469,"17031490800",G17031490800,24,3322,3502,3478
1157,"17","031","491000","17031491000","4910",Census Tract 4910,G5020,S,1277974,0,"+41.6997625",-087.6280536,"17031491000",G17031491000,36,3511,3807,3771
1158,"17","031","491100","17031491100","4911",Census Tract 4911,G5020,S,1321949,0,"+41.6997531",-087.6376994,"17031491100",G17031491100,47,3843,4079,4032
1159,"17","031","530200","17031530200","5302",Census Tract 5302,G5020,S,1297343,0,"+41.6815612",-087.6323954,"17031530200",G17031530200,30,3830,4128,4098
1160,"17","031","530300","17031530300","5303",Census Tract 5303,G5020,S,1308194,0,"+41.6813144",-087.6517524,"17031530300",G17031530300,13,3755,3964,3951
1161,"17","031","530400","17031530400","5304",Census Tract 5304,G5020,S,1312063,0,"+41.6740397",-087.6515267,"17031530400",G17031530400,20,1881,2059,2039
1162,"17","031","530600","17031530600","5306",Census Tract 5306,G5020,S,966243,67959,"+41.6700882",-087.6191458,"17031530600",G17031530600,15,2640,2774,2759
1164,"17","031","670200","17031670200","6702",Census Tract 6702,G5020,S,326542,0,"+41.7904247",-087.6620627,"17031670200",G17031670200,21,954,1325,1304
1165,"17","031","670300","17031670300","6703",Census Tract 6703,G5020,S,326330,0,"+41.7903576",-087.6669167,"17031670300",G17031670300,8,923,1287,1279
1166,"17","031","670400","17031670400","6704",Census Tract 6704,G5020,S,326418,0,"+41.7902996",-087.6717698,"17031670400",G17031670400,19,1104,1585,1566
1167,"17","031","661100","17031661100","6611",Census Tract 6611,G5020,S,1295866,0,"+41.7607864",-087.7026636,"17031661100",G17031661100,259,2262,6633,6374
1168,"17","031","670100","17031670100","6701",Census Tract 6701,G5020,S,326892,0,"+41.7904937",-087.6572084,"17031670100",G17031670100,23,989,1349,1326
1169,"17","031","670600","17031670600","6706",Census Tract 6706,G5020,S,327032,0,"+41.7830054",-087.6715772,"17031670600",G17031670600,5,957,1339,1334
1170,"17","031","670700","17031670700","6707",Census Tract 6707,G5020,S,326730,0,"+41.7830686",-087.6667315,"17031670700",G17031670700,0,936,1252,1252
1171,"17","031","670800","17031670800","6708",Census Tract 6708,G5020,S,326299,0,"+41.7831442",-087.6618790,"17031670800",G17031670800,18,1205,1477,1459
1172,"17","031","670900","17031670900","6709",Census Tract 6709,G5020,S,326291,0,"+41.7832124",-087.6570220,"17031670900",G17031670900,3,918,1172,1169
1179,"17","031","310200","17031310200","3102",Census Tract 3102,G5020,S,320573,0,"+41.8563100",-087.6442091,"17031310200",G17031310200,562,152,1588,1026
1183,"17","031","491200","17031491200","4912",Census Tract 4912,G5020,S,649492,0,"+41.6887765",-087.6374383,"17031491200",G17031491200,18,1923,2019,2001
1184,"17","031","491300","17031491300","4913",Census Tract 4913,G5020,S,646033,0,"+41.6888969",-087.6278036,"17031491300",G17031491300,16,1909,2023,2007
1185,"17","031","491400","17031491400","4914",Census Tract 4914,G5020,S,829869,0,"+41.6891232",-087.6168215,"17031491400",G17031491400,16,2395,2593,2577
1186,"17","031","500100","17031500100","5001",Census Tract 5001,G5020,S,2651676,0,"+41.7146840",-087.5950287,"17031500100",G17031500100,13,3408,3545,3532
1187,"17","031","500200","17031500200","5002",Census Tract 5002,G5020,S,2042414,0,"+41.7008552",-087.6003086,"17031500200",G17031500200,10,1580,1688,1678
1188,"17","031","500300","17031500300","5003",Census Tract 5003,G5020,S,709172,0,"+41.6893150",-087.6053698,"17031500300",G17031500300,421,716,1587,1166
1287,"17","031","839500","17031839500","8395",Census Tract 8395,G5020,S,262139,0,"+41.8340975",-087.6192919,"17031839500",G17031839500,220,1163,1590,1370
1288,"17","031","835800","17031835800","8358",Census Tract 8358,G5020,S,284425,0,"+41.8130462",-087.6187192,"17031835800",G17031835800,43,1528,1698,1655
1289,"17","031","838800","17031838800","8388",Census Tract 8388,G5020,S,17863256,3802983,"+41.6834042",-087.5740611,"17031838800",G17031838800,102,1606,3102,3000
1292,"17","031","843200","17031843200","8432",Census Tract 8432,G5020,S,2788963,305033,"+41.8487153",-087.6642169,"17031843200",G17031843200,392,106,2422,2030
1294,"17","031","842600","17031842600","8426",Census Tract 8426,G5020,S,3679417,0,"+41.8162186",-087.6516951,"17031842600",G17031842600,1780,214,4245,2465
1311,"17","031","420300","17031420300","4203",Census Tract 4203,G5020,S,245119,0,"+41.7832241",-087.5986970,"17031420300",G17031420300,871,1082,2818,1947
1327,"17","031","611800","17031611800","6118",Census Tract 6118,G5020,S,327809,0,"+41.7976477",-087.6671138,"17031611800",G17031611800,32,876,2205,2173
1330,"17","031","826500","17031826500","8265",Census Tract 8265,G5020,S,3535059,57239,"+41.6319154",-087.6156118,"17031826500",G17031826500,170,5016,5614,5444
1345,"17","031","600600","17031600600","6006",Census Tract 6006,G5020,S,394134,11665,"+41.8424685",-087.6557510,"17031600600",G17031600600,668,38,2988,2320
1348,"17","031","420600","17031420600","4206",Census Tract 4206,G5020,S,243609,0,"+41.7830135",-087.6132777,"17031420600",G17031420600,70,2302,2524,2454
1366,"17","031","610400","17031610400","6104",Census Tract 6104,G5020,S,163180,0,"+41.8103984",-087.6674491,"17031610400",G17031610400,50,14,2029,1979
1378,"17","031","671400","17031671400","6714",Census Tract 6714,G5020,S,495626,0,"+41.7737921",-087.6762289,"17031671400",G17031671400,6,1092,1558,1552
1383,"17","031","630400","17031630400","6304",Census Tract 6304,G5020,S,658248,0,"+41.7972545",-087.6987811,"17031630400",G17031630400,297,37,7204,6907
1389,"17","031","680600","17031680600","6806",Census Tract 6806,G5020,S,326466,0,"+41.7832811",-087.6521652,"17031680600",G17031680600,6,966,1165,1159
1474,"17","031","530100","17031530100","5301",Census Tract 5301,G5020,S,649937,0,"+41.6818522",-087.6179395,"17031530100",G17031530100,62,1062,2197,2135
1481,"17","031","823400","17031823400","8234",Census Tract 8234,G5020,S,5160342,0,"+41.6651703",-087.6965048,"17031823400",G17031823400,1002,1132,4892,3890
1482,"17","031","821500","17031821500","8215",Census Tract 8215,G5020,S,4197000,452975,"+41.6505617",-087.6360769,"17031821500",G17031821500,44,1304,1421,1377
1483,"17","031","410200","17031410200","4102",Census Tract 4102,G5020,S,64827,0,"+41.8016709",-087.5942651,"17031410200",G17031410200,459,334,1165,706
1502,"17","031","351100","17031351100","3511",Census Tract 3511,G5020,S,347265,0,"+41.8277540",-087.6141894,"17031351100",G17031351100,33,1902,2038,2005
1509,"17","031","611700","17031611700","6117",Census Tract 6117,G5020,S,328310,0,"+41.7975991",-087.6719762,"17031611700",G17031611700,57,570,2180,2123
1515,"17","031","381500","17031381500","3815",Census Tract 3815,G5020,S,108677,0,"+41.8101927",-087.6228619,"17031381500",G17031381500,16,607,667,651
1516,"17","031","420500","17031420500","4205",Census Tract 4205,G5020,S,245980,0,"+41.7831002",-087.6084261,"17031420500",G17031420500,50,1883,2053,2003
1532,"17","031","550200","17031550200","5502",Census Tract 5502,G5020,S,5093938,283388,"+41.6550974",-087.5648270,"17031550200",G17031550200,979,187,2969,1990
1534,"17","031","823304","17031823304","8233.04",Census Tract 8233.04,G5020,S,3553267,0,"+41.6814296",-087.7027507,"17031823304",G17031823304,2671,1373,5872,3201
1536,"17","031","670500","17031670500","6705",Census Tract 6705,G5020,S,622494,0,"+41.7865780",-087.6764044,"17031670500",G17031670500,0,706,1148,1148
1539,"17","031","580800","17031580800","5808",Census Tract 5808,G5020,S,183294,0,"+41.8102197",-087.6866436,"17031580800",G17031580800,82,23,2058,1976
1563,"17","031","400400","17031400400","4004",Census Tract 4004,G5020,S,326944,0,"+41.7911261",-087.6183211,"17031400400",G17031400400,11,1880,1995,1984
1578,"17","031","611200","17031611200","6112",Census Tract 6112,G5020,S,327038,0,"+41.8049939",-087.6624414,"17031611200",G17031611200,87,384,2680,2593
1595,"17","031","826401","17031826401","8264.01",Census Tract 8264.01,G5020,S,3000488,246111,"+41.6389607",-087.5930136,"17031826401",G17031826401,59,3397,3725,3666
1597,"17","031","351500","17031351500","3515",Census Tract 3515,G5020,S,166221,0,"+41.8272402",-087.6277309,"17031351500",G17031351500,40,626,823,783
1747,"17","031","510100","17031510100","5101",Census Tract 5101,G5020,S,2147646,220086,"+41.7126213",-087.5500748,"17031510100",G17031510100,259,215,3231,2972
1748,"17","031","510200","17031510200","5102",Census Tract 5102,G5020,S,1277946,0,"+41.7142651",-087.5600495,"17031510200",G17031510200,110,2160,2922,2812
1768,"17","031","690400","17031690400","6904",Census Tract 6904,G5020,S,651075,0,"+41.7692590",-087.6202039,"17031690400",G17031690400,19,3161,3363,3344
1769,"17","031","691300","17031691300","6913",Census Tract 6913,G5020,S,647447,0,"+41.7546811",-087.6198472,"17031691300",G17031691300,20,2260,2374,2354
1770,"17","031","691400","17031691400","6914",Census Tract 6914,G5020,S,656684,0,"+41.7548455",-087.6101685,"17031691400",G17031691400,13,3211,3411,3398
1771,"17","031","691500","17031691500","6915",Census Tract 6915,G5020,S,674522,0,"+41.7550528",-087.6002666,"17031691500",G17031691500,5,1720,1806,1801
1779,"17","031","580600","17031580600","5806",Census Tract 5806,G5020,S,492790,0,"+41.8173978",-087.6920314,"17031580600",G17031580600,319,63,5405,5086
1780,"17","031","580700","17031580700","5807",Census Tract 5807,G5020,S,550116,0,"+41.8174935",-087.6868459,"17031580700",G17031580700,323,68,5621,5298
1782,"17","031","681300","17031681300","6813",Census Tract 6813,G5020,S,718139,0,"+41.7611807",-087.6398423,"17031681300",G17031681300,9,2034,2182,2173
1783,"17","031","681400","17031681400","6814",Census Tract 6814,G5020,S,646368,0,"+41.7615223",-087.6491706,"17031681400",G17031681400,13,2151,2474,2461
1784,"17","031","690300","17031690300","6903",Census Tract 6903,G5020,S,512681,0,"+41.7686693",-087.6290093,"17031690300",G17031690300,33,2172,2302,2269
1785,"17","031","690500","17031690500","6905",Census Tract 6905,G5020,S,323161,0,"+41.7681794",-087.6121031,"17031690500",G17031690500,9,934,992,983
1786,"17","031","690900","17031690900","6909",Census Tract 6909,G5020,S,655477,0,"+41.7621424",-087.6103447,"17031690900",G17031690900,14,4005,4250,4236
1787,"17","031","691000","17031691000","6910",Census Tract 6910,G5020,S,648676,0,"+41.7619654",-087.6200151,"17031691000",G17031691000,18,2510,2668,2650
1788,"17","031","700100","17031700100","7001",Census Tract 7001,G5020,S,2311840,0,"+41.7535935",-087.6953091,"17031700100",G17031700100,101,1668,3326,3225
1789,"17","031","700200","17031700200","7002",Census Tract 7002,G5020,S,1614071,0,"+41.7529893",-087.7237840,"17031700200",G17031700200,647,690,6554,5907
1792,"17","031","590500","17031590500","5905",Census Tract 5905,G5020,S,572106,24222,"+41.8248978",-087.6804596,"17031590500",G17031590500,386,34,1854,1468
1793,"17","031","590600","17031590600","5906",Census Tract 5906,G5020,S,347982,0,"+41.8268332",-087.6729244,"17031590600",G17031590600,521,48,3477,2956
1794,"17","031","671200","17031671200","6712",Census Tract 6712,G5020,S,244922,0,"+41.7766993",-087.6665823,"17031671200",G17031671200,6,770,980,974
1795,"17","031","671100","17031671100","6711",Census Tract 6711,G5020,S,245194,0,"+41.7767771",-087.6617159,"17031671100",G17031671100,1,848,994,993
1796,"17","031","671300","17031671300","6713",Census Tract 6713,G5020,S,484665,0,"+41.7739015",-087.6713493,"17031671300",G17031671300,6,1674,2048,2042
1797,"17","031","671500","17031671500","6715",Census Tract 6715,G5020,S,741246,0,"+41.7681722",-087.6696315,"17031671500",G17031671500,16,1964,2716,2700
1798,"17","031","671600","17031671600","6716",Census Tract 6716,G5020,S,407164,0,"+41.7694999",-087.6615113,"17031671600",G17031671600,2,1575,1804,1802
1799,"17","031","671800","17031671800","6718",Census Tract 6718,G5020,S,324235,0,"+41.7614010",-087.6564481,"17031671800",G17031671800,9,967,1142,1133
1800,"17","031","671900","17031671900","6719",Census Tract 6719,G5020,S,322062,0,"+41.7613256",-087.6612802,"17031671900",G17031671900,10,901,1122,1112
1801,"17","031","710100","17031710100","7101",Census Tract 7101,G5020,S,215116,0,"+41.7533918",-087.6419713,"17031710100",G17031710100,13,924,1015,1002
1802,"17","031","710200","17031710200","7102",Census Tract 7102,G5020,S,741782,0,"+41.7551131",-087.6514252,"17031710200",G17031710200,25,4337,4635,4610
1803,"17","031","710400","17031710400","7104",Census Tract 7104,G5020,S,1002458,0,"+41.7539184",-087.6709328,"17031710400",G17031710400,23,4970,5424,5401
1804,"17","031","710500","17031710500","7105",Census Tract 7105,G5020,S,748404,0,"+41.7475316",-087.6707874,"17031710500",G17031710500,17,3774,4036,4019
1805,"17","031","710600","17031710600","7106",Census Tract 7106,G5020,S,244933,0,"+41.7476600",-087.6609434,"17031710600",G17031710600,7,1610,1706,1699
1806,"17","031","710800","17031710800","7108",Census Tract 7108,G5020,S,816273,0,"+41.7478366",-087.6488126,"17031710800",G17031710800,26,4565,4804,4778
1808,"17","031","340300","17031340300","3403",Census Tract 3403,G5020,S,213596,0,"+41.8428046",-087.6357882,"17031340300",G17031340300,258,35,1865,1607
1809,"17","031","340500","17031340500","3405",Census Tract 3405,G5020,S,435447,0,"+41.8345181",-087.6329169,"17031340500",G17031340500,662,72,1629,967
1810,"17","031","340600","17031340600","3406",Census Tract 3406,G5020,S,496574,0,"+41.8272864",-087.6326516,"17031340600",G17031340600,16,1074,1151,1135
1811,"17","031","430200","17031430200","4302",Census Tract 4302,G5020,S,661348,0,"+41.7697613",-087.5813509,"17031430200",G17031430200,174,4581,5086,4912
1812,"17","031","430300","17031430300","4303",Census Tract 4303,G5020,S,406133,0,"+41.7697163",-087.5893601,"17031430300",G17031430300,11,2412,2558,2547
1900,"17","031","540102","17031540102","5401.02",Census Tract 5401.02,G5020,S,5297055,0,"+41.6673300",-087.6054488,"17031540102",G17031540102,9,2790,2938,2929
1901,"17","031","700402","17031700402","7004.02",Census Tract 7004.02,G5020,S,1148944,0,"+41.7382302",-087.7118234,"17031700402",G17031700402,271,2309,4082,3811
1920,"17","031","821800","17031821800","8218",Census Tract 8218,G5020,S,2147414,0,"+41.7194986",-087.7004232,"17031821800",G17031821800,2866,1257,5415,2549
1921,"17","031","821900","17031821900","8219",Census Tract 8219,G5020,S,1905035,0,"+41.7122395",-087.6969816,"17031821900",G17031821900,3367,864,5129,1762
1922,"17","031","822000","17031822000","8220",Census Tract 8220,G5020,S,1240338,0,"+41.7312484",-087.7311338,"17031822000",G17031822000,2979,86,4343,1364
1923,"17","031","822101","17031822101","8221.01",Census Tract 8221.01,G5020,S,1861189,0,"+41.7241572",-087.7456175,"17031822101",G17031822101,2847,265,4606,1759
1938,"17","031","822102","17031822102","8221.02",Census Tract 8221.02,G5020,S,2243695,0,"+41.7215520",-087.7315013,"17031822102",G17031822102,2203,875,4504,2301
1947,"17","031","822701","17031822701","8227.01",Census Tract 8227.01,G5020,S,1078062,0,"+41.7123761",-087.7303270,"17031822701",G17031822701,2362,654,4438,2076
1948,"17","031","822702","17031822702","8227.02",Census Tract 8227.02,G5020,S,1298804,0,"+41.7056906",-087.7305797,"17031822702",G17031822702,2403,418,3828,1425
1958,"17","031","823303","17031823303","8233.03",Census Tract 8233.03,G5020,S,2008920,0,"+41.6777448",-087.7279109,"17031823303",G17031823303,2338,660,4581,2243
1959,"17","031","823500","17031823500","8235",Census Tract 8235,G5020,S,1112872,0,"+41.6656032",-087.6831791,"17031823500",G17031823500,1155,831,4301,3146
2002,"17","031","825700","17031825700","8257",Census Tract 8257,G5020,S,4804119,220107,"+41.6394802",-087.5449604,"17031825700",G17031825700,491,2419,4046,3555
2053,"17","031","611600","17031611600","6116",Census Tract 6116,G5020,S,335433,0,"+41.7976329",-087.6768980,"17031611600",G17031611600,35,614,1921,1886
2054,"17","031","340400","17031340400","3404",Census Tract 3404,G5020,S,290316,0,"+41.8418857",-087.6320356,"17031340400",G17031340400,258,48,1844,1586
2058,"17","031","430700","17031430700","4307",Census Tract 4307,G5020,S,189450,178320,"+41.7652716",-087.5608903,"17031430700",G17031430700,70,1959,2175,2105
2083,"17","031","710700","17031710700","7107",Census Tract 7107,G5020,S,490083,0,"+41.7471100",-087.6568840,"17031710700",G17031710700,11,3231,3420,3409
2084,"17","031","550100","17031550100","5501",Census Tract 5501,G5020,S,7189486,1132186,"+41.6631813",-087.5359785,"17031550100",G17031550100,2130,687,7019,4889
2177,"18","089","040100","18089040100","401",Census Tract 401,G5020,S,3970691,3701622,"+41.6767540",-087.4764040,"18089040100",G18089040100,613,40,1318,705
2178,"18","089","040200","18089040200","402",Census Tract 402,G5020,S,694502,0,"+41.6795943",-087.4960424,"18089040200",G18089040200,1414,104,3241,1827
2183,"18","089","020200","18089020200","202",Census Tract 202,G5020,S,3891899,1944236,"+41.6756310",-087.5097373,"18089020200",G18089020200,1266,96,2497,1231
2267,"18","089","020100","18089020100","201",Census Tract 201,G5020,S,1382694,0,"+41.6806043",-087.5042741,"18089020100",G18089020100,2129,225,4669,2540
2268,"18","089","020300","18089020300","203",Census Tract 203,G5020,S,11241157,3563681,"+41.6539579",-087.5159671,"18089020300",G18089020300,1930,725,6414,4484
