fid,STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,JOIN_KEY,GISJOIN,WHITE,BLACK,TOTPOP,POC
167,"17","031","700301","17031700301","7003.01",Census Tract 7003.01,G5020,S,1275707,0,"+41.7456225",-087.7317117,"17031700301",G17031700301,800,495,5762,4962
169,"17","031","700401","17031700401","7004.01",Census Tract 7004.01,G5020,S,1482529,0,"+41.7455372",-087.7120355,"17031700401",G17031700401,308,2900,5822,5514
201,"17","031","700302","17031700302","7003.02",Census Tract 7003.02,G5020,S,1319649,0,"+41.7383652",-087.7313064,"17031700302",G17031700302,1160,901,5662,4502
202,"17","031","580501","17031580501","5805.01",Census Tract 5805.01,G5020,S,492117,0,"+41.8199860",-087.6994962,"17031580501",G17031580501,369,102,5170,4801
203,"17","031","580502","17031580502","5805.02",Census Tract 5805.02,G5020,S,494416,0,"+41.8145617",-087.6993102,"17031580502",G17031580502,226,46,5345,5119
204,"17","031","730201","17031730201","7302.01",Census Tract 7302.01,G5020,S,998832,0,"+41.7268625",-087.6579016,"17031730201",G17031730201,9,5341,5627,5618
206,"17","031","440101","17031440101","4401.01",Census Tract 4401.01,G5020,S,377008,0,"+41.7486271",-087.6014512,"17031440101",G17031440101,25,4014,4171,4146
251,"17","031","431301","17031431301","4313.01",Census Tract 4313.01,G5020,S,404025,0,"+41.7535302",-087.5601871,"17031431301",G17031431301,33,3374,3590,3557
252,"17","031","431302","17031431302","4313.02",Census Tract 4313.02,G5020,S,437419,0,"+41.7583855",-087.5627859,"17031431302",G17031431302,23,4103,4351,4328
253,"17","031","460302","17031460302","4603.02",Census Tract 4603.02,G5020,S,648832,0,"+41.7470840",-087.5573879,"17031460302",G17031460302,54,2773,3282,3228
254,"17","031","460301","17031460301","4603.01",Census Tract 4603.01,G5020,S,485612,0,"+41.7400264",-087.5563673,"17031460301",G17031460301,76,1917,2987,2911
255,"17","031","700501","17031700501","7005.01",Census Tract 7005.01,G5020,S,1670340,0,"+41.7462133",-087.6903423,"17031700501",G17031700501,211,5905,6912,6701
256,"17","031","700502","17031700502","7005.02",Census Tract 7005.02,G5020,S,1722969,0,"+41.7388522",-087.6887683,"17031700502",G17031700502,112,2572,2978,2866
265,"17","031","841100","17031841100","8411",Census Tract 8411,G5020,S,1117345,28895,"+41.8516438",-087.6356612,"17031841100",G17031841100,338,292,7356,7018
266,"17","031","840200","17031840200","8402",Census Tract 8402,G5020,S,826355,36519,"+41.8446476",-087.6492096,"17031840200",G17031840200,401,56,2497,2096
297,"17","031","440102","17031440102","4401.02",Census Tract 4401.02,G5020,S,627506,0,"+41.7409356",-087.6011636,"17031440102",G17031440102,24,3480,3633,3609
298,"17","031","440202","17031440202","4402.02",Census Tract 4402.02,G5020,S,781698,0,"+41.7409599",-087.6097620,"17031440202",G17031440202,19,3371,3525,3506
305,"17","031","840100","17031840100","8401",Census Tract 8401,G5020,S,332956,0,"+41.8418308",-087.6392030,"17031840100",G17031840100,641,31,3029,2388
306,"17","031","840400","17031840400","8404",Census Tract 8404,G5020,S,977537,22800,"+41.8339264",-087.6671616,"17031840400",G17031840400,489,36,3369,2880
307,"17","031","839200","17031839200","8392",Census Tract 8392,G5020,S,650846,0,"+41.8420108",-087.6220362,"17031839200",G17031839200,288,1771,2749,2461
308,"17","031","835500","17031835500","8355",Census Tract 8355,G5020,S,914014,0,"+41.8163540",-087.6325395,"17031835500",G17031835500,50,1254,1584,1534
387,"17","031","430102","17031430102","4301.02",Census Tract 4301.02,G5020,S,454086,542570,"+41.7689528",-087.5638143,"17031430102",G17031430102,77,2808,3104,3027
391,"17","031","430101","17031430101","4301.01",Census Tract 4301.01,G5020,S,327083,0,"+41.7698532",-087.5739530,"17031430101",G17031430101,64,3818,4091,4027
403,"17","031","440201","17031440201","4402.01",Census Tract 4402.01,G5020,S,531454,0,"+41.7482097",-087.6100739,"17031440201",G17031440201,29,4831,5054,5025
404,"17","031","540101","17031540101","5401.01",Census Tract 5401.01,G5020,S,3357305,508399,"+41.6507203",-087.5993689,"17031540101",G17031540101,32,4040,4324,4292
411,"17","031","834000","17031834000","8340",Census Tract 8340,G5020,S,967433,0,"+41.7273938",-087.6294320,"17031834000",G17031834000,22,3410,3609,3587
412,"17","031","833900","17031833900","8339",Census Tract 8339,G5020,S,677853,24124,"+41.7310321",-087.5474226,"17031833900",G17031833900,67,1230,2333,2266
489,"17","031","330103","17031330103","3301.03",Census Tract 3301.03,G5020,S,509666,0,"+41.8564796",-087.6234172,"17031330103",G17031330103,3336,2594,8248,4912
490,"17","031","380600","17031380600","3806",Census Tract 3806,G5020,S,838894,0,"+41.8201510",-087.6229356,"17031380600",G17031380600,90,3648,3947,3857
491,"17","031","330102","17031330102","3301.02",Census Tract 3301.02,G5020,S,402828,0,"+41.8635721",-087.6239883,"17031330102",G17031330102,5360,1813,10811,5451
492,"17","031","330101","17031330101","3301.01",Census Tract 3301.01,G5020,S,1882941,828956,"+41.8591203",-087.6132250,"17031330101",G17031330101,2367,477,4592,2225
493,"17","031","460800","17031460800","4608",Census Tract 4608,G5020,S,683234,0,"+41.7356005",-087.5531842,"17031460800",G17031460800,73,2147,3639,3566
516,"17","031","630600","17031630600","6306",Census Tract 6306,G5020,S,1102329,0,"+41.8012095",-087.6888524,"17031630600",G17031630600,149,167,3250,3101
517,"17","031","490200","17031490200","4902",Census Tract 4902,G5020,S,870444,0,"+41.7249095",-087.6168742,"17031490200",G17031490200,19,2879,3040,3021
518,"17","031","612200","17031612200","6122",Census Tract 6122,G5020,S,898079,0,"+41.8048761",-087.6527194,"17031612200",G17031612200,126,894,3939,3813
520,"17","031","844600","17031844600","8446",Census Tract 8446,G5020,S,434671,0,"+41.8133852",-087.6254437,"17031844600",G17031844600,48,1631,1776,1728
535,"17","031","660302","17031660302","6603.02",Census Tract 6603.02,G5020,S,491837,0,"+41.7835957",-087.6983926,"17031660302",G17031660302,139,833,5549,5410
536,"17","031","660301","17031660301","6603.01",Census Tract 6603.01,G5020,S,163782,0,"+41.7799541",-087.6982872,"17031660301",G17031660301,40,443,1850,1810
537,"17","031","730202","17031730202","7302.02",Census Tract 7302.02,G5020,S,872692,0,"+41.7264299",-087.6485425,"17031730202",G17031730202,10,2785,2893,2883
546,"17","031","835600","17031835600","8356",Census Tract 8356,G5020,S,917505,0,"+41.8018345",-087.6322016,"17031835600",G17031835600,15,672,898,883
547,"17","031","840000","17031840000","8400",Census Tract 8400,G5020,S,569394,0,"+41.8314369",-087.6384053,"17031840000",G17031840000,1060,43,3001,1941
548,"17","031","836400","17031836400","8364",Census Tract 8364,G5020,S,799114,867001,"+41.8190118",-087.5951761,"17031836400",G17031836400,151,3168,3621,3470
549,"17","031","836100","17031836100","8361",Census Tract 8361,G5020,S,860471,0,"+41.7998052",-087.6186826,"17031836100",G17031836100,20,1772,1893,1873
