filename,x_col,y_col,tot_col,angle_1,angle_2,skew'_self_0,skew'_other_0,half_edge_0,skew'_self_exact_0,skew'_other_exact_0,half_edge_exact_0,skew'_self_0.5,skew'_other_0.5,half_edge_0.5,skew'_self_exact_0.5,skew'_other_exact_0.5,half_edge_exact_0.5,skew'_self_1,skew'_other_1,half_edge_1,skew'_self_exact_1,skew'_other_exact_1,half_edge_exact_1,skew'_self_2,skew'_other_2,half_edge_2,skew'_self_exact_2,skew'_other_exact_2,half_edge_exact_2,skew'_self_10,skew'_other_10,half_edge_10,skew'_self_exact_10,skew'_other_exact_10,half_edge_exact_10,skew'_self_lim,skew'_other_lim,half_edge_lim,skew'_self_exact_lim,skew'_other_exact_lim,half_edge_exact_lim,dissimilarity_1,moran_A,moran_P,moran_L,moran_M,total_population,total_white,total_poc,total_black,share_x,share_y,total_nodes,total_edges
data/processed/dual_graphs/1990/blocks_in_cbsa_10180_1990_march_2020_vintage_connected.json,POC,WHITE,TOTPOP,16964339,8445377.5,0.2871672304204464,0.8156927237324546,0.5514299770764505,0.2871672304204464,0.8156927237324546,0.5514299770764505,0.29676355008693184,0.8099179689700704,0.5533407595285011,0.29623772131880705,0.8097676315390053,0.5530026764289062,0.3029743590165002,0.8058925069883422,0.5544334330024212,0.3021154439416015,0.8056318256149472,0.5538736347782743,0.31053685616709276,0.8006492652769562,0.5555930607220245,0.3092800525939621,0.8002380116821507,0.5547590321380564,0.3250274051100617,0.7893924991932273,0.5572099521516445,0.3230318464278854,0.7886317379194007,0.5558317921736431,0.33197295422538986,0.7833403074066774,0.5576566308160336,0.4958270537707524,0.8779028008801196,0.686864927325436,0.5347294719900275,0.5158674261836267,0.5766810710610545,0.18744469793552854,0.6694111081959648,147168,117214,29954,7989,0.2035360948032181,0.7964639051967819,4141,8466
data/processed/dual_graphs/1990/blocks_in_cbsa_10420_1990_march_2020_vintage_connected.json,POC,WHITE,TOTPOP,38279762,18975500.75,0.3996948086148968,0.9300200518678946,0.6648574302413957,0.3996948086148968,0.9300200518678946,0.6648574302413957,0.40127183926129223,0.9288353841408433,0.6650536117010678,0.40085963699989224,0.9287910561719508,0.6648253465859215,0.4024266841435573,0.9279379680147934,0.6651823260791754,0.40171364780614,0.9278590407851524,0.6647863442956462,0.40400474865755803,0.9266685400033866,0.6653366443304723,0.40288202459011124,0.9265391670955003,0.6647105958428058,0.4077076220669151,0.923477288081279,0.665592455074097,0.40562991827991385,0.9232132941102488,0.6644216061950813,0.4098994431546461,0.9214332327268178,0.6656663379407319,0.5787991879571253,0.9589173831484559,0.7688582855527906,0.7048338221037745,0.8467748200748278,0.8574669052452988,0.06495479082357718,0.8977641197029506,657521,581176,76345,64713,0.11611035997329362,0.8838896400267063,9354,21158
data/processed/dual_graphs/1990/blocks_in_cbsa_10500_1990_march_2020_vintage_connected.json,POC,WHITE,TOTPOP,11767101,5847818.25,0.7425124618858814,0.7585978709029018,0.7505551663943916,0.7425124618858814,0.7585978709029018,0.7505551663943916,0.7490268710387887,0.7605500951458642,0.7547884830923265,0.748828364342796,0.7603378371822643,0.7545831007625301,0.7538458201100946,0.7620391831366886,0.7579425016233916,0.7535069034546967,0.761667097506689,0.7575870004806928,0.7604981643228119,0.7641607781244361,0.7623294712236239,0.759974425875579,0.7635640863114056,0.7617692560934923,0.7764206362217473,0.7695745353771986,0.7729975857994729,0.7754970958053723,0.7684213377302417,0.771959216767807,0.7860582423794317,0.7731037817215569,0.7795810120504942,0.8795028568042408,0.8710774563825466,0.8752901565933937,0.7567744996031869,0.6648796635722526,0.6624163964928798,0.15081147854970983,0.7637987746623239,142929,77201,65728,63713,0.45986468806190484,0.5401353119380952,3192,6786
data/processed/dual_graphs/1990/blocks_in_cbsa_10540_1990_march_2020_vintage_connected.json,POC,WHITE,TOTPOP,1865781,910090.75,0.0505289550605253,0.9538065454087443,0.5021677502346348,0.0505289550605253,0.9538065454087443,0.5021677502346348,0.05448980309031549,0.9539024781836279,0.5041961406369717,0.05337820848926506,0.9538464885632402,0.5036123485262526,0.0575316655511637,0.9539764273434607,0.5057540464473121,0.05557093793421122,0.9538773447724352,0.5047241413533232,0.06189683123451718,0.9540829657674236,0.5079898985009704,0.05872450503419898,0.9539219010753184,0.5063232030547586,0.07320497792933921,0.9543612785702141,0.5137831282497767,0.06693217197814522,0.9540388669973844,0.5104855194877648,0.08071079141076246,0.9545478814156835,0.517629336413223,0.13504284359374072,0.9765202254185588,0.5557815345061498,0.4506908208313005,0.020838964617130324,0.01879650456206535,0.4130329884917879,0.2875847453490934,91199,87089,4110,171,0.045066283621530936,0.954933716378469,2599,5602
data/processed/dual_graphs/1990/blocks_in_cbsa_10580_1990_march_2020_vintage_connected.json,POC,WHITE,TOTPOP,53465341,26530314.0,0.2566972490617373,0.9313711988568891,0.5940342239593133,0.2566972490617373,0.9313711988568891,0.5940342239593133,0.26540828881315376,0.9285584279797369,0.5969833583964453,0.26504067007067733,0.9285166809246479,0.5967786754976626,0.27146660080270746,0.9264185236648946,0.598942562233801,0.27084823750352793,0.9263427807621532,0.5985955091328405,0.27934051591278836,0.9233779747846885,0.6013592453487384,0.2784023091445065,0.9232505999140198,0.6008264545292632,0.2961798582964469,0.9156632091341751,0.605921533715311,0.2945806037848268,0.9153872510046861,0.6049839273947565,0.3051969149407194,0.9106676280088868,0.6079322714748031,0.4653827760339038,0.9530341383128349,0.7092084571733693,0.5898359023418853,0.5449942813188852,0.5813571444469349,0.17028888249281274,0.711028749754556,809426,747189,62237,37725,0.07689029015623416,0.9231097098437658,13948,31497
data/processed/dual_graphs/1990/blocks_in_cbsa_10740_1990_march_2020_vintage_connected.json,POC,WHITE,TOTPOP,125691909,62700138.5,0.5034956226049652,0.6694785877096858,0.5864871051573255,0.5034956226049652,0.6694785877096858,0.5864871051573255,0.5050142261818594,0.6687067731312881,0.5868604996565738,0.5047235582434918,0.6685403630594359,0.5866319606514638,0.5060988478493396,0.6681503930348939,0.5871246204421168,0.5056014613803924,0.6678634376351993,0.5867324495077959,0.5075448867168708,0.6674018675504626,0.5874733771336667,0.5067730455332735,0.6669519625316079,0.5868625040324407,0.5107835022985505,0.6656968686324694,0.5882401854655099,0.5094017435079405,0.6648724736390044,0.5871371085734725,0.5126049128352983,0.6647202036134112,0.5886625582243548,0.6762707942854599,0.7978451667662974,0.7370579805258786,0.4480892578847565,0.5890266009719446,0.6081660492237025,0.16219363154988967,0.7288530760024431,583264,327238,256026,13188,0.4389538870905799,0.5610461129094201,8440,17800
data/processed/dual_graphs/1990/blocks_in_cbsa_10780_1990_march_2020_vintage_connected.json,POC,WHITE,TOTPOP,11169837,5547651.75,0.5269545594316888,0.847508647225175,0.6872316033284319,0.5269545594316888,0.847508647225175,0.6872316033284319,0.5331284547116211,0.8461517255159148,0.6896400901137679,0.5326435684542719,0.846019290416257,0.6893314294352644,0.537404134201309,0.8451760741731917,0.6912901041872503,0.5365903747213123,0.8449468302151205,0.6907686024682165,0.5429391215336187,0.8438667953760701,0.6934029584548445,0.5417080725219692,0.8435055492386201,0.6926068108802946,0.5546934154825455,0.8408986130749924,0.6977960142787689,0.5526079201054827,0.8402292171539203,0.6964185686297015,0.5609415174366855,0.8392071391866227,0.7000743283116542,0.7166484706809338,0.9120717897447315,0.8143601302128327,0.7294487232546571,0.7754489601265718,0.7915968819062099,0.09222874512865188,0.8536226166772994,149067,106666,42401,39188,0.28444256609444074,0.7155574339055593,3501,7116
data/processed/dual_graphs/1990/blocks_in_cbsa_10900_1990_march_2020_vintage_connected.json,POC,WHITE,TOTPOP,24474077,12065392.25,0.2957664466901409,0.9338115398461102,0.6147889932681255,0.2957664466901409,0.9338115398461102,0.6147889932681255,0.3035297119501642,0.9333388584955088,0.6184342852228365,0.30296241080820535,0.9332718895881007,0.618117150198153,0.3090832206275472,0.9329899269096101,0.6210365737685787,0.3081172931148162,0.9328728256533965,0.6204950593841063,0.31649870820822823,0.9325092566401163,0.6245039824241723,0.3150098819567501,0.9323221246331971,0.6236660032949736,0.3331543783850533,0.9313635194463596,0.6322589489157064,0.33053030851892684,0.9310049038480239,0.6307676061834754,0.3425506261314456,0.9306732622628823,0.6366119441971639,0.5066939053618069,0.963842357368585,0.735268131365196,0.6418139844638009,0.5100052829068958,0.5338903170025938,0.21854253182669414,0.6358861335285184,686585,637132,49453,12428,0.07202749841607375,0.9279725015839262,16784,36878
data/processed/dual_graphs/1990/blocks_in_cbsa_11020_1990_march_2020_vintage_connected.json,POC,WHITE,TOTPOP,880636,407683.0,0.034310043742817736,0.9860010078612501,0.5101555258020339,0.034310043742817736,0.9860010078612501,0.5101555258020339,0.04429597091231243,0.9853940947049806,0.5148450328086466,0.043068174069752545,0.9853758130287418,0.5142219935492471,0.05121464556138302,0.9849334699428169,0.5180740577521,0.04914938736022873,0.9849002674803294,0.5170248274202791,0.06017471834311821,0.9842806109576835,0.5222276646504008,0.05704102180304076,0.9842247094204726,0.5206328656117567,0.07921633118461878,0.9826326695406159,0.5309245003626173,0.07387271878860072,0.9825113334117374,0.528192026100169,0.08934565671092091,0.9815720658971675,0.5354588613040442,0.1530396202717471,0.9906139247299836,0.5718267725008653,0.7163682572040154,0.1407105214970247,0.14633285373415633,0.37083814080382815,0.3349642025113388,130540,128524,2016,1056,0.015443542209284511,0.9845564577907155,3202,6909
data/processed/dual_graphs/1990/blocks_in_cbsa_11100_1990_march_2020_vintage_connected.json,POC,WHITE,TOTPOP,10573776,5237423.5,0.33966179419715453,0.8623242921323206,0.6009930431647376,0.33966179419715453,0.8623242921323206,0.6009930431647376,0.34828725250087167,0.861948884052031,0.6051180682764513,0.3473838310415732,0.8617863385225605,0.6045850847820669,0.3546780303677595,0.8616628969203735,0.6081704636440665,0.3531190672775316,0.8613756727794551,0.6072473700284934,0.3635145132208538,0.8612559719914475,0.6123852426061507,0.3610685916755201,0.860790072684933,0.6109293321802265,0.38473236342888384,0.8602204638121302,0.622476413620507,0.380249449952231,0.8592931086230756,0.6197712792876533,0.39762172297878257,0.859547614959603,0.6285846689691927,0.5631830522916256,0.9237562942091397,0.7434696732503827,0.5588054054069267,0.6532398245502766,0.6979400199031919,0.13508287916857303,0.7529728103042264,197858,158370,39488,9562,0.199577474754622,0.800422525245378,4946,9783
