area_code,year,cluster,tract_count,component_count,area_black_population,area_total_population,area_black_share,cluster_rho,city_rho,city_mean_node_rho,cluster_mean_node_rho,dropoff,spread,center_node_id,center_gisjoin,center_geoid
1714000,1980,cluster_1,261,1,804171,1000434,0.8038221411907233,0.8589680049049034,0.477588957469597,0.4279932342189781,0.8283007990529128,3.6637824643478614,5.796661406591384,263,G17003106911,17003106911
1714000,1990,cluster_1,261,1,705349,854000,0.8259355971896956,0.8973757431492864,0.5043349569179773,0.475118546179319,0.8841385939881621,2.1150474067863003,5.8545797895793426,801,G17003106912,17003106912
1714000,2000,cluster_1,261,1,679640,810676,0.8383620583315653,0.9478226186591246,0.5374517240605446,0.5009823185665281,0.9276736647072633,-2.421724918688437,5.8517656406332765,191,G17031691200,17031691200
1714000,2010,cluster_1,234,1,553104,676265,0.8178805645715806,0.9594637727417811,0.5096651266173922,0.4696247208650931,0.9403656909628009,-5.221828764347315,5.321145751974313,492,G17031691200,17031691200
1714000,2020,cluster_1,230,1,495148,650816,0.760811043367096,0.9578998278230253,0.4820061489152303,0.46225904444811355,0.9386094568825389,-4.457447441707776,5.3006070912131324,326,G17031691200,17031691200
1714000,1980,cluster_2,120,1,291272,383837,0.758842946354833,0.8783544574818085,0.477588957469597,0.4279932342189781,0.8489912503956499,-2.299582868091397,4.456085720563597,281,G17003102315,17003102315
1714000,1990,cluster_2,120,1,252030,313405,0.8041671319857692,0.9480764239202808,0.5043349569179773,0.475118546179319,0.9329385254358739,-4.000350901871745,4.695198984247907,137,G17003102908,17003102908
1714000,2000,cluster_2,121,1,236343,300487,0.7865331944476799,0.9680990943386952,0.5374517240605446,0.5009823185665281,0.9361015937879485,-3.1399514298777533,4.1717165306355595,388,G17031260400,17031260400
1714000,2010,cluster_2,86,1,187842,253693,0.7404303626824548,0.9539145934581575,0.5096651266173922,0.4696247208650931,0.9268858518684926,-3.3360837681165307,3.1985285505903898,45,G17031831400,17031831400
1714000,2020,cluster_2,85,1,160889,248563,0.6472765455840169,0.934645838537461,0.4820061489152303,0.46225904444811355,0.8988433217752027,-3.43210937002316,3.1042333534300046,74,G17031831400,17031831400
4260000,1980,cluster_1,118,1,346570,640816,0.5408260717585079,0.5916112303198835,0.39682937480303415,0.3749077782018264,0.5737845890912717,4.454951492859921,3.5768935568572005,76,G42010100205,42010100205
4260000,1990,cluster_1,119,1,334609,591419,0.5657731658942307,0.6581000576264586,0.4305934426138892,0.4225493570994629,0.6498816579415835,5.6495136973815825,3.569560292759609,85,G42010100280,42010100280
4260000,2000,cluster_1,121,1,339098,555799,0.6101090502141961,0.7811644048625525,0.5006694986044363,0.49305714282371615,0.7845570852969249,2.70092913961285,3.8285864263428273,258,G42101028000,42101028000
4260000,2010,cluster_1,128,1,336192,542098,0.620168309051131,0.8524548596408043,0.5338486600070265,0.5273829417208052,0.844385981405722,-2.27732242843514,4.358515372168285,353,G42101028000,42101028000
4260000,2020,cluster_1,131,1,315271,545712,0.5777241475356965,0.8507111498474084,0.5270494555077305,0.5163285657624449,0.8403633932419132,-3.072241807515957,4.43926970764834,31,G42101028000,42101028000
4260000,1980,cluster_2,59,2,217810,309878,0.7028895242643879,0.7174053384627546,0.39682937480303415,0.3749077782018264,0.6957208343319122,1.7253778596693403,3.7229557871539414,14,G42010100085,42010100085
4260000,1990,cluster_2,59,2,216645,288780,0.7502077706212341,0.7727772110178137,0.4305934426138892,0.4225493570994629,0.7563469548402185,1.792974954374458,3.8675436774446674,30,G42010100095,42010100095
4260000,2000,cluster_2,59,2,216888,265082,0.8181921065934314,0.8697960738705861,0.5006694986044363,0.49305714282371615,0.8580480685174453,-0.2291637662412193,3.314973626941094,191,G42101008500,42101008500
4260000,2010,cluster_2,62,1,209366,247920,0.8444901581155211,0.9221303172044432,0.5338486600070265,0.5273829417208052,0.9105902971556981,-2.4353546383506175,3.244896497043455,150,G42101011100,42101011100
4260000,2020,cluster_2,63,1,195151,251058,0.777314405436194,0.8935076232773225,0.5270494555077305,0.5163285657624449,0.884317149393345,-1.849907568584747,3.296283390810193,119,G42101008200,42101008200
