cbsa,cluster,from_year,to_year,from_center_gisjoin,to_center_gisjoin,from_area_black_population,to_area_black_population,mass_change,mass_change_fraction,mass_stable,from_spread,to_spread,spread_change_edges,spread_change_fraction,diffusion,change_type
16980,hyde_park,1980,1990,G17003106911,G17003106912,816811,741899,-74912,-0.09171277076337121,False,5.693406430618588,6.007095305425671,0.31368887480708274,0.05509687014791257,False,diffusion_with_mass_loss
16980,hyde_park,1990,2000,G17003106912,G17031691200,741899,752749,10850,0.014624632193870056,True,6.007095305425671,5.997752238794074,-0.009343066631597452,-0.0015553385049773885,False,concentration
16980,hyde_park,2000,2010,G17031691200,G17031691200,752749,641421,-111328,-0.14789524795117628,False,5.997752238794074,5.675462761587164,-0.32228947720691004,-0.05373504345883259,False,concentration
16980,hyde_park,2010,2020,G17031691200,G17031841800,641421,585024,-56397,-0.08792509132067707,False,5.675462761587164,5.540037673668089,-0.13542508791907437,-0.023861505855639207,False,concentration
