cbsa,year,cluster,gisjoin,geoid,black_population,total_population,black_share
37980,1980,cluster_1,G4200910202202,4200910202202,60,3024,0.02040816326530612
37980,1980,cluster_1,G4200910202401,4200910202401,615,2687,0.24728588661037396
37980,1980,cluster_1,G4200910202402,4200910202402,977,5303,0.19183192617317887
37980,1980,cluster_1,G42009102025,42009102025,601,4651,0.13394250055716514
37980,1980,cluster_1,G42010100131,42010100131,2452,2772,0.9398236872364891
37980,1980,cluster_1,G42010100132,42010100132,4353,4722,0.9636927164046933
37980,1980,cluster_1,G42010100137,42010100137,6548,7220,0.9265600679213245
37980,1980,cluster_1,G42010100138,42010100138,3620,3728,0.980498374864572
37980,1980,cluster_1,G42010100139,42010100139,5001,5404,0.9379219804951238
37980,1980,cluster_1,G42010100140,42010100140,4348,4622,0.9698862368949365
37980,1980,cluster_1,G42010100141,42010100141,2722,3536,0.8971654581410679
37980,1980,cluster_1,G42010100145,42010100145,1578,2764,0.9752781211372065
37980,1980,cluster_1,G42010100148,42010100148,1688,1738,0.9929411764705882
37980,1980,cluster_1,G42010100149,42010100149,6711,6853,0.9917245455888872
37980,1980,cluster_1,G42010100151,42010100151,10551,10745,0.991915013631663
37980,1980,cluster_1,G42010100152,42010100152,11036,11241,0.9941446716512026
37980,1980,cluster_1,G42010100154,42010100154,942,2150,0.45266698702546854
37980,1980,cluster_1,G42010100155,42010100155,3486,4565,0.9900596421471173
37980,1980,cluster_1,G42010100162,42010100162,1036,3537,0.804972804972805
37980,1980,cluster_1,G42010100163,42010100163,829,4229,0.4155388471177945
37980,1980,cluster_1,G42010100164,42010100164,2703,6141,0.9272727272727272
37980,1980,cluster_1,G42010100165,42010100165,4744,5095,0.9868941127522364
37980,1980,cluster_1,G42010100166,42010100166,1715,1788,0.9873344847438111
37980,1980,cluster_1,G42010100167,42010100167,10222,10391,0.9946482436508709
37980,1980,cluster_1,G42010100168,42010100168,5782,5903,0.9956948510418461
37980,1980,cluster_1,G42010100169,42010100169,14255,14604,0.9909628084810567
37980,1980,cluster_1,G42010100170,42010100170,3865,4532,0.8654276757725033
37980,1980,cluster_1,G42010100171,42010100171,5806,6076,0.9700918964076859
37980,1980,cluster_1,G42010100172,42010100172,11000,11316,0.9804795436313397
37980,1980,cluster_1,G42010100173,42010100173,3842,3993,0.9763659466327828
37980,1980,cluster_1,G42010100174,42010100174,3605,3780,0.9855112083105522
37980,1980,cluster_1,G42010100175,42010100175,3728,9663,0.8681881695388914
37980,1980,cluster_1,G42010100176,42010100176,657,10791,0.11325633511463541
37980,1980,cluster_1,G42010100177,42010100177,3,9122,0.00033609679587721263
37980,1980,cluster_1,G42010100178,42010100178,53,6881,0.007974721637074932
37980,1980,cluster_1,G42010100188,42010100188,0,7432,0.0
37980,1980,cluster_1,G42010100190,42010100190,1,6761,0.00014947683109118088
37980,1980,cluster_1,G42010100192,42010100192,1,7364,0.0001373060551970342
37980,1980,cluster_1,G42010100195,42010100195,174,8399,0.027786649632705204
37980,1980,cluster_1,G42010100196,42010100196,104,2390,0.07022282241728561
37980,1980,cluster_1,G42010100197,42010100197,1003,7213,0.2838947070478347
37980,1980,cluster_1,G42010100198,42010100198,2487,7486,0.6481626270523847
37980,1980,cluster_1,G42010100199,42010100199,2511,5827,0.6583639223911903
37980,1980,cluster_1,G42010100200,42010100200,1624,2536,0.698494623655914
37980,1980,cluster_1,G42010100201,42010100201,9223,9799,0.962031918222593
37980,1980,cluster_1,G42010100202,42010100202,6920,7359,0.9567261164108946
37980,1980,cluster_1,G42010100203,42010100203,3963,4752,0.8885650224215247
37980,1980,cluster_1,G42010100204,42010100204,3596,4217,0.8775012201073694
37980,1980,cluster_1,G42010100205,42010100205,2260,3283,0.716323296354992
37980,1980,cluster_1,G42010100237,42010100237,3407,5516,0.636822429906542
37980,1980,cluster_1,G42010100238,42010100238,3190,4941,0.6615512235586893
37980,1980,cluster_1,G42010100239,42010100239,470,1913,0.2496016994158258
37980,1980,cluster_1,G42010100240,42010100240,2016,4075,0.5163934426229508
37980,1980,cluster_1,G42010100241,42010100241,736,1463,0.5175808720112518
37980,1980,cluster_1,G42010100242,42010100242,3060,4807,0.6600517687661778
37980,1980,cluster_1,G42010100243,42010100243,2592,4511,0.6046186144156753
37980,1980,cluster_1,G42010100244,42010100244,3172,4200,0.7937937937937938
37980,1980,cluster_1,G42010100245,42010100245,3675,4598,0.8164852255054432
37980,1980,cluster_1,G42010100246,42010100246,3029,3633,0.8537204058624577
37980,1980,cluster_1,G42010100247,42010100247,4517,5823,0.7956667253831249
37980,1980,cluster_1,G42010100248,42010100248,2369,2719,0.8806691449814127
37980,1980,cluster_1,G42010100249,42010100249,3971,4446,0.9101535640614257
37980,1980,cluster_1,G42010100250,42010100250,671,909,0.7472160356347439
37980,1980,cluster_1,G42010100251,42010100251,2243,2448,0.9353628023352794
37980,1980,cluster_1,G42010100252,42010100252,7287,8268,0.898409567254346
37980,1980,cluster_1,G42010100253,42010100253,4591,4911,0.9546683302141817
37980,1980,cluster_1,G42010100254,42010100254,4233,4977,0.874045013421433
37980,1980,cluster_1,G42010100255,42010100255,1843,3067,0.6266575994559673
37980,1980,cluster_1,G42010100258,42010100258,1703,2106,0.8246973365617434
37980,1980,cluster_1,G42010100259,42010100259,5002,5862,0.8659972299168975
37980,1980,cluster_1,G42010100260,42010100260,3180,3625,0.8910058840011208
37980,1980,cluster_1,G42010100261,42010100261,3260,3798,0.8834688346883469
37980,1980,cluster_1,G42010100262,42010100262,4917,5371,0.9351464435146444
37980,1980,cluster_1,G42010100263,42010100263,10013,11474,0.890123566539248
37980,1980,cluster_1,G42010100264,42010100264,6192,6841,0.9204697487735989
37980,1980,cluster_1,G42010100265,42010100265,5295,5798,0.9242450689474603
37980,1980,cluster_1,G42010100266,42010100266,7773,8328,0.9481580873383753
37980,1980,cluster_1,G42010100267,42010100267,8182,8650,0.958191825740719
37980,1980,cluster_1,G42010100268,42010100268,2879,4933,0.6137284161159667
37980,1980,cluster_1,G42010100269,42010100269,247,2023,0.13145290047897817
37980,1980,cluster_1,G42010100270,42010100270,463,2474,0.1938860971524288
37980,1980,cluster_1,G42010100271,42010100271,2,2206,0.0009233610341643582
37980,1980,cluster_1,G42010100272,42010100272,791,4739,0.18063484813884448
37980,1980,cluster_1,G42010100273,42010100273,368,5316,0.07169296707578414
37980,1980,cluster_1,G42010100274,42010100274,14,8911,0.0016177490177952392
37980,1980,cluster_1,G42010100275,42010100275,57,4516,0.013639626704953339
37980,1980,cluster_1,G42010100276,42010100276,2856,4595,0.7156101227762466
37980,1980,cluster_1,G42010100277,42010100277,5141,5984,0.8819694630296792
37980,1980,cluster_1,G42010100278,42010100278,5527,6005,0.9412465940054496
37980,1980,cluster_1,G42010100279,42010100279,7286,8549,0.870385855931191
37980,1980,cluster_1,G42010100280,42010100280,4973,5463,0.9302282080059858
37980,1980,cluster_1,G42010100281,42010100281,2974,4581,0.7354104846686449
37980,1980,cluster_1,G42010100282,42010100282,2633,6034,0.5315970119119725
37980,1980,cluster_1,G42010100283,42010100283,6189,9895,0.794786182098369
37980,1980,cluster_1,G42010100284,42010100284,3867,6881,0.7096714993576803
37980,1980,cluster_1,G42010100285,42010100285,172,2157,0.10443230115361263
37980,1980,cluster_1,G42010100286,42010100286,60,6630,0.010608203677510608
37980,1980,cluster_1,G42010100287,42010100287,44,2299,0.029850746268656716
37980,1980,cluster_1,G42010100288,42010100288,8,3595,0.002391629297458894
37980,1980,cluster_1,G42010100289,42010100289,9,8963,0.0010711735301118781
37980,1980,cluster_1,G42010100290,42010100290,9,5437,0.0017567831348819052
37980,1980,cluster_1,G42010100291,42010100291,124,4263,0.030587074494326592
37980,1980,cluster_1,G42010100292,42010100292,21,4015,0.005642127888232133
37980,1980,cluster_1,G42010100293,42010100293,1,3039,0.00033932813030200206
37980,1980,cluster_1,G42010100294,42010100294,699,3352,0.22396667734700418
37980,1980,cluster_1,G42010100298,42010100298,4,4609,0.0008800880088008801
37980,1980,cluster_1,G42010100299,42010100299,924,4698,0.20347940982162518
37980,1980,cluster_1,G42010100300,42010100300,1870,6937,0.2812876052948255
37980,1980,cluster_1,G42010100301,42010100301,11,5544,0.0020634027386981805
37980,1980,cluster_1,G42010100302,42010100302,4,6616,0.0006142506142506142
37980,1980,cluster_1,G42010100303,42010100303,83,7715,0.011032832646550578
37980,1980,cluster_1,G42010100304,42010100304,1,508,0.002012072434607646
37980,1980,cluster_1,G42010100305,42010100305,3,10220,0.00029615004935834154
37980,1980,cluster_1,G42010100306,42010100306,3,6526,0.0004655493482309125
37980,1980,cluster_1,G42010100309,42010100309,4,3286,0.0012492192379762648
37980,1980,cluster_1,G42010100311,42010100311,1,8316,0.00012312238364934746
37980,1980,cluster_1,G42010100312,42010100312,2,3982,0.0005217845030002609
37980,1980,cluster_1,G42010100313,42010100313,0,5681,0.0
37980,1980,cluster_1,G42010100318,42010100318,3,3591,0.0008424599831508003
37980,1990,cluster_1,G4200910202298,4200910202298,171,2852,0.06761565836298933
37980,1990,cluster_1,G4200910202401,4200910202401,1886,3138,0.7851790174854288
37980,1990,cluster_1,G4200910202402,4200910202402,1136,4907,0.252388358142635
37980,1990,cluster_1,G42009102025,42009102025,1332,4315,0.31850789096126253
37980,1990,cluster_1,G42010100131,42010100131,2000,2200,0.9770395701025891
37980,1990,cluster_1,G42010100132,42010100132,3801,4166,0.9642313546423136
37980,1990,cluster_1,G42010100137,42010100137,5975,6573,0.9277950310559007
37980,1990,cluster_1,G42010100138,42010100138,2826,2941,0.9721362229102167
37980,1990,cluster_1,G42010100139,42010100139,4217,4785,0.9107991360691144
37980,1990,cluster_1,G42010100140,42010100140,3357,3594,0.9693907017037251
37980,1990,cluster_1,G42010100141,42010100141,2252,2768,0.9073327961321515
37980,1990,cluster_1,G42010100145,42010100145,1231,2006,0.9808764940239044
37980,1990,cluster_1,G42010100148,42010100148,1243,1278,0.9912280701754386
37980,1990,cluster_1,G42010100149,42010100149,5718,5834,0.9933981931897151
37980,1990,cluster_1,G42010100151,42010100151,9062,9215,0.9941854086670323
37980,1990,cluster_1,G42010100152,42010100152,7963,8134,0.9957484056521195
37980,1990,cluster_1,G42010100154,42010100154,937,1819,0.5391254315304949
37980,1990,cluster_1,G42010100155,42010100155,2689,3413,0.9951887490747594
37980,1990,cluster_1,G42010100162,42010100162,610,2858,0.8425414364640884
37980,1990,cluster_1,G42010100163,42010100163,648,4147,0.629126213592233
37980,1990,cluster_1,G42010100164,42010100164,2233,5589,0.9542735042735043
37980,1990,cluster_1,G42010100165,42010100165,3625,3870,0.9904371584699454
37980,1990,cluster_1,G42010100166,42010100166,1419,1475,0.9909217877094972
37980,1990,cluster_1,G42010100167,42010100167,8377,8509,0.993830822161585
37980,1990,cluster_1,G42010100168,42010100168,5271,5370,0.9954674220963173
37980,1990,cluster_1,G42010100169,42010100169,12096,12278,0.9942462600690449
37980,1990,cluster_1,G42010100170,42010100170,3511,3927,0.9070007749935417
37980,1990,cluster_1,G42010100171,42010100171,5203,5276,0.9918032786885246
37980,1990,cluster_1,G42010100172,42010100172,9796,9976,0.9928042971521233
37980,1990,cluster_1,G42010100173,42010100173,3687,3815,0.9879421221864951
37980,1990,cluster_1,G42010100174,42010100174,3216,3406,0.9941267387944358
37980,1990,cluster_1,G42010100175,42010100175,2717,9010,0.9216417910447762
37980,1990,cluster_1,G42010100176,42010100176,638,11464,0.2621199671322925
37980,1990,cluster_1,G42010100177,42010100177,89,8597,0.011936695278969957
37980,1990,cluster_1,G42010100178,42010100178,95,6252,0.01645021645021645
37980,1990,cluster_1,G42010100188,42010100188,8,7167,0.001142204454597373
37980,1990,cluster_1,G42010100190,42010100190,95,6428,0.01550514117839073
37980,1990,cluster_1,G42010100192,42010100192,29,7078,0.0043374214777146276
37980,1990,cluster_1,G42010100195,42010100195,346,8707,0.11449371277299801
37980,1990,cluster_1,G42010100196,42010100196,425,2639,0.4769921436588103
37980,1990,cluster_1,G42010100197,42010100197,2571,7736,0.80620884289746
37980,1990,cluster_1,G42010100198,42010100198,2570,6966,0.8798356727148237
37980,1990,cluster_1,G42010100199,42010100199,2404,5390,0.8694394213381555
37980,1990,cluster_1,G42010100200,42010100200,1564,2176,0.8099430346970482
37980,1990,cluster_1,G42010100201,42010100201,7810,8049,0.9879822896900696
37980,1990,cluster_1,G42010100202,42010100202,5889,6102,0.9772651842017922
37980,1990,cluster_1,G42010100203,42010100203,3359,3780,0.9406328759451135
37980,1990,cluster_1,G42010100204,42010100204,3565,3805,0.9578183772165503
37980,1990,cluster_1,G42010100205,42010100205,2958,3460,0.8882882882882883
37980,1990,cluster_1,G42010100237,42010100237,3252,5349,0.6326848249027237
37980,1990,cluster_1,G42010100238,42010100238,3145,4650,0.6974939010867155
37980,1990,cluster_1,G42010100239,42010100239,835,1702,0.514479359211337
37980,1990,cluster_1,G42010100240,42010100240,2767,4193,0.6811915312653866
37980,1990,cluster_1,G42010100241,42010100241,1148,1495,0.7961165048543689
37980,1990,cluster_1,G42010100242,42010100242,3213,4312,0.7789090909090909
37980,1990,cluster_1,G42010100243,42010100243,3238,4294,0.7779913503123498
37980,1990,cluster_1,G42010100244,42010100244,3132,3671,0.8864987262949335
37980,1990,cluster_1,G42010100245,42010100245,4077,4527,0.9133064516129032
37980,1990,cluster_1,G42010100246,42010100246,2933,3310,0.9128540305010894
37980,1990,cluster_1,G42010100247,42010100247,4984,5640,0.9070063694267516
37980,1990,cluster_1,G42010100248,42010100248,2115,2210,0.9670781893004116
37980,1990,cluster_1,G42010100249,42010100249,3941,4144,0.9652216507469997
37980,1990,cluster_1,G42010100250,42010100250,769,914,0.8768529076396807
37980,1990,cluster_1,G42010100251,42010100251,2140,2275,0.9596412556053812
37980,1990,cluster_1,G42010100252,42010100252,6823,7379,0.9433153601548459
37980,1990,cluster_1,G42010100253,42010100253,4101,4315,0.965168274888209
37980,1990,cluster_1,G42010100254,42010100254,4077,4548,0.9180364782706597
37980,1990,cluster_1,G42010100255,42010100255,1887,2898,0.6804904435629282
37980,1990,cluster_1,G42010100258,42010100258,1641,1838,0.906129210381005
37980,1990,cluster_1,G42010100259,42010100259,5172,5511,0.953012714206744
37980,1990,cluster_1,G42010100260,42010100260,3300,3502,0.9581881533101045
37980,1990,cluster_1,G42010100261,42010100261,3408,3625,0.9543545225427051
37980,1990,cluster_1,G42010100262,42010100262,4967,5177,0.9754516889238021
37980,1990,cluster_1,G42010100263,42010100263,10445,11011,0.963116643614569
37980,1990,cluster_1,G42010100264,42010100264,6147,6443,0.9721651114977068
37980,1990,cluster_1,G42010100265,42010100265,5105,5367,0.9723809523809523
37980,1990,cluster_1,G42010100266,42010100266,7291,7490,0.9827470009435234
37980,1990,cluster_1,G42010100267,42010100267,7645,7834,0.9869610121352956
37980,1990,cluster_1,G42010100268,42010100268,3623,4644,0.815990990990991
37980,1990,cluster_1,G42010100269,42010100269,715,2294,0.35732133933033483
37980,1990,cluster_1,G42010100270,42010100270,902,2275,0.4342802118440058
37980,1990,cluster_1,G42010100271,42010100271,85,2455,0.043634496919917866
37980,1990,cluster_1,G42010100272,42010100272,1802,4446,0.4965555249379994
37980,1990,cluster_1,G42010100273,42010100273,485,5525,0.12281590276019246
37980,1990,cluster_1,G42010100274,42010100274,382,9620,0.0566849680961567
37980,1990,cluster_1,G42010100275,42010100275,1036,4651,0.3128964059196617
37980,1990,cluster_1,G42010100276,42010100276,3262,4250,0.8738280203589606
37980,1990,cluster_1,G42010100277,42010100277,5055,5358,0.9595671981776766
37980,1990,cluster_1,G42010100278,42010100278,5007,5262,0.9707250872431175
37980,1990,cluster_1,G42010100279,42010100279,6711,7901,0.8641514293072367
37980,1990,cluster_1,G42010100280,42010100280,4992,5219,0.9727201870615745
37980,1990,cluster_1,G42010100281,42010100281,3724,4377,0.9272908366533864
37980,1990,cluster_1,G42010100282,42010100282,3875,6016,0.7214671383355055
37980,1990,cluster_1,G42010100283,42010100283,6874,8746,0.9384300341296928
37980,1990,cluster_1,G42010100284,42010100284,4525,5865,0.9253578732106339
37980,1990,cluster_1,G42010100285,42010100285,703,2259,0.5887772194304858
37980,1990,cluster_1,G42010100286,42010100286,1908,7114,0.46187363834422657
37980,1990,cluster_1,G42010100287,42010100287,492,2468,0.4641509433962264
37980,1990,cluster_1,G42010100288,42010100288,345,3853,0.15285777580859547
