Miami-Fort Lauderdale-West Palm Beach, FL (block groups) — Degree Report
============================================================

1990  |  block_groups_in_cbsa_33100_1990_march_2020_vintage_connected.json
  Rank  Degree  Unit
  -------------------------------------------------------
     1      14  12009900079022
     2      13  120011008029
     3      13  120011012011
     4      12  120025000489
     5      12  12002500107019
     6      12  12002500110024
     7      12  12009900081012
     8      11  120011011011
     9      11  120011011037
    10      11  12002500004019
    11      11  120025000911
    12      11  12009900002079
    13      10  120011001069
    14      10  120011004041
    15      10  12001100702019
    16      10  12001100702023
    17      10  120011007059
    18      10  12002500002032
    19      10  12002500022024
    20      10  12002500039011

2000  |  block_groups_in_cbsa_33100_2000_march_2020_vintage_connected.json
  Rank  Degree  Unit
  -------------------------------------------------------
     1      15  120990079031
     2      14  120110422001
     3      14  120110802001
     4      14  120990070029
     5      13  120110610021
     6      13  120860037021
     7      13  120860048009
     8      13  120860039066
     9      13  120860101311
    10      12  120110425001
    11      12  120860101292
    12      12  120990078111
    13      12  120990048042
    14      11  120110302007
    15      11  120111101004
    16      11  120111103061
    17      11  120110103013
    18      11  120860110042
    19      11  120860084053
    20      11  120990078061

2010  |  block_groups_in_cbsa_33100_2010_march_2020_vintage_connected.json
  Rank  Degree  Unit
  -------------------------------------------------------
     1      23  120119800001
     2      22  120869805001
     3      14  120860141001
     4      14  120860124004
     5      13  120110802001
     6      13  120860001131
     7      13  120860097041
     8      13  120860090401
     9      13  120860115003
    10      13  120990019071
    11      13  120990079121
    12      12  120110601204
    13      12  120860039061
    14      12  120860001091
    15      12  120990070021
    16      11  120110302021
    17      11  120110605015
    18      11  120111101003
    19      11  120110309031
    20      11  120860039192

2020  |  block_groups_in_cbsa_33100_2020_march_2020_vintage_connected.json
  Rank  Degree  Unit
  -------------------------------------------------------
     1      21  120869805001
     2      15  120869811001
     3      15  120860141001
     4      14  120990079174
     5      14  120860124031
     6      14  120860202004
     7      13  120990078372
     8      13  120111101003
     9      13  120860067153
    10      12  120860104003
    11      12  120860039061
    12      12  120110802001
    13      12  120860157002
    14      12  120110601204
    15      12  120860089041
    16      12  120860001092
    17      12  120860067074
    18      11  120990050003
    19      11  120860001412
    20      11  120860091021
