Miami-Fort Lauderdale-West Palm Beach, FL (tracts) — Degree Report
============================================================

1980  |  tracts_in_cbsa_33100_1980_march_2020_vintage_connected.json
  Rank  Degree  Unit
  -------------------------------------------------------
     1      14  12001101103
     2      11  1200990007701
     3      11  1200990007801
     4      10  12002500091
     5       9  12002500074
     6       9  1200250000502
     7       9  1200250010102
     8       9  1200250000401
     9       9  12009900064
    10       9  1200990007203
    11       9  12002500048
    12       9  1200990008101
    13       9  1200990007503
    14       9  1200990007601
    15       8  12001100802
    16       8  1200110050302
    17       8  12001100205
    18       8  12001100701
    19       8  1200250000407
    20       8  12001100414

1990  |  tracts_in_cbsa_33100_1990_march_2020_vintage_connected.json
  Rank  Degree  Unit
  -------------------------------------------------------
     1      15  12001101103
     2      13  12001101201
     3      12  12002500091
     4      12  1200990007902
     5      10  12002500115
     6       9  1200110060104
     7       9  12002500111
     8       9  12002500074
     9       9  1200250000401
    10       9  1200250000502
    11       9  12009900064
    12       9  1200990007203
    13       9  1200990007706
    14       9  12002500048
    15       9  1200990008101
    16       9  1200990007503
    17       9  12001100104
    18       8  12001100106
    19       8  12001100205
    20       8  12001100802

2000  |  tracts_in_cbsa_33100_2000_march_2020_vintage_connected.json
  Rank  Degree  Unit
  -------------------------------------------------------
     1      20  12011070307
     2      15  12099007903
     3      14  12086009100
     4      13  12086011500
     5      11  12099007713
     6      10  12011070206
     7      10  12086001202
     8      10  12086000502
     9      10  12086010129
    10      10  12099007727
    11       9  12011060121
    12       9  12011110317
    13       9  12011060800
    14       9  12011060120
    15       9  12011090100
    16       9  12011042200
    17       9  12086003702
    18       9  12086011100
    19       9  12086010170
    20       9  12086000401

2010  |  tracts_in_cbsa_33100_2010_march_2020_vintage_connected.json
  Rank  Degree  Unit
  -------------------------------------------------------
     1      21  12011980000
     2      13  12086006702
     3      13  12099007713
     4      12  12086009100
     5      12  12086011500
     6      11  12086012400
     7      11  12086014000
     8      11  12086009040
     9      11  12086980500
    10      10  12086000708
    11      10  12086009010
    12      10  12086014500
    13      10  12086009704
    14      10  12099007837
    15      10  12099007002
    16       9  12011080200
    17       9  12011060121
    18       9  12011010601
    19       9  12011020502
    20       9  12086005102

2020  |  tracts_in_cbsa_33100_2020_march_2020_vintage_connected.json
  Rank  Degree  Unit
  -------------------------------------------------------
     1      14  115
     2      13  9811
     3      12  91.02
     4      12  79.17
     5      12  9805
     6      12  90.10
     7      12  141
     8      11  78.37
     9      11  124.03
    10      11  157
    11      10  1103.21
    12      10  145
    13      10  202
    14      10  77.05
    15      10  27.02
    16       9  51.02
    17       9  41.06
    18       9  7.18
    19       9  90.40
    20       9  3.10
