cbsa,cluster,cluster_title,from_year,to_year,from_center_gisjoin,to_center_gisjoin,from_area_black_population,to_area_black_population,mass_change,mass_change_fraction,mass_stable,from_spread,to_spread,spread_change_edges,spread_change_fraction,diffusion,change_type
16980,cluster_1,"Chicago, South Side",1980,1990,G17003104401,G17003105001,1009786,953563,-56223,-0.0556781337828015,False,6.993357008316614,7.045035304431904,0.0516782961152904,0.007389626477503398,True,diffusion_with_mass_loss
16980,cluster_1,"Chicago, South Side",1990,2000,G17003105001,G17031510400,953563,1011638,58075,0.06090316004291274,False,7.045035304431904,6.311589718852001,-0.7334455855799034,-0.10410814905618798,False,concentration
16980,cluster_1,"Chicago, South Side",2000,2010,G17031510400,G17031838800,1011638,932657,-78981,-0.07807239348462593,False,6.311589718852001,6.312781654992135,0.0011919361401346862,0.00018884879930875553,True,diffusion_with_mass_loss
16980,cluster_1,"Chicago, South Side",2010,2020,G17031838800,G17031838800,932657,859233,-73424,-0.07872561938633388,False,6.312781654992135,6.2799741164503695,-0.03280753854176588,-0.005197001945381992,False,concentration
16980,cluster_2,"Chicago, Austin",1980,1990,G17003102908,G17003102604,291275,252045,-39230,-0.13468371813578234,False,4.44625525705948,4.411791545160586,-0.03446371189889419,-0.007751177093167314,False,concentration
16980,cluster_2,"Chicago, Austin",1990,2000,G17003102604,G17031251800,252045,236579,-15466,-0.06136205836259398,False,4.411791545160586,4.162968818026959,-0.24882272713362674,-0.05639947504014942,False,concentration
16980,cluster_2,"Chicago, Austin",2000,2010,G17031251800,G17031831400,236579,188871,-47708,-0.20165779718402732,False,4.162968818026959,3.1823466810680308,-0.9806221369589285,-0.23555836707508532,False,concentration
16980,cluster_2,"Chicago, Austin",2010,2020,G17031831400,G17031831400,188871,161676,-27195,-0.1439871658433534,False,3.1823466810680308,3.0910895865805688,-0.091257094487462,-0.028676038041472937,False,concentration
33100,cluster_1,"Miami, 1",1980,1990,G1200250001004,G1200250000407,209366,280707,71341,0.3407477813971705,False,3.562741801438629,3.689640799837553,0.1268989983989237,0.035618353917110164,False,expansion_with_mass_growth
33100,cluster_1,"Miami, 1",1990,2000,G1200250000407,G12086000401,280707,343697,62990,0.22439768156832568,False,3.689640799837553,3.7826253938789103,0.0929845940413574,0.025201530199213784,False,expansion_with_mass_growth
33100,cluster_1,"Miami, 1",2000,2010,G12086000401,G12086000414,343697,373542,29845,0.0868352065918527,False,3.7826253938789103,4.399020725915694,0.6163953320367836,0.16295436842205996,False,expansion_with_mass_growth
33100,cluster_1,"Miami, 1",2010,2020,G12086000414,G12086000414,373542,346401,-27141,-0.07265849623335528,False,4.399020725915694,4.664108937329858,0.26508821141416394,0.06026073254269189,True,diffusion_with_mass_loss
33100,cluster_2,"Miami, 2",1980,1990,G12001100414,G12001100412,60666,96029,35363,0.5829129990439456,False,1.4674611808920976,1.906705266117527,0.43924408522542935,0.2993224563244695,False,expansion_with_mass_growth
33100,cluster_2,"Miami, 2",1990,2000,G12001100412,G12011060800,96029,150296,54267,0.5651105395245186,False,1.906705266117527,2.8903430563687658,0.9836377902512388,0.5158835021493083,False,expansion_with_mass_growth
33100,cluster_2,"Miami, 2",2000,2010,G12011060800,G12011050306,150296,187408,37112,0.24692606589663066,False,2.8903430563687658,3.3621030052078886,0.47175994883912287,0.16321936172926496,False,expansion_with_mass_growth
33100,cluster_2,"Miami, 2",2010,2020,G12011050306,G12011060124,187408,212282,24874,0.1327264577819517,False,3.3621030052078886,3.5062511187948107,0.14414811358692203,0.042874389441262505,False,expansion_with_mass_growth
37980,cluster_1,"Philadelphia, Germantown",1980,1990,G42010100205,G42010100280,348823,339134,-9689,-0.02777626475318428,True,3.5897346218569304,3.585113848803128,-0.004620773053802374,-0.0012872185664276482,False,concentration
37980,cluster_1,"Philadelphia, Germantown",1990,2000,G42010100280,G42101028000,339134,346243,7109,0.020962215525426528,True,3.585113848803128,3.824750247658436,0.23963639885530785,0.06684206107856498,True,diffusion_with_no_mass_change
37980,cluster_1,"Philadelphia, Germantown",2000,2010,G42101028000,G42101028000,346243,344589,-1654,-0.004776991881424318,True,3.824750247658436,4.387754687468259,0.5630044398098235,0.14720031462302735,True,diffusion_with_no_mass_change
37980,cluster_1,"Philadelphia, Germantown",2010,2020,G42101028000,G42101028000,344589,324743,-19846,-0.05759324876882315,False,4.387754687468259,4.470344241446313,0.08258955397805323,0.01882273733623598,True,diffusion_with_mass_loss
37980,cluster_2,"Philadelphia, Chester",1980,1990,G42010100085,G42010100095,229049,235133,6084,0.026562002017035655,True,3.780640823579234,3.909446993829024,0.1288061702497898,0.03406993053834866,True,diffusion_with_no_mass_change
37980,cluster_2,"Philadelphia, Chester",1990,2000,G42010100095,G42101008200,235133,249092,13959,0.05936640114318279,False,3.909446993829024,3.294955277568127,-0.6144917162608969,-0.15718123745656576,False,concentration
37980,cluster_2,"Philadelphia, Chester",2000,2010,G42101008200,G42101008200,249092,264097,15005,0.0602387872753842,False,3.294955277568127,3.151898734177215,-0.1430565433909119,-0.043416839179831336,False,concentration
37980,cluster_2,"Philadelphia, Chester",2010,2020,G42101008200,G42101008200,264097,257752,-6345,-0.024025263444870635,True,3.151898734177215,3.151711722896428,-0.00018701128078690843,-5.933289631391874e-05,False,concentration
