Philadelphia-Camden-Wilmington, PA-NJ-DE-MD (block groups) — Degree Report
============================================================

1990  |  block_groups_in_cbsa_37980_1990_march_2020_vintage_connected.json
  Rank  Degree  Unit
  -------------------------------------------------------
     1      29  420101003431
     2      22  420101000971
     3      20  42001701030029
     4      20  420091020789
     5      19  420029030399
     6      19  420101002231
     7      18  100003001639
     8      17  34000706091019
     9      17  420029030339
    10      17  420101001231
    11      17  420101001509
    12      16  340005070249
    13      16  340005070279
    14      16  340015050199
    15      15  100003001389
    16      15  42002903001079
    17      15  420029030109
    18      15  420029030629
    19      15  42009102058989
    20      14  34000507005059

2000  |  block_groups_in_cbsa_37980_2000_march_2020_vintage_connected.json
  Rank  Degree  Unit
  -------------------------------------------------------
     1      29  421010343001
     2      20  421010097001
     3      19  421010223001
     4      17  340155005009
     5      17  421010150009
     6      17  421010123001
     7      15  340057038043
     8      15  420171008072
     9      15  421010366001
    10      14  340076027011
    11      14  340057005051
    12      14  420171003021
    13      14  420171009003
    14      14  420912058019
    15      13  100030138009
    16      13  340057029061
    17      13  340057029101
    18      13  420912025002
    19      13  421010223002
    20      13  420912043001

2010  |  block_groups_in_cbsa_37980_2010_march_2020_vintage_connected.json
  Rank  Degree  Unit
  -------------------------------------------------------
     1      37  421019800001
     2      30  421019802001
     3      24  421019801001
     4      22  421019809001
     5      18  340076105004
     6      17  340155005005
     7      17  421019808001
     8      17  421010383001
     9      14  340057029061
    10      14  420171003021
    11      14  420293001072
    12      14  420912058011
    13      14  421010173002
    14      14  421019807001
    15      13  340155007031
    16      13  340057038044
    17      13  420912043001
    18      13  421010390001
    19      13  421019803001
    20      12  340057032011

2020  |  block_groups_in_cbsa_37980_2020_march_2020_vintage_connected.json
  Rank  Degree  Unit
  -------------------------------------------------------
     1      29  421019802001
     2      24  421019801001
     3      17  421019800021
     4      17  421019808001
     5      15  421010381001
     6      13  340057008002
     7      13  340076044001
     8      12  240150305033
     9      12  340076105001
    10      12  340057032013
    11      12  340057014013
    12      12  340076030013
    13      12  421010173003
    14      12  420912047011
    15      12  420171003021
    16      12  421010291001
    17      11  100030150001
    18      11  100030117004
    19      11  100030148082
    20      11  100030108003
