GISJOIN,YEAR,FSTATUS,REGIONA,DIVISIONA,STATE,STATEA,SMSAA,COUNTY,COUNTYA,CTY_SUBA,PLACEA,TRACTA,BLCK_GRPA,BLOCKA,EDINDA,ENUMDISTA,SCSAA,URB_AREAA,CDA,AIANHHA,MCDSEQNO,SEA,UATYPE,PLACDESC,CBD,INDSUBR,LONGITUD,LATITUDE,LANDAREA,AREANAME,SUPFLG01,SUPFLG02,SUPFLG03,SUPFLG04,SUPFLG05,SUPFLG06,SUPFLG07,SUPFLG08,SUPFLG09,SUPFLG10,SUPFLG11,SUPFLG12,SUPFLG13,SUPFLG14,SUPFLG15,SUPFLG16,SUPFLG17,SUPFLG18,SUPFLG19,SUPFLG20,SUPFLG21,C9D001,C9D002,C9D003,C9D004,C9D005,C9D006,C9D007,C9D008,C9D009,C9D010,C9D011,C9D012,C9D013,C9D014,C9D015,C9F001,C9G001,C9G002,C9G003,C9G004
GIS Join Match Code,Data File Year,Functional Status Code,Region Code,Division Code,State Name,State Code,Standard Metropolitan Statistical Area Code,County Name,County Code,County Subdivision Code,Place Code,Census Tract Code,Block Group Code,Block Code,Enumeration District Indicator Code,Enumeration District Code,Standard Consolidated Statistical Area Code,Urban Area Code,Congressional District Code,American Indian Area/Alaska Native Area/Hawaiian Home Land Code,MCD Sequence Number,State Economic Area (SEA),Urbanized Area (UA) Type,Place Description,Central Business District (CBD),Indian Subreservation,Longitude,Latitude,Land Area (square kilometers to the nearest tenth),Area Name,Total Population Suppression Flag,White Population Suppression Flag,Black Population Suppression Flag,"American Indian, Eskimo, and Aleut Suppression Flag",Asian and Pacific Islander Suppression Flag,Spanish Population Suppression Flag,Spanish-White Population Suppression Flag,Spanish-Black Population Suppression Flag,Year-Round Housing Unit Suppression Flag,Occupied Housing Unit Suppression Flag,White Householder Suppression Flag,Black Householder Suppression Flag,"American Indian, Eskimo, and Aleut Householder Suppression Flag",Asian and Pacific Islander Householder Suppression Flag,Other Race Householder Suppression Flag,Owner/Renter Housing Unit Suppression Flag,Owner Occupied Housing Unit Suppression Flag,Renter Occupied Housing Unit Suppression Flag,Spanish Origin Householder Suppression Flag,Spanish-White Householder Suppression Flag,Spanish-Black Householder Suppression Flag,White,Black,"American Indian, Eskimo, and Aleut: American Indian","American Indian, Eskimo, and Aleut: Eskimo","American Indian, Eskimo, and Aleut: Aleut",Asian and Pacific Islander: Japanese,Asian and Pacific Islander: Chinese,Asian and Pacific Islander: Filipino,Asian and Pacific Islander: Korean,Asian and Pacific Islander: Asian Indian,Asian and Pacific Islander: Vietnamese,Asian and Pacific Islander: Hawaiian,Asian and Pacific Islander: Guamanian,Asian and Pacific Islander: Samoan,Other,Total,White,Black,"American Indian, Eskimo, Aleut, and Asian and Pacific Islander",Other
"G0100010","1980","A","3","6","Alabama","01","5240","Autauga","001",,,,,,,,,,,,,"05",,,,,,,,"AUTAUGA COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",24814,7225,58,0,0,41,3,13,7,8,6,4,0,0,80,363,211,107,10,35
"G0100030","1980","A","3","6","Alabama","01","5160","Baldwin","003",,,,,,,,,,,,,"08",,,,,,,,"BALDWIN COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",65840,12048,432,0,0,13,4,9,20,13,30,7,0,0,140,795,613,91,19,72
"G0100050","1980","A","3","6","Alabama","01",,"Barbour","005",,,,,,,,,,,,,"09",,,,,,,,"BARBOUR COUNTY","0","0","0","0","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","0",13693,11003,30,0,0,9,7,2,2,3,0,2,0,0,5,268,71,191,4,2
"G0100070","1980","A","3","6","Alabama","01",,"Bibb","007",,,,,,,,,,,,,"05",,,,,,,,"BIBB COUNTY","0","0","0","1","1","0","1","0","0","0","0","0","1","1","1","0","0","0","0","0","0",12029,3675,2,0,0,0,0,0,1,7,0,3,0,0,6,176,66,107,0,3
"G0100090","1980","A","3","6","Alabama","01",,"Blount","009",,,,,,,,,,,,,"02",,,,,,,,"BLOUNT COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","0",35761,598,56,0,0,1,0,0,11,5,0,1,0,0,26,204,185,0,3,16
"G0100110","1980","A","3","6","Alabama","01",,"Bullock","011",,,,,,,,,,,,,"06",,,,,,,,"BULLOCK COUNTY","0","0","0","1","1","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0",3427,7160,1,0,0,1,1,0,0,0,0,2,0,0,4,160,24,134,1,1
"G0100130","1980","A","3","6","Alabama","01",,"Butler","013",,,,,,,,,,,,,"09",,,,,,,,"BUTLER COUNTY","0","0","0","1","1","0","1","0","0","0","0","0","1","1","0","0","0","0","0","0","0",13260,8397,5,0,0,3,0,4,3,2,0,0,1,0,5,289,56,232,1,0
"G0100150","1980","A","3","6","Alabama","01","0450","Calhoun","015",,,,,,,,,,,,,"03",,,,,,,,"CALHOUN COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",97313,21074,215,5,1,57,37,57,192,28,30,44,37,26,645,1329,670,104,75,480
"G0100170","1980","A","3","6","Alabama","01",,"Chambers","017",,,,,,,,,,,,,"04",,,,,,,,"CHAMBERS COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",25222,13894,14,2,0,2,0,9,0,9,0,3,0,0,36,357,100,230,5,22
"G0100190","1980","A","3","6","Alabama","01",,"Cherokee","019",,,,,,,,,,,,,"03",,,,,,,,"CHEROKEE COUNTY","0","0","0","0","1","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0",17185,1550,13,2,0,3,0,0,1,4,0,0,0,0,2,100,71,29,0,0
"G0100210","1980","A","3","6","Alabama","01",,"Chilton","021",,,,,,,,,,,,,"05",,,,,,,,"CHILTON COUNTY","0","0","0","1","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1",26942,3633,9,0,0,6,2,6,1,4,1,0,0,0,8,167,127,30,6,4
"G0100230","1980","A","3","6","Alabama","01",,"Choctaw","023",,,,,,,,,,,,,"07",,,,,,,,"CHOCTAW COUNTY","0","0","0","1","1","0","0","0","0","0","0","0","1","1","1","0","0","0","0","1","0",9490,7319,7,0,0,2,1,0,4,3,0,0,0,0,13,164,33,129,1,1
"G0100250","1980","A","3","6","Alabama","01",,"Clarke","025",,,,,,,,,,,,,"07",,,,,,,,"CLARKE COUNTY","0","0","0","0","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","0",15806,11827,42,0,0,3,0,4,2,4,0,3,0,0,11,307,65,229,6,7
