Austin-Round Rock, TX (tracts) — Degree Report
============================================================

1980  |  tracts_in_cbsa_12420_1980_march_2020_vintage_connected.json
  Rank  Degree  Unit
  -------------------------------------------------------
     1      12  4804530001903
     2      11  48049100208
     3       9  4804530001810
     4       9  4804530002203
     5       9  4804530002408
     6       8  48045300011
     7       8  4804530000303
     8       8  4804530002111
     9       7  4804530001501
    10       7  4804530000101
    11       7  4804530002109
    12       7  4804530001305
    13       7  4804530000201
    14       7  4804530000802
    15       7  4804530001703
    16       7  4804530001503
    17       7  4804530001816
    18       7  4804530001715
    19       6  4804530001804
    20       6  4804530000902

1990  |  tracts_in_cbsa_12420_1990_march_2020_vintage_connected.json
  Rank  Degree  Unit
  -------------------------------------------------------
     1      17  4804910020898
     2      12  4804530002417
     3      11  48005509601
     4      10  4804530001827
     5      10  4804530001726
     6      10  4804530001898
     7       9  4804530001907
     8       9  4804530001720
     9       9  4804530002205
    10       8  48045300011
    11       8  4804910020309
    12       8  4804530000101
    13       8  4804530001305
    14       8  4804530002111
    15       8  4804530000303
    16       8  4804530001834
    17       7  4804530002003
    18       7  4804530002109
    19       7  4804530001501
    20       7  4804910020701

2000  |  tracts_in_cbsa_12420_2000_march_2020_vintage_connected.json
  Rank  Degree  Unit
  -------------------------------------------------------
     1      15  48491020801
     2      13  48453002417
     3      12  48453001849
     4      12  48453001837
     5      11  48055960100
     6       9  48453001100
     7       9  48453001744
     8       9  48491020405
     9       9  48491021501
    10       8  48453001305
    11       8  48453000303
    12       8  48453002205
    13       8  48453002111
    14       8  48453001906
    15       8  48453001834
    16       8  48453001852
    17       8  48453001737
    18       8  48453001765
    19       8  48453001714
    20       8  48453001768

2010  |  tracts_in_cbsa_12420_2010_march_2020_vintage_connected.json
  Rank  Degree  Unit
  -------------------------------------------------------
     1      12  48453001849
     2      11  48491020808
     3      10  48209010902
     4      10  48453002431
     5      10  48491020803
     6      10  48491020503
     7      10  48491020310
     8      10  48491021508
     9       9  48453001100
    10       9  48453001766
    11       9  48453001714
    12       9  48453001768
    13       9  48491020405
    14       9  48491020703
    15       9  48021950100
    16       9  48055960101
    17       8  48209010804
    18       8  48453001864
    19       8  48453001917
    20       8  48453002208

2020  |  tracts_in_cbsa_12420_2020_march_2020_vintage_connected.json
  Rank  Degree  Unit
  -------------------------------------------------------
     1      13  24.48
     2      12  205.03
     3      11  208.08
     4      11  203.10
     5      11  208.16
     6      10  109.13
     7      10  108.12
     8      10  366
     9      10  424
    10      10  376
    11      10  9601.04
    12      10  206.04
    13       9  204.05
    14       9  207.01
    15       9  23.10
    16       9  430
    17       9  425
    18       9  22.19
    19       9  215.11
    20       9  454
