area_code,id
3651000,G36085008900
3651000,G36061029700
3651000,G36061000100
3651000,G36047054300
3651000,G36047085200
3651000,G36047087402
3651000,G36047118000
3651000,G36047040700
3651000,G36047008600
3651000,G36047070203
3651000,G36047015400
3651000,G36047081200
3651000,G36081009900
3651000,G36081138502
3651000,G36081162200
3651000,G36081079300
3651000,G36081107202
3651000,G36081033100
3651000,G36081056100
3651000,G36081022900
3651000,G36081099900
3651000,G36081121100
3651000,G36005008100
3651000,G36005002400
3651000,G36005000500
