Houston-The Woodlands-Sugar Land, TX — Degree Distribution Report
============================================================

1980  |  tracts_in_cbsa_26420_1980_march_2020_vintage_connected.json
  Rank  Degree  Tract
  -------------------------------------------------------
     1      12  48003900624
     2      11  48020100370
     3      10  4802010051801
     4      10  48020100202
     5      10  48020100541
     6      10  48020100308
     7      10  4800390060201
     8       9  48016701218
     9       9  48020100315
    10       9  4802010035502
    11       9  48020100219
    12       9  48020100121
    13       9  48020100334
    14       9  48015700706
    15       9  48016701203
    16       9  4802010036601
    17       9  48016701216
    18       9  4800710110102
    19       8  48003900608
    20       8  48020100539

1990  |  tracts_in_cbsa_26420_1990_march_2020_vintage_connected.json
  Rank  Degree  Tract
  -------------------------------------------------------
     1      14  4802010037020
     2      13  48020100211
     3      11  48020100334
     4      10  48020100332
     5      10  4802010051801
     6       9  4802010054120
     7       9  48020100502
     8       9  48003900624
     9       9  4802010035502
    10       9  48020100539
    11       9  48020100315
    12       9  4802010035911
    13       9  48020100121
    14       9  48016701203
    15       9  4802010045212
    16       9  48015700706
    17       9  4800710110102
    18       8  4801570070204
    19       8  48016701218
    20       8  48020100421

2000  |  tracts_in_cbsa_26420_2000_march_2020_vintage_connected.json
  Rank  Degree  Tract
  -------------------------------------------------------
     1      15  48071710200
     2      14  48201342600
     3      14  48167724100
     4      13  48201330300
     5      12  48039664200
     6      12  48201520500
     7      11  48167721900
     8      10  48201543000
     9      10  48201240800
    10      10  48167723900
    11      10  48167724000
    12       9  48201253200
    13       9  48201341900
    14       9  48201542900
    15       9  48201350100
    16       9  48201530200
    17       9  48201210800
    18       9  48201330800
    19       9  48201232200
    20       9  48201311700

2010  |  tracts_in_cbsa_26420_2010_march_2020_vintage_connected.json
  Rank  Degree  Tract
  -------------------------------------------------------
     1      14  48201343600
     2      14  48071710200
     3      13  48201334100
     4      13  48201543200
     5      13  48201324100
     6      12  48039664200
     7      12  48201520500
     8      12  48167721900
     9      12  48071710401
    10      12  48157670700
    11      11  48201212500
    12      11  48157672900
    13      10  48201543002
    14      10  48201454400
    15      10  48201343700
    16      10  48201330800
    17      10  48167720600
    18      10  48167723600
    19      10  48167724000
    20      10  48167724101

2020  |  tracts_in_cbsa_26420_2020_march_2020_vintage_connected.json
  Rank  Degree  Tract
  -------------------------------------------------------
     1      19  3425
     2      18  6707
     3      17  7219.02
     4      15  7102.02
     5      15  7104.01
     6      14  3341.01
     7      13  5432.02
     8      13  7206.05
     9      12  4544
    10      12  2125
    11      12  6642
    12      11  5109.02
    13      11  6922.02
    14      11  7236
    15      11  5430.05
    16      11  3437
    17      10  5430.07
    18      10  2324.05
    19      10  2532.02
    20      10  2525
