cbsa,year,cluster,cluster_title,tract_count,component_count,area_black_population,area_total_population,area_black_share,spread,center_node_id,center_gisjoin,center_geoid
16980,1980,cluster_1,"Chicago, South Side",385,1,1009786,1673413,0.6034290399321626,6.993357008316614,831,G17003104401,17003104401
16980,1990,cluster_1,"Chicago, South Side",408,1,953563,1460879,0.6527323618177823,7.045035304431904,371,G17003105001,17003105001
16980,2000,cluster_1,"Chicago, South Side",408,1,1011638,1428029,0.7084155853977755,6.311589718852001,1235,G17031510400,17031510400
16980,2010,cluster_1,"Chicago, South Side",387,1,932657,1275800,0.7310369963944192,6.312781654992135,661,G17031838800,17031838800
16980,2020,cluster_1,"Chicago, South Side",386,1,859233,1216233,0.7064707173707669,6.2799741164503695,1288,G17031838800,17031838800
16980,1980,cluster_2,"Chicago, Austin",124,1,291275,395208,0.737016963219368,4.44625525705948,569,G17003102908,17003102908
16980,1990,cluster_2,"Chicago, Austin",124,1,252045,327626,0.7693070757510088,4.411791545160586,1071,G17003102604,17003102604
16980,2000,cluster_2,"Chicago, Austin",124,1,236579,317692,0.7446803822570288,4.162968818026959,921,G17031251800,17031251800
16980,2010,cluster_2,"Chicago, Austin",90,1,188871,269172,0.701674022558067,3.1823466810680308,521,G17031831400,17031831400
16980,2020,cluster_2,"Chicago, Austin",89,1,161676,264140,0.6120845006435981,3.0910895865805688,141,G17031831400,17031831400
33100,1980,cluster_1,"Miami, 1",81,1,209366,513834,0.40745843988525476,3.562741801438629,143,G1200250001004,1200250001004
33100,1990,cluster_1,"Miami, 1",86,1,280707,583328,0.48121639969279717,3.689640799837553,100,G1200250000407,1200250000407
33100,2000,cluster_1,"Miami, 1",102,1,343697,615668,0.5582505506214388,3.7826253938789107,445,G12086000401,12086000401
33100,2010,cluster_1,"Miami, 1",129,2,373542,687962,0.5429689430520872,4.399020725915694,778,G12086000414,12086000414
33100,2020,cluster_1,"Miami, 1",173,1,346401,742329,0.46664080212412556,4.664108937329858,569,G12086000414,12086000414
33100,1980,cluster_2,"Miami, 2",29,1,60666,228323,0.2657025354432098,1.4674611808920976,155,G12001100414,12001100414
33100,1990,cluster_2,"Miami, 2",29,1,96029,267534,0.3589412934430764,1.906705266117527,24,G12001100412,12001100412
33100,2000,cluster_2,"Miami, 2",53,1,150296,300082,0.5008497677301538,2.8903430563687658,160,G12011060800,12011060800
33100,2010,cluster_2,"Miami, 2",63,1,187408,305218,0.6140135902862872,3.3621030052078886,230,G12011050306,12011050306
33100,2020,cluster_2,"Miami, 2",69,1,212282,337758,0.6285032478875408,3.5062511187948107,1297,G12011060124,12011060124
37980,1980,cluster_1,"Philadelphia, Germantown",122,1,348823,656481,0.5313527733475911,3.5897346218569304,386,G42010100205,42010100205
37980,1990,cluster_1,"Philadelphia, Germantown",123,1,339134,606631,0.5590449548407517,3.585113848803128,439,G42010100280,42010100280
37980,2000,cluster_1,"Philadelphia, Germantown",125,1,346243,572341,0.6049592812676359,3.8247502476584363,1266,G42101028000,42101028000
37980,2010,cluster_1,"Philadelphia, Germantown",133,1,344589,558583,0.6168984734587339,4.387754687468259,1426,G42101028000,42101028000
37980,2020,cluster_1,"Philadelphia, Germantown",136,1,324743,563298,0.5765030232665481,4.470344241446313,559,G42101028000,42101028000
37980,1980,cluster_2,"Philadelphia, Chester",88,2,229049,408937,0.5601082807376198,3.780640823579234,143,G42010100085,42010100085
37980,1990,cluster_2,"Philadelphia, Chester",89,2,235133,385021,0.6107017539303051,3.9094469938290244,178,G42010100095,42010100095
37980,2000,cluster_2,"Philadelphia, Chester",90,2,249092,359156,0.693548207464166,3.2949552775681274,1172,G42101008200,42101008200
37980,2010,cluster_2,"Philadelphia, Chester",87,1,264097,344532,0.7665383766965043,3.151898734177215,1106,G42101008200,42101008200
37980,2020,cluster_2,"Philadelphia, Chester",88,1,257752,350869,0.734610353151746,3.1517117228964278,708,G42101008200,42101008200
