Chicago-Naperville-Elgin, IL-IN-WI (block groups) — Degree Report
============================================================

1990  |  block_groups_in_cbsa_16980_1990_march_2020_vintage_connected.json
  Rank  Degree  Unit
  -------------------------------------------------------
     1      25  18008900102989
     2      25  180089002029
     3      21  17003108209011
     4      16  170031004011
     5      16  17019708802021
     6      15  170031013021
     7      15  17003108041051
     8      15  17003108285055
     9      15  18008900432024
    10      14  170031066094
    11      14  170031074045
    12      14  17003108043071
    13      14  17003108202021
    14      14  17019708801041
    15      14  180089003049
    16      14  180127005059
    17      13  170031040031
    18      13  170031051049
    19      13  17003108238019
    20      13  17004308412031

2000  |  block_groups_in_cbsa_16980_2000_march_2020_vintage_connected.json
  Rank  Degree  Unit
  -------------------------------------------------------
     1      21  170318209011
     2      20  170318208003
     3      17  170318202021
     4      16  170310401001
     5      16  180890202004
     6      15  170318113022
     7      15  170318041051
     8      15  170318285055
     9      15  170311302001
    10      15  180890102021
    11      14  171978802021
    12      14  170316609004
    13      14  170318043071
    14      14  170313115001
    15      14  170318261003
    16      14  170318207001
    17      14  170317404005
    18      14  170898528024
    19      14  180890432021
    20      13  171978801041

2010  |  block_groups_in_cbsa_16980_2010_march_2020_vintage_connected.json
  Rank  Degree  Unit
  -------------------------------------------------------
     1      21  170318209011
     2      19  170318432002
     3      19  170318208003
     4      18  170318202021
     5      17  170316609003
     6      16  170310401001
     7      16  170318318005
     8      16  170318388002
     9      15  170318285055
    10      15  170318113022
    11      15  170317608021
    12      14  170311302001
    13      14  170318041051
    14      14  170318418002
    15      14  170318207001
    16      14  170317404003
    17      14  170318261003
    18      13  170438458031
    19      13  170438467021
    20      13  170938901011

2020  |  block_groups_in_cbsa_16980_2020_march_2020_vintage_connected.json
  Rank  Degree  Unit
  -------------------------------------------------------
     1      21  170318209011
     2      19  170318208003
     3      19  170318432002
     4      18  170318202021
     5      17  170316609003
     6      17  170898507072
     7      17  180890203004
     8      16  170318388002
     9      16  170310401001
    10      16  170318318005
    11      15  170318285055
    12      15  170318113022
    13      15  170318041051
    14      15  171978841013
    15      14  170317404003
    16      14  170318261003
    17      14  170318207001
    18      14  170317608021
    19      14  170318100003
    20      14  170311302001
