area_code,id
0820000,G0800310010695
0820000,G0800310006701
0820000,G0800310012094
0820000,G0800310012092
0820000,G0800310012093
0820000,G0800310012078
0820000,G0800310011993
0820000,G0800310004196
0820000,G0800050006888
0820000,G0800050007088
0820000,G0800310010696
0820000,G0800050006984
0820000,G0800310008396
0820000,G0800010008384
0820000,G0800310006896
0820000,G0800590011985
0820000,G0800590010487
0820000,G0800010008389
0820000,G0800010008288
0820000,G0800050006889
0820000,G0800310011997
0820000,G0800310000298
0820000,G0800310001593
0820000,G0800310001597
0820000,G0800310012095
0820000,G0800310012096
0820000,G0800010008383
0820000,G0800310004997
0820000,G0800010008385
0820000,G0800310003997
0820000,G0800310005396
0820000,G0800310004996
0820000,G0800310007098
0820000,G0800590012083
0820000,G0800310012079
0820000,G0800310011995
