area_code,id
3651000,G36004700543
3651000,G3600470066698
3651000,G36006100311
3651000,G36000500005
3651000,G36000500024
3651000,G36006100301
3651000,G36004700154
3651000,G3600470070203
3651000,G36004700960
3651000,G3600470045598
3651000,G36008500154
3651000,G3600810071698
3651000,G36004700407
3651000,G36004700086
3651000,G36008100229
3651000,G36008100244
3651000,G3600810138502
3651000,G36004700852
3651000,G36000500058
3651000,G36000500334
3651000,G36000500504
3651000,G3600050027102
3651000,G3600050005301
3651000,G3600050004002
3651000,G36006100001
