area_code,id
06087,G0600850513195
06087,G0600850513196
06087,G0600850513294
06087,G0600850513293
06087,G0600850513292
06087,G0600850513291
06087,G0600850513285
06087,G0600870122889
06087,G0600870122698
06087,G0600870122798
06087,G0600870122797
06087,G0600870122796
06087,G0600870122795
06087,G0600870122783
06087,G0600870122785
06087,G0600870122896
06087,G0600870122891
06087,G0600810613998
06087,G0600870122694
06087,G0600870122793
06087,G0600870122697
06087,G0600870122890
06087,G0600870122998
06087,G0600870122696
06087,G0600870122794
06087,G0600850513295
06087,G0600850513198
06087,G0600850513197
06087,G0600850513290
06087,G0600850513194
06087,G0600870122784
