area_code,id
08031,G0800310010695
08031,G0800310006701
08031,G0800310012094
08031,G0800310012092
08031,G0800310012093
08031,G0800310012078
08031,G0800310011993
08031,G0800310004196
08031,G0800050006888
08031,G0800050007088
08031,G0800310010696
08031,G0800050006984
08031,G0800310008396
08031,G0800010008384
08031,G0800310006896
08031,G0800590011985
08031,G0800590010487
08031,G0800010008389
08031,G0800010008288
08031,G0800050006889
08031,G0800310011997
08031,G0800310000298
08031,G0800310001593
08031,G0800310001597
08031,G0800310012095
08031,G0800310012096
08031,G0800010008383
08031,G0800310004997
08031,G0800010008385
08031,G0800310003997
08031,G0800310005396
08031,G0800310004996
08031,G0800310007098
08031,G0800590012083
08031,G0800310012079
08031,G0800310011995
