area_code,id
42003,G4200030429794
42003,G4200030429796
42003,G4200030428296
42003,G4200030459297
42003,G4200030480496
42003,G4200030429795
42003,G4200030428297
42003,G42000305616
42003,G4200030210896
42003,G4200030210897
42003,G4200030241196
42003,G4200030523196
42003,G4200030310296
42003,G4200030480395
42003,G4200030480497
42003,G4200030241197
42003,G4200030523197
42003,G4200030477297
42003,G4200030281195
42003,G4200030101497
42003,G4200030480396
42003,G4200030428295
42003,G4200030478197
42003,G4200030310294
42003,G4200030151397
42003,G4200030480397
42003,G4200030310197
42003,G4200030281197
