Dallas-Fort Worth-Arlington, TX (tracts) — Degree Report
============================================================

1980  |  tracts_in_cbsa_19100_1980_march_2020_vintage_connected.json
  Rank  Degree  Unit
  -------------------------------------------------------
     1      17  48011300100
     2      17  4804390106505
     3      13  48013900602
     4      11  4801130016501
     5      11  48025101303
     6      11  48011300107
     7      11  48043901139
     8      10  48011300099
     9      10  4800850031801
    10      10  48011300115
    11      10  48011300045
    12       9  4801130013802
    13       9  48008500314
    14       9  48011300028
    15       9  48043901053
    16       9  4801130016702
    17       9  4801130011402
    18       9  4801130014002
    19       9  4801130012202
    20       9  48011300034

1990  |  tracts_in_cbsa_19100_1990_march_2020_vintage_connected.json
  Rank  Degree  Unit
  -------------------------------------------------------
     1      20  48011300100
     2      13  4804390106508
     3      12  4801210020302
     4      11  4801130016501
     5      11  48011300099
     6      11  48025101303
     7      11  4801130014002
     8      11  4804390113903
     9      11  4804390114101
    10      10  4801130014111
    11      10  48011300115
    12      10  48011300171
    13      10  4804390111401
    14      10  4801130019010
    15      10  4801130016605
    16      10  4800850031401
    17      10  48043901053
    18      10  48008500305
    19      10  4801390060201
    20       9  48012100208

2000  |  tracts_in_cbsa_19100_2000_march_2020_vintage_connected.json
  Rank  Degree  Unit
  -------------------------------------------------------
     1      17  48113010000
     2      13  48113014002
     3      12  48113016605
     4      12  48113016703
     5      12  48439111401
     6      12  48439106508
     7      12  48085031401
     8      11  48113009900
     9      11  48113019010
    10      11  48439114101
    11      10  48113016501
    12      10  48113011500
    13      10  48113018104
    14      10  48139060203
    15      10  48439113002
    16      10  48121020301
    17      10  48439105300
    18      10  48439113705
    19      10  48439113914
    20      10  48439114001

2010  |  tracts_in_cbsa_19100_2010_march_2020_vintage_connected.json
  Rank  Degree  Unit
  -------------------------------------------------------
     1      15  48113010000
     2      13  48113009900
     3      12  48113014002
     4      12  48257050600
     5      11  48113016703
     6      11  48113014126
     7      11  48113016605
     8      11  48439113002
     9      11  48439113703
    10      11  48085031900
    11      11  48121021632
    12      10  48113011500
    13      10  48113013616
    14      10  48113018506
    15      10  48113016802
    16      10  48113000406
    17      10  48113018104
    18      10  48231961400
    19      10  48139060702
    20      10  48139061300

2020  |  tracts_in_cbsa_19100_2020_march_2020_vintage_connected.json
  Rank  Degree  Unit
  -------------------------------------------------------
     1      15  99
     2      14  506.01
     3      14  167.09
     4      12  216.32
     5      12  100.03
     6      11  1219.04
     7      11  140.02
     8      11  190.51
     9      11  166.34
    10      11  9800
    11      11  1137.15
    12      10  1130.05
    13      10  1110.10
    14      10  190.40
    15      10  153.04
    16      10  1130.03
    17      10  319.02
    18      10  9800
    19      10  203.05
    20      10  1054.05
