area_code,id
3651000,G36081990100
3651000,G36047118000
3651000,G36081019903
3651000,G36047990100
3651000,G36005024900
3651000,G36061008602
3651000,G36005001903
3651000,G36005051602
3651000,G36005001904
3651000,G36005011702
3651000,G36061031900
3651000,G36005050400
3651000,G36047008600
3651000,G36081065402
3651000,G36081009900
3651000,G36081089202
3651000,G36081066404
3651000,G36081022900
3651000,G36081061302
3651000,G36061000100
3651000,G36085990100
3651000,G36005011000
3651000,G36047103402
3651000,G36047031402
3651000,G36047003102
3651000,G36047001802
3651000,G36047001804
3651000,G36047058902
3651000,G36047005303
3651000,G36047102802
3651000,G36047107003
3651000,G36047011902
3651000,G36047057902
3651000,G36047107002
3651000,G36081062400
3651000,G36081021603
3651000,G36081120702
3651000,G36081053502
3651000,G36081079300
3651000,G36081066302
3651000,G36081091604
3651000,G36081065501
3651000,G36081121100
3651000,G36047066600
3651000,G36047070203
3651000,G36047017500
3651000,G36081099900
3651000,G36081029900
3651000,G36081033100
3651000,G36081005000
3651000,G36081107202
