area_code,id
26163,G26163981800
26163,G26163982500
26163,G26163983100
26163,G26163985800
26163,G26163985600
26163,G26163982302
26163,G26163986200
26163,G26163983301
26163,G26163983700
26163,G26163984100
26163,G26163986600
26163,G26163986502
26163,G26163986501
26163,G26163981901
26163,G26163983903
26163,G26163981902
26163,G26163981700
26163,G26163984200
26163,G26163983200
26163,G26163983302
26163,G26163982900
26163,G26163983800
26163,G26163983902
26163,G26163990200
26163,G26163985700
26163,G26163985900
26163,G26163990100
26163,G26163985500
