fid,STATEFP10,COUNTYFP10,TRACTCE10,GEOID10,NAME10,NAMELSAD10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,JOIN_KEY,STATEFP,COUNTYFP,GEOID,GISJOIN,WHITE,BLACK,TOTPOP,POC
580,"17","031","842400","17031842400","8424",Census Tract 8424,G5020,S,1968640,0,"+41.7424748",-087.6300400,"17031842400","17","031","17031842400",G17031842400,22,3191,3304,3282
598,"17","031","841800","17031841800","8418",Census Tract 8418,G5020,S,1643121,0,"+41.7663063",-087.5994213,"17031841800","17","031","17031841800",G17031841800,32,2396,2505,2473
599,"17","031","842500","17031842500","8425",Census Tract 8425,G5020,S,1075342,0,"+41.7769505",-087.6232157,"17031842500","17","031","17031842500",G17031842500,7,2401,2451,2444
600,"17","031","842600","17031842600","8426",Census Tract 8426,G5020,S,3679418,0,"+41.8162186",-087.6516951,"17031842600","17","031","17031842600",G17031842600,2014,149,4133,2119
601,"17","031","842000","17031842000","8420",Census Tract 8420,G5020,S,589975,0,"+41.8349599",-087.6251704,"17031842000","17","031","17031842000",G17031842000,961,1058,2744,1783
604,"17","031","843200","17031843200","8432",Census Tract 8432,G5020,S,2887377,274685,"+41.8486664",-087.6630210,"17031843200","17","031","17031843200",G17031843200,309,49,2780,2471
645,"17","031","834900","17031834900","8349",Census Tract 8349,G5020,S,652721,0,"+41.7722940",-087.6567344,"17031834900","17","031","17031834900",G17031834900,18,2201,2272,2254
646,"17","031","835000","17031835000","8350",Census Tract 8350,G5020,S,1004080,0,"+41.7828495",-087.6860492,"17031835000","17","031","17031835000",G17031835000,121,3597,5778,5657
647,"17","031","835100","17031835100","8351",Census Tract 8351,G5020,S,1003896,0,"+41.7901576",-087.6862480,"17031835100","17","031","17031835100",G17031835100,137,1096,5369,5232
648,"17","031","834700","17031834700","8347",Census Tract 8347,G5020,S,657991,0,"+41.7906903",-087.6450334,"17031834700","17","031","17031834700",G17031834700,5,1998,2078,2073
657,"17","031","834800","17031834800","8348",Census Tract 8348,G5020,S,600485,0,"+41.7836302",-087.6450879,"17031834800","17","031","17031834800",G17031834800,3,1894,1953,1950
658,"17","031","839800","17031839800","8398",Census Tract 8398,G5020,S,266173,0,"+41.8350674",-087.6431623,"17031839800","17","031","17031839800",G17031839800,1219,26,2730,1511
659,"17","031","839700","17031839700","8397",Census Tract 8397,G5020,S,648635,0,"+41.8330799",-087.6523571,"17031839700","17","031","17031839700",G17031839700,1676,98,4326,2650
660,"17","031","839900","17031839900","8399",Census Tract 8399,G5020,S,1179551,0,"+41.8271230",-087.6487068,"17031839900","17","031","17031839900",G17031839900,2221,59,4080,1859
662,"17","031","838800","17031838800","8388",Census Tract 8388,G5020,S,17837439,3802983,"+41.6834042",-087.5740611,"17031838800","17","031","17031838800",G17031838800,116,1729,3233,3117
663,"17","031","833900","17031833900","8339",Census Tract 8339,G5020,S,682191,24124,"+41.7310321",-087.5474226,"17031833900","17","031","17031833900",G17031833900,43,1367,2714,2671
671,"17","031","730202","17031730202","7302.02",Census Tract 7302.02,G5020,S,876174,0,"+41.7264114",-087.6485415,"17031730202","17","031","17031730202",G17031730202,12,3047,3115,3103
672,"17","031","660301","17031660301","6603.01",Census Tract 6603.01,G5020,S,163782,0,"+41.7799541",-087.6982872,"17031660301","17","031","17031660301",G17031660301,38,586,1785,1747
673,"17","031","660302","17031660302","6603.02",Census Tract 6603.02,G5020,S,491837,0,"+41.7835957",-087.6983926,"17031660302","17","031","17031660302",G17031660302,167,1248,5527,5360
674,"17","031","430101","17031430101","4301.01",Census Tract 4301.01,G5020,S,329504,0,"+41.7698264",-087.5739529,"17031430101","17","031","17031430101",G17031430101,35,3574,3689,3654
679,"17","031","834000","17031834000","8340",Census Tract 8340,G5020,S,988763,0,"+41.7275358",-087.6294984,"17031834000","17","031","17031834000",G17031834000,5,3551,3632,3627
680,"17","031","834300","17031834300","8343",Census Tract 8343,G5020,S,1909305,0,"+41.7458444",-087.5917742,"17031834300","17","031","17031834300",G17031834300,63,6275,6570,6507
681,"17","031","834200","17031834200","8342",Census Tract 8342,G5020,S,975449,0,"+41.7555676",-087.5836069,"17031834200","17","031","17031834200",G17031834200,20,4763,4944,4924
682,"17","031","834400","17031834400","8344",Census Tract 8344,G5020,S,585567,0,"+41.7769448",-087.5963097,"17031834400","17","031","17031834400",G17031834400,159,3383,3772,3613
683,"17","031","843900","17031843900","8439",Census Tract 8439,G5020,S,1482494,729136,"+41.7792885",-087.5760502,"17031843900","17","031","17031843900",G17031843900,119,3246,3533,3414
684,"17","031","836200","17031836200","8362",Census Tract 8362,G5020,S,813722,0,"+41.7904691",-087.6012848,"17031836200","17","031","17031836200",G17031836200,946,73,1529,583
690,"17","031","440202","17031440202","4402.02",Census Tract 4402.02,G5020,S,781697,0,"+41.7409599",-087.6097620,"17031440202","17","031","17031440202",G17031440202,9,2909,2999,2990
691,"17","031","440102","17031440102","4401.02",Census Tract 4401.02,G5020,S,627506,0,"+41.7409356",-087.6011636,"17031440102","17","031","17031440102",G17031440102,4,3055,3127,3123
692,"17","031","430102","17031430102","4301.02",Census Tract 4301.02,G5020,S,456691,542570,"+41.7689534",-087.5638136,"17031430102","17","031","17031430102",G17031430102,41,2801,2963,2922
700,"17","031","836000","17031836000","8360",Census Tract 8360,G5020,S,505739,0,"+41.8140036",-087.6116843,"17031836000","17","031","17031836000",G17031836000,53,2046,2177,2124
701,"17","031","835800","17031835800","8358",Census Tract 8358,G5020,S,284425,0,"+41.8130462",-087.6187192,"17031835800","17","031","17031835800",G17031835800,31,1474,1576,1545
702,"17","031","835900","17031835900","8359",Census Tract 8359,G5020,S,647444,0,"+41.8201664",-087.6214989,"17031835900","17","031","17031835900",G17031835900,46,3112,3271,3225
703,"17","031","834500","17031834500","8345",Census Tract 8345,G5020,S,464133,0,"+41.7860320",-087.6253618,"17031834500","17","031","17031834500",G17031834500,7,1437,1475,1468
704,"17","031","836300","17031836300","8363",Census Tract 8363,G5020,S,137519,0,"+41.8015323",-087.6017584,"17031836300","17","031","17031836300",G17031836300,306,840,1288,982
705,"17","031","843600","17031843600","8436",Census Tract 8436,G5020,S,410894,0,"+41.8067653",-087.6089488,"17031843600","17","031","17031843600",G17031843600,54,2639,2807,2753
706,"17","031","834600","17031834600","8346",Census Tract 8346,G5020,S,1562247,0,"+41.7872465",-087.6343057,"17031834600","17","031","17031834600",G17031834600,26,3671,3778,3752
719,"17","031","700502","17031700502","7005.02",Census Tract 7005.02,G5020,S,1722968,0,"+41.7388522",-087.6887683,"17031700502","17","031","17031700502",G17031700502,213,2652,3036,2823
720,"17","031","836100","17031836100","8361",Census Tract 8361,G5020,S,860471,0,"+41.7998052",-087.6186826,"17031836100","17","031","17031836100",G17031836100,42,1675,1761,1719
722,"17","031","836400","17031836400","8364",Census Tract 8364,G5020,S,799110,866999,"+41.8184550",-087.5944559,"17031836400","17","031","17031836400",G17031836400,88,2751,2979,2891
723,"17","031","836500","17031836500","8365",Census Tract 8365,G5020,S,470861,469614,"+41.8259463",-087.5994560,"17031836500","17","031","17031836500",G17031836500,26,1426,1496,1470
724,"17","031","839600","17031839600","8396",Census Tract 8396,G5020,S,326898,0,"+41.8274411",-087.6192495,"17031839600","17","031","17031839600",G17031839600,74,1768,1952,1878
725,"17","031","840000","17031840000","8400",Census Tract 8400,G5020,S,591628,0,"+41.8311662",-087.6382989,"17031840000","17","031","17031840000",G17031840000,1172,30,2695,1523
726,"17","031","835600","17031835600","8356",Census Tract 8356,G5020,S,917536,0,"+41.8018352",-087.6322013,"17031835600","17","031","17031835600",G17031835600,7,1088,1199,1192
733,"17","031","700501","17031700501","7005.01",Census Tract 7005.01,G5020,S,1670354,0,"+41.7462133",-087.6903422,"17031700501","17","031","17031700501",G17031700501,315,6404,7125,6810
734,"17","031","460301","17031460301","4603.01",Census Tract 4603.01,G5020,S,485921,0,"+41.7400278",-087.5563645,"17031460301","17","031","17031460301",G17031460301,74,2288,3404,3330
735,"17","031","460302","17031460302","4603.02",Census Tract 4603.02,G5020,S,648525,0,"+41.7470862",-087.5573905,"17031460302","17","031","17031460302",G17031460302,45,3441,3803,3758
736,"17","031","431302","17031431302","4313.02",Census Tract 4313.02,G5020,S,437419,0,"+41.7583855",-087.5627859,"17031431302","17","031","17031431302",G17031431302,45,4025,4166,4121
737,"17","031","431301","17031431301","4313.01",Census Tract 4313.01,G5020,S,404077,0,"+41.7535302",-087.5601863,"17031431301","17","031","17031431301",G17031431301,38,3345,3545,3507
739,"17","031","440101","17031440101","4401.01",Census Tract 4401.01,G5020,S,382677,0,"+41.7486349",-087.6013946,"17031440101","17","031","17031440101",G17031440101,11,3642,3746,3735
741,"17","031","835500","17031835500","8355",Census Tract 8355,G5020,S,914488,0,"+41.8163539",-087.6325419,"17031835500","17","031","17031835500",G17031835500,40,1563,1677,1637
742,"17","031","839500","17031839500","8395",Census Tract 8395,G5020,S,262522,0,"+41.8340974",-087.6192895,"17031839500","17","031","17031839500",G17031839500,169,1246,1545,1376
743,"17","031","839200","17031839200","8392",Census Tract 8392,G5020,S,650885,0,"+41.8420107",-087.6220360,"17031839200","17","031","17031839200",G17031839200,251,1818,2545,2294
744,"17","031","840400","17031840400","8404",Census Tract 8404,G5020,S,982639,0,"+41.8338479",-087.6676795,"17031840400","17","031","17031840400",G17031840400,593,56,3326,2733
745,"17","031","840100","17031840100","8401",Census Tract 8401,G5020,S,335806,0,"+41.8418680",-087.6392003,"17031840100","17","031","17031840100",G17031840100,724,11,2935,2211
746,"17","031","841000","17031841000","8410",Census Tract 8410,G5020,S,1056583,296565,"+41.8475875",-087.6102063,"17031841000","17","031","17031841000",G17031841000,191,430,849,658
755,"17","031","730201","17031730201","7302.01",Census Tract 7302.01,G5020,S,999817,0,"+41.7268301",-087.6579114,"17031730201","17","031","17031730201",G17031730201,11,5821,5941,5930
756,"17","031","580502","17031580502","5805.02",Census Tract 5805.02,G5020,S,494416,0,"+41.8145617",-087.6993102,"17031580502","17","031","17031580502",G17031580502,452,104,5349,4897
757,"17","031","580501","17031580501","5805.01",Census Tract 5805.01,G5020,S,492117,0,"+41.8199860",-087.6994962,"17031580501","17","031","17031580501",G17031580501,519,50,5067,4548
758,"17","031","700302","17031700302","7003.02",Census Tract 7003.02,G5020,S,1319648,0,"+41.7383652",-087.7313064,"17031700302","17","031","17031700302",G17031700302,1951,765,5319,3368
759,"17","031","700402","17031700402","7004.02",Census Tract 7004.02,G5020,S,1148945,0,"+41.7382302",-087.7118234,"17031700402","17","031","17031700402",G17031700402,460,2483,3914,3454
760,"17","031","700401","17031700401","7004.01",Census Tract 7004.01,G5020,S,1482532,0,"+41.7455372",-087.7120355,"17031700401","17","031","17031700401",G17031700401,608,3264,5923,5315
773,"17","031","700301","17031700301","7003.01",Census Tract 7003.01,G5020,S,1275711,0,"+41.7456225",-087.7317117,"17031700301","17","031","17031700301",G17031700301,1523,447,5728,4205
775,"17","031","490902","17031490902","4909.02",Census Tract 4909.02,G5020,S,1196061,0,"+41.7032801",-087.6153262,"17031490902","17","031","17031490902",G17031490902,10,4998,5086,5076
776,"17","031","490901","17031490901","4909.01",Census Tract 4909.01,G5020,S,845443,0,"+41.6960582",-087.6162677,"17031490901","17","031","17031490901",G17031490901,12,3792,3891,3879
777,"17","031","530502","17031530502","5305.02",Census Tract 5305.02,G5020,S,706251,101712,"+41.6660802",-087.6250225,"17031530502","17","031","17031530502",G17031530502,4,1624,1667,1663
829,"17","031","310200","17031310200","3102",Census Tract 3102,G5020,S,320480,0,"+41.8563085",-087.6442092,"17031310200","17","031","17031310200",G17031310200,399,76,1336,937
833,"17","031","510300","17031510300","5103",Census Tract 5103,G5020,S,2957010,0,"+41.7157376",-087.5749726,"17031510300","17","031","17031510300",G17031510300,27,5193,5360,5333
834,"17","031","491400","17031491400","4914",Census Tract 4914,G5020,S,829879,0,"+41.6891232",-087.6168215,"17031491400","17","031","17031491400",G17031491400,15,2841,2931,2916
835,"17","031","530100","17031530100","5301",Census Tract 5301,G5020,S,649938,0,"+41.6818522",-087.6179395,"17031530100","17","031","17031530100",G17031530100,50,1157,2371,2321
836,"17","031","500200","17031500200","5002",Census Tract 5002,G5020,S,2044082,0,"+41.7008558",-087.6003024,"17031500200","17","031","17031500200",G17031500200,12,1930,2015,2003
837,"17","031","530200","17031530200","5302",Census Tract 5302,G5020,S,1297344,0,"+41.6815612",-087.6323954,"17031530200","17","031","17031530200",G17031530200,17,4997,5152,5135
838,"17","031","821401","17031821401","8214.01",Census Tract 8214.01,G5020,S,854231,0,"+41.6662105",-087.6578718,"17031821401","17","031","17031821401",G17031821401,155,2836,3338,3183
839,"17","031","740100","17031740100","7401",Census Tract 7401,G5020,S,891330,0,"+41.6972859",-087.6986083,"17031740100","17","031","17031740100",G17031740100,2692,42,3048,356
841,"17","031","740400","17031740400","7404",Census Tract 7404,G5020,S,2838807,0,"+41.6872391",-087.7193158,"17031740400","17","031","17031740400",G17031740400,3824,569,4785,961
842,"17","031","823304","17031823304","8233.04",Census Tract 8233.04,G5020,S,3557492,0,"+41.6814160",-087.7027707,"17031823304","17","031","17031823304",G17031823304,3484,1099,5927,2443
894,"17","031","821402","17031821402","8214.02",Census Tract 8214.02,G5020,S,1692826,93828,"+41.6614309",-087.6520323,"17031821402","17","031","17031821402",G17031821402,96,3332,3587,3491
895,"17","031","750300","17031750300","7503",Census Tract 7503,G5020,S,661761,0,"+41.6953911",-087.6861726,"17031750300","17","031","17031750300",G17031750300,2192,207,2530,338
897,"17","031","750100","17031750100","7501",Census Tract 7501,G5020,S,1285538,0,"+41.6958345",-087.6520283,"17031750100","17","031","17031750100",G17031750100,30,4021,4147,4117
898,"17","031","740300","17031740300","7403",Census Tract 7403,G5020,S,1320726,0,"+41.6950694",-087.7107233,"17031740300","17","031","17031740300",G17031740300,4301,53,4713,412
900,"17","031","740200","17031740200","7402",Census Tract 7402,G5020,S,1966292,0,"+41.7047146",-087.7127052,"17031740200","17","031","17031740200",G17031740200,5596,323,6547,951
901,"17","031","821300","17031821300","8213",Census Tract 8213,G5020,S,1745241,154297,"+41.6551035",-087.6673371,"17031821300","17","031","17031821300",G17031821300,985,1670,5519,4534
904,"17","031","650400","17031650400","6504",Census Tract 6504,G5020,S,1098626,0,"+41.7653247",-087.7171803,"17031650400","17","031","17031650400",G17031650400,614,355,6743,6129
906,"17","031","660400","17031660400","6604",Census Tract 6604,G5020,S,645648,0,"+41.7825321",-087.7080441,"17031660400","17","031","17031660400",G17031660400,386,300,5960,5574
907,"17","031","660500","17031660500","6605",Census Tract 6605,G5020,S,659363,0,"+41.7752434",-087.7079432,"17031660500","17","031","17031660500",G17031660500,462,630,5534,5072
908,"17","031","660600","17031660600","6606",Census Tract 6606,G5020,S,658608,0,"+41.7772873",-087.6933406,"17031660600","17","031","17031660600",G17031660600,171,3712,6333,6162
909,"17","031","660700","17031660700","6607",Census Tract 6607,G5020,S,480680,0,"+41.7738452",-087.6810955,"17031660700","17","031","17031660700",G17031660700,18,2234,2366,2348
939,"17","031","330100","17031330100","3301",Census Tract 3301,G5020,S,2793980,828956,"+41.8593528",-087.6154702,"17031330100","17","031","17031330100",G17031330100,8520,4339,16735,8215
941,"17","031","340300","17031340300","3403",Census Tract 3403,G5020,S,213694,0,"+41.8428085",-087.6357910,"17031340300","17","031","17031340300",G17031340300,338,18,1786,1448
