fid,NHGISST,NHGISCTY,GISJOIN,GISJOIN2,SHAPE_AREA,SHAPE_LEN,JOIN_KEY,GEOID,STATEFP,COUNTYFP,WHITE,BLACK,TOTPOP,POC
1848,"170","0310",G17003106913,"17003106913",655392.04836,3242.07153758,G17003106913,"17003106913","17","031",9,2619,2639,2630
1849,"170","0310",G17003107104,"17003107104",975481.656749,4044.281402,G17003107104,"17003107104","17","031",41,7344,7412,7371
1850,"170","0310",G17003104501,"17003104501",325205.457152,2572.71192936,G17003104501,"17003104501","17","031",1,490,495,494
1853,"170","0310",G17003108220,"17003108220",1232330.55898,4821.18205685,G17003108220,"17003108220","17","031",4652,1,4769,117
1855,"170","0310",G17003108217,"17003108217",1551988.96888,6465.75647904,G17003108217,"17003108217","17","031",4842,57,4976,134
1858,"170","0310",G17003104312,"17003104312",683204.654618,3294.53712095,G17003104312,"17003104312","17","031",46,3738,3830,3784
1859,"170","0310",G17003104310,"17003104310",316504.170783,2626.26461413,G17003104310,"17003104310","17","031",5,1146,1152,1147
1865,"170","0310",G17003107103,"17003107103",326558.956952,2457.66921204,G17003107103,"17003107103","17","031",6,1698,1717,1711
1866,"170","0310",G17003105204,"17003105204",689611.781838,3594.339511,G17003105204,"17003105204","17","031",2345,0,3586,1241
1867,"170","0310",G17003104910,"17003104910",1292755.53555,4861.13504921,G17003104910,"17003104910","17","031",55,7518,7608,7553
1871,"170","0310",G17003107107,"17003107107",485387.815225,3601.98156153,G17003107107,"17003107107","17","031",20,4283,4318,4298
1873,"170","0310",G17003104108,"17003104108",238591.457249,2179.14677782,G17003104108,"17003104108","17","031",1259,1361,2960,1701
1878,"170","0310",G17003106902,"17003106902",420047.064962,3154.25803631,G17003106902,"17003106902","17","031",0,279,287,287
1879,"170","0310",G17003106901,"17003106901",631120.43993,3224.54924357,G17003106901,"17003106901","17","031",9,2236,2260,2251
1880,"170","0310",G17003104210,"17003104210",274300.45254,2327.43646436,G17003104210,"17003104210","17","031",26,1483,1523,1497
1881,"170","0310",G1700310822102,"1700310822102",2224278.97599,6450.19718407,G1700310822102,"1700310822102","17","031",4012,14,4301,289
1885,"170","0310",G17003103507,"17003103507",229463.95839,2025.83594496,G17003103507,"17003103507","17","031",14,1175,1204,1190
1886,"170","0310",G17003103515,"17003103515",166113.138788,2054.81551207,G17003103515,"17003103515","17","031",8,5149,5166,5158
1887,"170","0310",G17003103512,"17003103512",107503.630976,1968.94045027,G17003103512,"17003103512","17","031",4,1138,1148,1144
1888,"170","0310",G17003103514,"17003103514",329490.513764,2468.08027876,G17003103514,"17003103514","17","031",9,1190,1206,1197
1889,"170","0310",G17003103513,"17003103513",241258.526995,2348.49600261,G17003103513,"17003103513","17","031",6,1127,1147,1141
1890,"170","0310",G17003103511,"17003103511",339405.098401,2476.9513388,G17003103511,"17003103511","17","031",12,5272,5304,5292
1895,"170","0310",G17003105901,"17003105901",359231.580026,2843.09841411,G17003105901,"17003105901","17","031",42,0,154,112
1898,"170","0310",G17003105206,"17003105206",1087792.44232,4501.03383913,G17003105206,"17003105206","17","031",1614,5,2223,609
1899,"170","0310",G17003105104,"17003105104",20644307.9593,21429.5111636,G17003105104,"17003105104","17","031",30,0,50,20
1900,"170","0310",G17003106014,"17003106014",758494.993778,3415.43104277,G17003106014,"17003106014","17","031",416,1,775,359
1901,"170","0310",G17003104313,"17003104313",807282.650749,4131.57167935,G17003104313,"17003104313","17","031",81,9732,9904,9823
1902,"170","0310",G17003104308,"17003104308",336010.300667,2455.32141364,G17003104308,"17003104308","17","031",52,1973,2053,2001
1903,"170","0310",G17003104309,"17003104309",324614.456481,2474.57297639,G17003104309,"17003104309","17","031",16,1859,1892,1876
1904,"170","0310",G17003106720,"17003106720",970575.270924,3988.30605857,G17003106720,"17003106720","17","031",29,4988,5044,5015
1905,"170","0310",G17003106719,"17003106719",319552.293533,2425.72304377,G17003106719,"17003106719","17","031",6,1583,1600,1594
1906,"170","0310",G17003106910,"17003106910",652959.672534,3236.54980475,G17003106910,"17003106910","17","031",18,2775,2815,2797
1907,"170","0310",G17003106814,"17003106814",627351.61608,3174.2542494,G17003106814,"17003106814","17","031",13,4357,4407,4394
1908,"170","0310",G17003106914,"17003106914",654744.557863,3208.53531215,G17003106914,"17003106914","17","031",24,3989,4035,4011
1909,"170","0310",G17003107102,"17003107102",761503.136498,3648.21305764,G17003107102,"17003107102","17","031",18,5819,5882,5864
1910,"170","0310",G1700310822701,"1700310822701",1087680.51643,4956.63718372,G1700310822701,"1700310822701","17","031",4160,5,4334,174
1911,"170","0310",G17003107204,"17003107204",661367.184997,3234.54506191,G17003107204,"17003107204","17","031",1894,19,1977,83
1913,"170","0310",G17003104908,"17003104908",1070630.26399,4651.40920328,G17003104908,"17003104908","17","031",68,4547,4640,4572
1915,"170","0310",G17003104111,"17003104111",288541.535986,3173.34824428,G17003104111,"17003104111","17","031",1939,155,2495,556
1916,"170","0310",G17003104005,"17003104005",331662.794027,2466.92848206,G17003104005,"17003104005","17","031",8,2470,2495,2487
1917,"170","0310",G17003106803,"17003106803",334672.903599,2460.2745155,G17003106803,"17003106803","17","031",14,1560,1586,1572
1919,"170","0310",G17003106701,"17003106701",326174.194527,2449.00679697,G17003106701,"17003106701","17","031",9,2484,2507,2498
1920,"170","0310",G17003106703,"17003106703",336217.875443,2465.83005169,G17003106703,"17003106703","17","031",39,2365,2436,2397
1921,"170","0310",G17003106308,"17003106308",668614.894311,3261.4557547,G17003106308,"17003106308","17","031",2594,8,4513,1919
1923,"170","0310",G17003104114,"17003104114",415107.706807,2872.01368451,G17003104114,"17003104114","17","031",534,267,1143,609
1924,"170","0310",G17003104004,"17003104004",331480.046007,2469.74604142,G17003104004,"17003104004","17","031",15,2325,2347,2332
1925,"170","0310",G17003106702,"17003106702",337725.131145,2456.69431362,G17003106702,"17003106702","17","031",8,2493,2512,2504
1927,"170","0310",G17003104007,"17003104007",158467.44464,1989.21754728,G17003104007,"17003104007","17","031",17,1351,1375,1358
1928,"170","0310",G17003104112,"17003104112",412985.066853,2848.63423134,G17003104112,"17003104112","17","031",1703,168,2196,493
1929,"170","0310",G17003106709,"17003106709",324002.551905,2431.11419259,G17003106709,"17003106709","17","031",3,1997,2020,2017
1930,"170","0310",G17003106707,"17003106707",326291.864289,2461.3495299,G17003106707,"17003106707","17","031",4,2363,2396,2392
1933,"170","0310",G17003104206,"17003104206",250381.490767,2058.43979096,G17003104206,"17003104206","17","031",14,2726,2785,2771
1934,"170","0310",G17003104008,"17003104008",497325.133026,2854.76597803,G17003104008,"17003104008","17","031",9,4280,4300,4291
1935,"170","0310",G17003106806,"17003106806",333670.99083,2464.48980518,G17003106806,"17003106806","17","031",7,2365,2381,2374
