filename,cbsa_code,error
study_areas/2000/tracts_in_max_city_3639853_2000_march_2020_vintage_connected.json,3639853,division by zero
study_areas/2000/tracts_in_max_city_1232400_2000_march_2020_vintage_connected.json,1232400,division by zero
study_areas/2000/tracts_in_max_city_1271625_2000_march_2020_vintage_connected.json,1271625,division by zero
study_areas/1990/tracts_in_max_city_3639853_1990_march_2020_vintage_connected.json,3639853,division by zero
study_areas/1990/tracts_in_max_city_1232400_1990_march_2020_vintage_connected.json,1232400,division by zero
study_areas/1990/tracts_in_max_city_1248050_1990_march_2020_vintage_connected.json,1248050,division by zero
study_areas/1990/tracts_in_max_city_2446725_1990_march_2020_vintage_connected.json,2446725,division by zero
study_areas/1980/tracts_in_max_city_1274200_1980_march_2020_vintage_connected.json,1274200,division by zero
study_areas/1980/tracts_in_max_city_1248050_1980_march_2020_vintage_connected.json,1248050,division by zero
study_areas/1980/tracts_in_max_city_3639853_1980_march_2020_vintage_connected.json,3639853,division by zero
study_areas/2000/tracts_in_max_city_3639853_2000_march_2020_vintage_connected.json,3639853,division by zero
study_areas/2000/tracts_in_max_city_1232400_2000_march_2020_vintage_connected.json,1232400,division by zero
study_areas/2000/tracts_in_max_city_1271625_2000_march_2020_vintage_connected.json,1271625,division by zero
study_areas/1990/tracts_in_max_city_3639853_1990_march_2020_vintage_connected.json,3639853,division by zero
study_areas/1990/tracts_in_max_city_1232400_1990_march_2020_vintage_connected.json,1232400,division by zero
study_areas/1990/tracts_in_max_city_1248050_1990_march_2020_vintage_connected.json,1248050,division by zero
study_areas/1990/tracts_in_max_city_2446725_1990_march_2020_vintage_connected.json,2446725,division by zero
study_areas/1980/tracts_in_max_city_1274200_1980_march_2020_vintage_connected.json,1274200,division by zero
study_areas/1980/tracts_in_max_city_1248050_1980_march_2020_vintage_connected.json,1248050,division by zero
study_areas/1980/tracts_in_max_city_3639853_1980_march_2020_vintage_connected.json,3639853,division by zero
data/processed/dual_graphs/2010/tracts_in_max_city_2446725_2010_2020_vintage_connected.json,city,division by zero
data/processed/dual_graphs/2010/tracts_in_max_city_1711163_2010_2020_vintage_connected.json,city,division by zero
data/processed/dual_graphs/2000/tracts_in_max_city_1232400_2000_2020_vintage_connected.json,city,division by zero
data/processed/dual_graphs/2000/tracts_in_max_city_5377105_2000_2020_vintage_connected.json,city,division by zero
data/processed/dual_graphs/2000/tracts_in_max_city_1271625_2000_2020_vintage_connected.json,city,division by zero
data/processed/dual_graphs/2000/tracts_in_max_city_3639853_2000_2020_vintage_connected.json,city,division by zero
data/processed/dual_graphs/2000/tracts_in_max_city_2446725_2000_2020_vintage_connected.json,city,division by zero
data/processed/dual_graphs/1990/tracts_in_max_city_1248050_1990_2020_vintage_connected.json,city,division by zero
data/processed/dual_graphs/1990/tracts_in_max_city_1232400_1990_2020_vintage_connected.json,city,division by zero
data/processed/dual_graphs/1990/tracts_in_max_city_2446725_1990_2020_vintage_connected.json,city,division by zero
data/processed/dual_graphs/1990/tracts_in_max_city_3639853_1990_2020_vintage_connected.json,city,division by zero
data/processed/dual_graphs/1980/tracts_in_max_city_3639853_1980_2020_vintage_connected.json,city,division by zero
data/processed/dual_graphs/1980/tracts_in_max_city_1274200_1980_2020_vintage_connected.json,city,division by zero
data/processed/dual_graphs/1980/tracts_in_max_city_1248050_1980_2020_vintage_connected.json,city,division by zero
data/processed/dual_graphs/2010/tracts_in_max_city_1711163_2010_2020_vintage_connected.json,city,division by zero
data/processed/dual_graphs/2010/tracts_in_max_city_2446725_2010_2020_vintage_connected.json,city,division by zero
data/processed/dual_graphs/2000/tracts_in_max_city_1232400_2000_2020_vintage_connected.json,city,division by zero
data/processed/dual_graphs/2000/tracts_in_max_city_5377105_2000_2020_vintage_connected.json,city,division by zero
data/processed/dual_graphs/2000/tracts_in_max_city_1271625_2000_2020_vintage_connected.json,city,division by zero
data/processed/dual_graphs/2000/tracts_in_max_city_3639853_2000_2020_vintage_connected.json,city,division by zero
data/processed/dual_graphs/2000/tracts_in_max_city_2446725_2000_2020_vintage_connected.json,city,division by zero
data/processed/dual_graphs/1990/tracts_in_max_city_1248050_1990_2020_vintage_connected.json,city,division by zero
data/processed/dual_graphs/1990/tracts_in_max_city_1232400_1990_2020_vintage_connected.json,city,division by zero
data/processed/dual_graphs/1990/tracts_in_max_city_2446725_1990_2020_vintage_connected.json,city,division by zero
data/processed/dual_graphs/1990/tracts_in_max_city_3639853_1990_2020_vintage_connected.json,city,division by zero
data/processed/dual_graphs/1980/tracts_in_max_city_3639853_1980_2020_vintage_connected.json,city,division by zero
data/processed/dual_graphs/1980/tracts_in_max_city_1274200_1980_2020_vintage_connected.json,city,division by zero
data/processed/dual_graphs/1980/tracts_in_max_city_1248050_1980_2020_vintage_connected.json,city,division by zero
data/processed/dual_graphs/2010/tracts_in_max_city_1711163_2010_2020_vintage_connected.json,1711163,division by zero
data/processed/dual_graphs/2010/tracts_in_max_city_2446725_2010_2020_vintage_connected.json,2446725,division by zero
data/processed/dual_graphs/2000/tracts_in_max_city_1232400_2000_2020_vintage_connected.json,1232400,division by zero
data/processed/dual_graphs/2000/tracts_in_max_city_5377105_2000_2020_vintage_connected.json,5377105,division by zero
data/processed/dual_graphs/2000/tracts_in_max_city_1271625_2000_2020_vintage_connected.json,1271625,division by zero
data/processed/dual_graphs/2000/tracts_in_max_city_3639853_2000_2020_vintage_connected.json,3639853,division by zero
