Atlanta-Sandy Springs-Roswell, GA (tracts) — Degree Report
============================================================

1980  |  tracts_in_cbsa_12060_1980_march_2020_vintage_connected.json
  Rank  Degree  Unit
  -------------------------------------------------------
     1      12  13012100035
     2      11  13012100103
     3      10  13008900229
     4      10  13008900215
     5      10  13015100701
     6      10  13024700601
     7       9  13006700309
     8       9  1301210008102
     9       9  1301210001095
    10       9  13012100072
    11       9  13012100069
    12       8  13012100075
    13       8  13012100070
    14       8  13008900208
    15       8  1300890023104
    16       8  13012100089
    17       8  13012100080
    18       8  13012100043
    19       8  13012100062
    20       8  13006300402

1990  |  tracts_in_cbsa_12060_1990_march_2020_vintage_connected.json
  Rank  Degree  Unit
  -------------------------------------------------------
     1      12  13012100035
     2      11  13012100104
     3      10  13024700601
     4      10  1301210010302
     5      10  13008900215
     6      10  13012100115
     7       9  1301210008102
     8       9  13012100072
     9       9  1301350050505
    10       9  1300890021702
    11       9  13012100069
    12       9  13011701306
    13       9  1301210001095
    14       9  13008900208
    15       9  13009700804
    16       9  13021701008
    17       9  1301510070103
    18       9  13022301201
    19       8  1300670031103
    20       8  13012100075

2000  |  tracts_in_cbsa_12060_2000_march_2020_vintage_connected.json
  Rank  Degree  Unit
  -------------------------------------------------------
     1      12  13121003500
     2      12  13121010400
     3      11  13121010510
     4      10  13217100900
     5      10  13121011501
     6      10  13077170500
     7      10  13089023418
     8       9  13097080401
     9       9  13247060102
    10       9  13067031407
    11       9  13117130600
    12       9  13223120100
    13       9  13217100800
    14       9  13135050602
    15       9  13135050516
    16       9  13089021809
    17       9  13121008102
    18       9  13121006900
    19       9  13121008000
    20       9  13121007200

2010  |  tracts_in_cbsa_12060_2010_march_2020_vintage_connected.json
  Rank  Degree  Unit
  -------------------------------------------------------
     1      12  13121010510
     2      12  13121010400
     3      11  13089023418
     4      10  13135050608
     5      10  13135050511
     6      10  13121003500
     7      10  13089023423
     8      10  13223120400
     9       9  13247060102
    10       9  13067031001
    11       9  13067030310
    12       9  13067030602
    13       9  13117130510
    14       9  13063040606
    15       9  13063040620
    16       9  13151070104
    17       9  13217100800
    18       9  13217100100
    19       9  13121008102
    20       9  13121006900

2020  |  tracts_in_cbsa_12060_2020_march_2020_vintage_connected.json
  Rank  Degree  Unit
  -------------------------------------------------------
     1      12  406.31
     2      12  35
     3      12  506.12
     4      12  406.06
     5      11  104.02
     6      10  503.06
     7      10  89.05
     8      10  234.44
     9      10  310.01
    10      10  1
    11      10  1503
    12      10  505.83
    13      10  1009.03
    14      10  101.06
    15      10  704.11
    16      10  702.16
    17      10  404.10
    18       9  902.02
    19       9  905.03
    20       9  604.03
