Atlanta-Sandy Springs-Roswell, GA (block groups) — Degree Report
============================================================

1990  |  block_groups_in_cbsa_12060_1990_march_2020_vintage_connected.json
  Rank  Degree  Unit
  -------------------------------------------------------
     1      14  13006300404029
     2      13  13013500507051
     3      13  130247006014
     4      12  13006700304054
     5      12  13009700805043
     6      12  130121000352
     7      12  13013500505021
     8      12  13024700603026
     9      11  13006700309016
    10      11  13008900212111
    11      11  13008900218981
    12      11  13012100066011
    13      11  13012100081021
    14      11  130121001111
    15      11  13012100116038
    16      11  13013500503094
    17      10  13006300404032
    18      10  13006300406081
    19      10  13006700303191
    20      10  13006700304019

2000  |  block_groups_in_cbsa_12060_2000_march_2020_vintage_connected.json
  Rank  Degree  Unit
  -------------------------------------------------------
     1      13  131210035001
     2      12  130670302111
     3      12  130630404109
     4      12  131350503061
     5      11  130670303191
     6      10  130670309012
     7      10  130670302171
     8      10  130670314076
     9      10  130459907022
    10      10  130630406061
    11      10  130630406081
    12      10  131350507051
    13      10  131350503094
    14      10  131210058001
    15      10  131210013001
    16      10  131210114102
    17      10  131210043001
    18      10  131210075001
    19      10  131210105144
    20      10  130970805043

2010  |  block_groups_in_cbsa_12060_2010_march_2020_vintage_connected.json
  Rank  Degree  Unit
  -------------------------------------------------------
     1      13  131350503061
     2      12  130630404101
     3      11  130670314082
     4      11  130630406081
     5      11  130630406201
     6      11  131350506052
     7      11  131350505311
     8      11  131350503042
     9      11  131350505441
    10      11  131210013001
    11      11  131210101221
    12      11  130890213061
    13      11  130890212021
    14      10  130670312051
    15      10  130670302261
    16      10  130670303191
    17      10  130670310012
    18      10  130630402021
    19      10  130459107023
    20      10  130630404141

2020  |  block_groups_in_cbsa_12060_2020_march_2020_vintage_connected.json
  Rank  Degree  Unit
  -------------------------------------------------------
     1      13  131171306102
     2      12  130630406312
     3      12  131350503321
     4      12  131350503241
     5      12  130890212224
     6      12  130890219153
     7      12  130890213101
     8      12  130630406061
     9      11  132470601041
    10      11  131350503063
    11      11  131350505511
    12      11  131350506121
    13      11  131210105222
    14      11  131210094062
    15      11  131210114382
    16      11  130351502014
    17      11  131210114442
    18      11  130890231131
    19      11  131210096061
    20      11  131210101252
