Ocean City, NJ — Degree Distribution Report
============================================================

1980  |  tracts_in_cbsa_36140_1980_march_2020_vintage_connected.json
  Rank  Degree  Tract
  -------------------------------------------------------
     1       9  34000900210
     2       5  34000900217
     3       4  34000900204
     4       4  34000900212
     5       4  34000900203
     6       4  34000900214
     7       4  34000900206
     8       4  34000900207
     9       3  34000900215
    10       3  34000900216
    11       2  34000900205
    12       2  34000900202
    13       2  34000900213
    14       2  34000900219
    15       2  34000900211
    16       2  34000900218
    17       1  34000900208
    18       1  34000900209
    19       1  34000900201
    20       1  34000900220

1990  |  tracts_in_cbsa_36140_1990_march_2020_vintage_connected.json
  Rank  Degree  Tract
  -------------------------------------------------------
     1       9  34000900210
     2       6  34000900217
     3       4  34000900204
     4       4  34000900212
     5       4  34000900203
     6       4  34000900206
     7       4  34000900214
     8       4  34000900207
     9       3  3400090021801
    10       3  34000900216
    11       3  34000900215
    12       2  34000900202
    13       2  34000900211
    14       2  34000900219
    15       2  34000900213
    16       2  3400090021802
    17       2  34000900205
    18       1  34000900220
    19       1  34000900201
    20       1  34000900208

2000  |  tracts_in_cbsa_36140_2000_march_2020_vintage_connected.json
  Rank  Degree  Tract
  -------------------------------------------------------
     1      17  34009021802
     2      10  34009021000
     3       8  34009021700
     4       6  34009020302
     5       5  34009020200
     6       5  34009020400
     7       5  34009021400
     8       5  34009021200
     9       5  34009020700
    10       5  34009020600
    11       4  34009021500
    12       4  34009021300
    13       4  34009021804
    14       4  34009021600
    15       3  34009022000
    16       3  34009020900
    17       3  34009020102
    18       3  34009020301
    19       3  34009020101
    20       3  34009020800

2010  |  tracts_in_cbsa_36140_2010_march_2020_vintage_connected.json
  Rank  Degree  Tract
  -------------------------------------------------------
     1      25  34009022102
     2      11  34009021001
     3       7  34009021702
     4       6  34009020302
     5       6  34009020700
     6       6  34009021701
     7       5  34009020203
     8       5  34009021900
     9       5  34009020600
    10       5  34009021804
    11       5  34009021400
    12       5  34009020800
    13       5  34009020400
    14       5  34009020301
    15       5  34009021002
    16       5  34009021806
    17       4  34009020201
    18       4  34009020206
    19       4  34009020102
    20       4  34009021600

2020  |  tracts_in_cbsa_36140_2020_march_2020_vintage_connected.json
  Rank  Degree  Tract
  -------------------------------------------------------
     1      25  221.02
     2      11  210.01
     3       7  217.02
     4       6  217.01
     5       6  207
     6       6  203.02
     7       5  202.03
     8       5  218.06
     9       5  219
    10       5  210.02
    11       5  203.01
    12       5  214
    13       5  218.04
    14       5  204
    15       5  206
    16       5  208
    17       4  202.05
    18       4  209.02
    19       4  202.01
    20       4  202.06
