New Orleans-Metairie, LA — Degree Distribution Report
============================================================

1980  |  tracts_in_cbsa_35380_1980_march_2020_vintage_connected.json
  Rank  Degree  Tract
  -------------------------------------------------------
     1      14  22007100023
     2      14  2200710001731
     3      12  22005100242
     4      12  2200510027802
     5      12  2200870030201
     6      11  22005100274
     7      11  22007100011
     8      11  22007100046
     9       9  22007100072
    10       9  22007100049
    11       9  22007100077
    12       9  22008700304
    13       9  22005100275
    14       9  22007100104
    15       9  2200710007604
    16       9  22007100087
    17       9  22008900605
    18       8  22005100216
    19       8  22007100117
    20       8  2200510021802

1990  |  tracts_in_cbsa_35380_1990_march_2020_vintage_connected.json
  Rank  Degree  Tract
  -------------------------------------------------------
     1      14  2200710001733
     2      14  22007100023
     3      13  22005100274
     4      13  2200870030204
     5      13  22007100011
     6      12  22005100242
     7      11  22009500711
     8      11  22008900632
     9      11  22007100046
    10       9  22007500502
    11       9  22007100087
    12       9  2200710007604
    13       9  22007100004
    14       9  22005100269
    15       9  22007100077
    16       9  22008700304
    17       9  2200510027807
    18       9  22007100049
    19       8  22007100104
    20       8  2200710000613

2000  |  tracts_in_cbsa_35380_2000_march_2020_vintage_connected.json
  Rank  Degree  Tract
  -------------------------------------------------------
     1      18  22103041202
     2      16  22071001733
     3      15  22103040301
     4      14  22087030204
     5      14  22071002300
     6      13  22051027400
     7      13  22071001100
     8      12  22051027807
     9      12  22051024200
    10      11  22089063200
    11      11  22095071100
    12      11  22051020502
    13      11  22071004600
    14      10  22075050100
    15      10  22075050200
    16      10  22071000400
    17       9  22089062400
    18       9  22087030400
    19       9  22051026900
    20       9  22071007604

2010  |  tracts_in_cbsa_35380_2010_march_2020_vintage_connected.json
  Rank  Degree  Tract
  -------------------------------------------------------
     1      24  22103040305
     2      16  22051028200
     3      14  22087030204
     4      13  22071002300
     5      12  22071001725
     6      12  22051027807
     7      11  22071001100
     8      11  22075050200
     9      11  22075050100
    10      11  22095071100
    11      11  22089063200
    12      10  22071013400
    13      10  22071001751
    14      10  22071000400
    15      10  22051024201
    16      10  22103040708
    17      10  22051020502
    18      10  22089062100
    19      10  22089062400
    20       9  22071980000

2020  |  tracts_in_cbsa_35380_2020_march_2020_vintage_connected.json
  Rank  Degree  Tract
  -------------------------------------------------------
     1      21  403.09
     2      18  289
     3      15  282
     4      15  302.04
     5      13  407.08
     6      13  23
     7      12  407.12
     8      12  17.24
     9      11  711
    10      11  17.58
    11      11  501
    12      11  134
    13      11  11
    14      11  205.02
    15      10  17.51
    16      10  278.12
    17      10  278.18
    18      10  624
    19      10  621
    20      10  4
