Houston-The Woodlands-Sugar Land, TX (block groups) — Degree Report
============================================================

1990  |  block_groups_in_cbsa_26420_1990_march_2020_vintage_connected.json
  Rank  Degree  Unit
  -------------------------------------------------------
     1      17  480039006242
     2      16  480201002331
     3      14  480167012342
     4      14  480201002432
     5      13  480167012305
     6      13  48020100370209
     7      13  480201004502
     8      13  48020100534013
     9      13  48033900902022
    10      12  48015700701251
    11      12  480167012036
    12      11  48003900620013
    13      11  480039006283
    14      11  48015700702223
    15      11  480157007041
    16      11  48016701216102
    17      11  480201002111
    18      11  48020100230046
    19      11  48020100249224
    20      11  480201003344

2000  |  block_groups_in_cbsa_26420_2000_march_2020_vintage_connected.json
  Rank  Degree  Unit
  -------------------------------------------------------
     1      24  481677241002
     2      16  481677224004
     3      15  480396642001
     4      15  481576707001
     5      14  482012122001
     6      14  481677239004
     7      13  482012525001
     8      12  480396644006
     9      12  482015430001
    10      12  482014119003
    11      12  482013419001
    12      12  483396920002
    13      12  482012327001
    14      12  482012102001
    15      12  482013315006
    16      12  481677206001
    17      11  480396643002
    18      11  482013402001
    19      11  482013501002
    20      11  482015216003

2010  |  block_groups_in_cbsa_26420_2010_march_2020_vintage_connected.json
  Rank  Degree  Unit
  -------------------------------------------------------
     1      25  482013341002
     2      16  482013437003
     3      16  482012125003
     4      16  481677262001
     5      15  480396642001
     6      15  482013436001
     7      15  481576707001
     8      14  482014544001
     9      14  481576729001
    10      13  482015432002
    11      13  482012525001
    12      13  482012532002
    13      13  481677239004
    14      13  481677241011
    15      13  481576720011
    16      12  480396644002
    17      12  482012124002
    18      12  482013315006
    19      12  482012327023
    20      12  482013506011

2020  |  block_groups_in_cbsa_26420_2020_march_2020_vintage_connected.json
  Rank  Degree  Unit
  -------------------------------------------------------
     1      18  482014544001
     2      17  481677206051
     3      17  481576707001
     4      16  482015432022
     5      16  482013341013
     6      16  482013437003
     7      15  480396642001
     8      15  481677262001
     9      15  482012125003
    10      14  481576720031
    11      13  482013341022
    12      13  482012327042
    13      13  482013131021
    14      13  481576746023
    15      13  482013506011
    16      13  483396920102
    17      12  480396619021
    18      12  482012410021
    19      12  482013308023
    20      12  482015205011
