filename,x_col,y_col,tot_col,angle_1,angle_2,e_assort,he_assort,skew_self_0,skew_other_0,edge_0,skew'_self_0,skew'_other_0,half_edge_0,skew_self_exact_0,skew_other_exact_0,edge_exact_0,skew'_self_exact_0,skew'_other_exact_0,half_edge_exact_0,skew_self_0.5,skew_other_0.5,edge_0.5,skew'_self_0.5,skew'_other_0.5,half_edge_0.5,skew_self_exact_0.5,skew_other_exact_0.5,edge_exact_0.5,skew'_self_exact_0.5,skew'_other_exact_0.5,half_edge_exact_0.5,skew_self_1,skew_other_1,edge_1,skew'_self_1,skew'_other_1,half_edge_1,skew_self_exact_1,skew_other_exact_1,edge_exact_1,skew'_self_exact_1,skew'_other_exact_1,half_edge_exact_1,skew_self_2,skew_other_2,edge_2,skew'_self_2,skew'_other_2,half_edge_2,skew_self_exact_2,skew_other_exact_2,edge_exact_2,skew'_self_exact_2,skew'_other_exact_2,half_edge_exact_2,skew_self_10,skew_other_10,edge_10,skew'_self_10,skew'_other_10,half_edge_10,skew_self_exact_10,skew_other_exact_10,edge_exact_10,skew'_self_exact_10,skew'_other_exact_10,half_edge_exact_10,skew_self_lim,skew_other_lim,edge_lim,skew'_self_lim,skew'_other_lim,half_edge_lim,skew_self_exact_lim,skew_other_exact_lim,edge_exact_lim,skew'_self_exact_lim,skew'_other_exact_lim,half_edge_exact_lim,dissimilarity_1,dissimilarity_2,dissimilarity_10,frey,gini,moran_A,moran_P,moran_L,moran_M,moran_D_1,moran_D_2,total_population,total_white,total_poc,total_black,share_x,share_y,total_nodes,total_edges
data/shared/processed/dual_graphs/1980/counties_in_cbsa_10180_1980_march_2020_vintage_connected.json,BLACK,WHITE,TOTPOP,838715850,419327559.75,nan,nan,0.020703197076537824,0.9078597942208064,0.4642814956486721,0.040566537139954485,0.9517049386656713,0.4961357379028129,0.020703197076537824,0.9078597942208064,0.4642814956486721,0.040566537139954485,0.9517049386656713,0.4961357379028129,0.028906874496467054,0.8915786392985606,0.4602427568975138,0.056189486557009706,0.9426820759925454,0.49943578127477756,0.02890365295885163,0.8915780158331231,0.4602408343959874,0.05618340041019867,0.9426817274998178,0.49943256395500824,0.031200652029952626,0.8858793115494795,0.45853998178971606,0.060513251167041274,0.9394867488329587,0.5,0.031196539472176116,0.8858784255880755,0.45853748253012583,0.060505516219331465,0.9394862506174873,0.49999588341840934,0.032906727379116374,0.8812158689584093,0.45706129816876284,0.06371674519462849,0.9368577880924643,0.5002872666435464,0.03290195485314396,0.8812147511418423,0.45705835299749314,0.06370779859318187,0.9368571563740618,0.5002824774836219,0.03473053697233832,0.8757691067146195,0.4552498218434789,0.06712962598738262,0.9337706901981294,0.5004501580927561,0.03472506153690107,0.8757676986474416,0.45524638009217133,0.06711939785303572,0.9337698898205047,0.5004446438367702,0.035274972541904544,0.8740407157401862,0.4546578441410454,0.06814609350652824,0.9327873278302473,0.5004667106683878,0.06813548554743395,0.9327864710306288,0.5004609782890314,0.12757835774459564,0.9652245449889089,0.5464014513667522,0.1104956344869362,0.10245270913820982,0.10461499224077939,0.1104956344869362,0.11993273764887119,-0.5,-0.5,-0.75,-0.5,-0.4982246757235325,-0.49655102595796163,139192,114111,25081,7350,0.05280475889418932,0.8198100465543997,3,3
data/shared/processed/dual_graphs/1980/counties_in_cbsa_10420_1980_march_2020_vintage_connected.json,BLACK,WHITE,TOTPOP,35462966684,17731320462.25,nan,nan,0.021673892294514777,0.8700176943157985,0.4458457933051566,0.042428200344512494,0.930491403327732,0.4864598018361222,0.021673892294514777,0.8700176943157985,0.4458457933051566,0.042428200344512494,0.930491403327732,0.4864598018361222,0.04297300490280814,0.8410127174584722,0.4419928611806402,0.08240482678036845,0.913641399087666,0.4980231129340172,0.04297238729268585,0.8410125492564794,0.4419924682745826,0.08240369125060384,0.9136412998337626,0.49802249554218325,0.04822414449143305,0.8314831629339983,0.4398536537127157,0.09201113091099415,0.9079888690890059,0.5,0.048223378838217666,0.8314829260750705,0.4398531524566441,0.09200973725975338,0.9079887278632364,0.49999923256149487,0.05195720901454083,0.823908618911838,0.4379329139631894,0.09878198194623075,0.9034538357556422,0.5011179088509364,0.05195633913282106,0.8239083227555136,0.43793233094416734,0.09878040979467113,0.9034536577044335,0.5011170337495523,0.055795285131787914,0.8153049215893553,0.4355501033605716,0.10569337809615878,0.8982567191803025,0.5019750486382306,0.05579430897002579,0.8153045530017884,0.4355494309859071,0.10569162666628809,0.8982564954774123,0.5019740610718502,0.05691178873337814,0.8126277608994827,0.4347697748164304,0.107694491328519,0.8966294993697231,0.5021619953491211,0.10769268854280797,0.8966292606158203,0.5021609745793141,0.1944450652364238,0.9454976565369364,0.5699713608866801,0.1616454881815155,0.16164548818151547,0.1616454881815157,0.1616454881815155,0.1616454881815155,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,660328,591572,68756,59947,0.09078367114524903,0.8958759889024849,2,1
data/shared/processed/dual_graphs/1980/counties_in_cbsa_10500_1980_march_2020_vintage_connected.json,BLACK,WHITE,TOTPOP,4661729305,2330829625.75,nan,nan,0.2510775149879166,0.4232195286096126,0.3371485217987646,0.40137803130502525,0.5947354151654579,0.4980567232352416,0.2510775149879166,0.4232195286096126,0.3371485217987646,0.40137803130502525,0.5947354151654579,0.4980567232352416,0.25970149632717204,0.4159187950172511,0.33781014567221157,0.4123222796581038,0.5874896166092402,0.49990594813367195,0.2596991376591235,0.41591674784417004,0.3378079427516468,0.4123193068810348,0.5874875743611786,0.4999034406211067,0.26358802705341067,0.4125105851793465,0.3380493061163786,0.41720564204470584,0.584081407258226,0.5006435246514659,0.2635846233736296,0.41250756479500006,0.33804609408431485,0.4172013785192924,0.5840783795800316,0.500639879049662,0.26722704491595745,0.4092498430002193,0.3382384439580884,0.42175085512585464,0.5808052348318135,0.5012780449788341,0.2672226728906262,0.40924588107112997,0.33823427698087805,0.4217454100329061,0.5808012449326063,0.5012733274827562,0.27212477216680964,0.40475111937904035,0.33843794577292496,0.4278271724923643,0.5762602553510796,0.502043713921722,0.2721191122951374,0.4047458416725412,0.33843247698383927,0.427820177631298,0.5762549062834543,0.5020375419573762,0.2738514563775971,0.4031340653030565,0.3384927608403268,0.42995822630110747,0.5746194540804416,0.5022888401907746,0.42995069599576236,0.5746136073969771,0.5022821516963697,0.6013503783028845,0.7298471252853981,0.6655987517941413,0.1010956944905622,0.07360774547679994,0.06311056256571895,0.1010956944905622,0.148119842140734,-0.26153654256598463,-0.26213713625460827,-0.6085085216264392,-0.014180869377398769,-0.36453169136814323,-0.403171261528304,142483,81590,60893,58517,0.41069460918144624,0.5726297172294239,4,5
data/shared/processed/dual_graphs/1980/counties_in_cbsa_10580_1980_march_2020_vintage_connected.json,BLACK,WHITE,TOTPOP,19504025773,9751823663.5,nan,nan,0.015172986941596259,0.9276252420715325,0.4713991145065644,0.029892416635922903,0.9624539270658805,0.4961731718509017,0.015172986941596259,0.9276252420715325,0.4713991145065644,0.029892416635922903,0.9624539270658805,0.4961731718509017,0.017973165753987146,0.9252750472850029,0.471624106519495,0.03531166902749323,0.9611873883576411,0.49824952869256717,0.017972740979104604,0.9252749851472885,0.47162386306319654,0.03531084921157731,0.9611873548302531,0.4982491020209152,0.019860558653593607,0.9235947403149408,0.4717276494842672,0.03894759628671836,0.9602799601788525,0.49961377823278547,0.019859848935911896,0.9235946313546142,0.471727240145263,0.03894623159570995,0.9602799012848251,0.49961306644026754,0.02224336867751651,0.9213522585405258,0.4717978136090212,0.04351873410789236,0.9590664641999508,0.5012925991539215,0.022242300794629306,0.9213520839797061,0.4717971923871677,0.04351669027458458,0.9590663696278977,0.5012915299512412,0.027089227220789956,0.9163204862234124,0.4717048567221012,0.052749510953573026,0.9563332363359017,0.5045413736447374,0.02708743635688358,0.9163201515143446,0.4717037939356141,0.05274611566268146,0.9563330540465649,0.5045395848546231,0.029553181470954447,0.9134848681423712,0.4715190248066628,0.05740972298046985,0.9547866130022661,0.506098167991368,0.057405655548277174,0.9547863765624698,0.5060960160553735,0.10857830246521932,0.9768702994968488,0.5427243009810341,0.28506152458022194,0.23705907128436474,0.2660509350784857,0.28506152458022194,0.34194884708147705,-0.4900321195049013,-0.4669987399049863,-0.8634721739899068,-0.2599383779342743,-0.2628750185525334,-0.2624607446700003,771290,728074,43216,28818,0.03736337823646099,0.9439691944664134,5,7
data/shared/processed/dual_graphs/1980/counties_in_cbsa_10740_1980_march_2020_vintage_connected.json,BLACK,WHITE,TOTPOP,2487276066,1243571029.5,nan,nan,0.0109929874674038,0.9482305155319469,0.4796117514996754,0.021746911410220306,0.9734274337377793,0.4975871725739998,0.0109929874674038,0.9482305155319469,0.4796117514996754,0.021746911410220306,0.9734274337377793,0.4975871725739998,0.01763113589878817,0.9326694113133381,0.47515027360606316,0.03465132949812128,0.9651618697473421,0.4999065996227317,0.01762944114695622,0.9326691977492789,0.47514931944811756,0.03464805642235806,0.9651617553955265,0.49990490590894227,0.018306977717044794,0.9305275011086388,0.4744172394128418,0.035955714961489194,0.9640137222331899,0.49998471859733956,0.01830511170380377,0.9305272504194083,0.47441618106160605,0.03595211590988893,0.9640135877048621,0.4999828518073755,0.018699273110470406,0.929219085752006,0.47395917943123816,0.036712057432562055,0.9633111061513245,0.5000115817919433,0.018697307796653403,0.9292188114641391,0.4739580596303962,0.036708269774647626,0.9633109587594457,0.5000096142670467,0.019044767268034515,0.9280243487047093,0.4735345579863719,0.0373776852200356,0.9626687021127894,0.5000231936664126,0.01904271456652931,0.9280240522589154,0.47353338341272233,0.03737373182561737,0.9626685426165944,0.5000211372211059,0.019136036131810804,0.9277018271368696,0.4734189316343402,0.03755344812345705,0.9624951474105766,0.5000242977670168,0.037549451004193754,0.9624949845879884,0.5000222177960911,0.07238103392151855,0.9808891152810332,0.5266350746012759,0.04416749765361961,0.038870130663191775,0.04127075203281759,0.04416749765361961,0.044582062412111184,-0.7999952602190761,-0.7999952602190761,-0.974996445164307,-0.2999952602190759,-0.5606243757792063,-0.610389372143226,461990,258382,203608,9632,0.020848936124158533,0.559280503907011,3,2
data/shared/processed/dual_graphs/1980/counties_in_cbsa_10780_1980_march_2020_vintage_connected.json,BLACK,WHITE,TOTPOP,4274436877,2137181203.0,nan,nan,0.11620112051770501,0.6342944398616553,0.3752477801896802,0.2082082133438637,0.7762303100233872,0.4922192616836254,0.11620112051770501,0.6342944398616553,0.3752477801896802,0.2082082133438637,0.7762303100233872,0.4922192616836254,0.14489319565743888,0.5945675695682053,0.3697303826128221,0.25311216139115233,0.7457414548186364,0.49942680810489437,0.14489037836167726,0.5945657725450855,0.3697280754533814,0.25310786272658425,0.7457400413105562,0.4994239520185702,0.14981607358600538,0.5865569492157333,0.36818651140086933,0.2605913711377583,0.7394086288622417,0.5,0.1498127919095225,0.5865547471691681,0.3681837695393453,0.26058640669795424,0.7394068792340591,0.49999664296600665,0.15297044447931618,0.5812043426541865,0.36708739356675135,0.26535015743339013,0.7351413438171887,0.5002457506252894,0.15296686817281258,0.5812018619946363,0.36708436508372444,0.26534477684554786,0.735139359450878,0.5002420681482129,0.1559547777688721,0.5759728571794238,0.36596381747414797,0.26982851019463416,0.7309426105348837,0.5003855603647589,0.15595092481795428,0.575970098033391,0.36596051142567265,0.26982274328387135,0.7309403887194662,0.5003815660016688,0.15677812236954553,0.5744998203037147,0.36563897133663015,0.27105997137705384,0.7297553329576069,0.5004076521673304,0.27105409913604744,0.7297530428325291,0.5004035709842882,0.4265028519561623,0.8437655835974525,0.6351342177768073,0.052858756252958466,0.05285875625295845,0.05285875625295852,0.052858756252958466,0.052858756252958466,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,151985,110129,41856,38813,0.2553738855808139,0.7246044017501727,2,1
data/shared/processed/dual_graphs/1980/counties_in_cbsa_10900_1980_march_2020_vintage_connected.json,BLACK,WHITE,TOTPOP,4711961945,2355827119.0,nan,nan,0.006810425306410281,0.9722222705872777,0.489516347946844,0.013528714314489964,0.9859155178262687,0.49972211607037936,0.006810425306410281,0.9722222705872777,0.489516347946844,0.013528714314489964,0.9859155178262687,0.49972211607037936,0.007146364487701442,0.9715381280752073,0.4893422462814544,0.014191312682415405,0.9855636208503968,0.4998774667664061,0.007145787666503131,0.9715380953010653,0.4893419414837842,0.014190175352983397,0.9855636039867703,0.49987688966987687,0.007344828690036913,0.9711176556274399,0.4892312421587384,0.014582551040815319,0.9853472245605926,0.49996488780070397,0.007343911280859594,0.9711176019285925,0.48923075660472604,0.014580742879602364,0.9853471969185663,0.4999639698990843,0.007568860732512224,0.9706276218722636,0.4890982413023879,0.015024006849536,0.9850949119956869,0.5000594594226114,0.007567559021338154,0.9706275430359883,0.4890975510286632,0.015021442390798312,0.9850948713937288,0.5000581568922635,0.007951573529728643,0.9697503331763115,0.4888509533530201,0.015777689600469914,0.9846428929016047,0.5002102912510373,0.007949615718304524,0.9697502073183576,0.48884991151833107,0.01577383550593313,0.9846428280249683,0.5002083317654507,0.008116314105510376,0.9693561353834507,0.48873622474448053,0.01610193980981626,0.9844396531099833,0.5002707964598998,0.016097531494306646,0.9844395768767034,0.500268554185505,0.031685012501965405,0.9921587821042216,0.5119218973030935,0.11529585428889817,0.09179009612117432,0.08789768182733615,0.11529585428889817,0.15405810000961626,-0.5058429289033399,-0.46470159568331637,-0.8190831413977299,-0.2949785036879407,-0.3236096794206932,-0.3054234870849475,635481,606640,28841,8774,0.013806864406646304,0.954615480242525,4,4
data/shared/processed/dual_graphs/1980/counties_in_cbsa_11100_1980_march_2020_vintage_connected.json,BLACK,WHITE,TOTPOP,1311986626,655951831.25,nan,nan,0.007565548209249757,0.9025797435682902,0.45507264588876994,0.015017480942447935,0.9487957039587744,0.4819065924506112,0.007565548209249757,0.9025797435682902,0.45507264588876994,0.015017480942447935,0.9487957039587744,0.4819065924506112,0.020278080067752488,0.9000204655104893,0.4601492727891209,0.03975010433705663,0.9473797591634632,0.4935649317502599,0.020276025344067895,0.900020068169539,0.46014804675680343,0.039746156609394415,0.9473795390346689,0.49356284782203164,0.02663091406496013,0.8986640539987341,0.4626474840318471,0.05188021069717185,0.9466277639860277,0.49925398734159976,0.026627852512570105,0.8986634378189613,0.4626456451657657,0.05187440112286272,0.9466274221315146,0.49925091162718865,0.03298146175428623,0.8972522830627697,0.46511687240852795,0.0638568318511247,0.9458439355406321,0.5048503836958784,0.03297740704256671,0.8972514330429957,0.4651144200427812,0.06384923197300438,0.9458434632503051,0.5048463476116547,0.04221454322307343,0.8950927949184398,0.4686536690707566,0.08100931520783416,0.9446427080706224,0.5128260116392283,0.04220906828765863,0.8950915752318832,0.4686503217597709,0.08099923436092875,0.9446420288395403,0.5128206316002345,0.045675703144404535,0.8942485297445549,0.4699621164444797,0.08736112545611449,0.9441723361032747,0.5157667307796946,0.08735015068386594,0.9441715735157051,0.5157608620997856,0.16066609385933114,0.9712842080170226,0.5659751509381769,0.4358848195291141,0.4072891513676053,0.4147851752288065,0.4358848195291141,0.4388413246176863,-0.45685070545122264,-0.4580884562419923,-0.9161354509383244,-0.22273488798790678,-0.2941885799692749,-0.32994475740808155,184648,157448,27200,8479,0.04591980416793033,0.8526926909579308,5,5
data/shared/processed/dual_graphs/1980/counties_in_cbsa_11180_1980_march_2020_vintage_connected.json,BLACK,WHITE,TOTPOP,78986752,39469434.0,nan,nan,0.0016460235942958505,0.986914412729427,0.49428021816186146,0.003286637306040066,0.9934141162866712,0.49835037679635563,0.0016460235942958505,0.986914412729427,0.49428021816186146,0.003286637306040066,0.9934141162866712,0.49835037679635563,0.0037367631326835527,0.9839471065437099,0.4938419348381967,0.007445703435273281,0.9919086081461838,0.4996771557907285,0.0037327427726247886,0.9839469874380335,0.4938398651053292,0.00743772244056477,0.9919085476257122,0.4996731350331385,0.004362782112593338,0.9827743271221532,0.49356855461737326,0.008687661849469551,0.9913123381505304,0.5,0.004357561233960661,0.9827741488007122,0.49356585501733646,0.008677310555828209,0.9913122474338759,0.49999477899485206,0.004841128754082899,0.9817546762325061,0.4932979024932945,0.00963561027818494,0.9907933489516574,0.5002144796149212,0.004834991566271847,0.9817544408369537,0.4932947162016128,0.009623453814512122,0.9907932290766859,0.500208341445599,0.005364972678294882,0.9804885986327906,0.4929267856555427,0.010672686684125429,0.9901481879872074,0.5004104373356664,0.005357833039192545,0.9804882851330758,0.4929230590861342,0.010658559297232187,0.9901480281335706,0.5004032937154014,0.00552391990535646,0.9800686515643048,0.49279628573483064,0.01098714768690215,0.9899340114192764,0.5004605795530893,0.010972423499272467,0.9899338373793121,0.5004531304392923,0.021706672198423944,0.9949414586396778,0.5083240654190508,0.212856150864388,0.212856150864388,0.2128561508643882,0.212856150864388,0.212856150864388,-1.0,-1.0,-1.0000000000000002,-1.0,-1.0,-1.0,98510,94936,3574,832,0.00844584306161811,0.9637194193482895,2,1
data/shared/processed/dual_graphs/1980/counties_in_cbsa_11260_1980_march_2020_vintage_connected.json,BLACK,WHITE,TOTPOP,1495812706,747863414.25,nan,nan,0.004837996499336455,0.9365433399934107,0.47069066824637357,0.009629405966317178,0.9672319959506792,0.4884307009584982,0.004837996499336455,0.9365433399934107,0.47069066824637357,0.009629405966317178,0.9672319959506792,0.4884307009584982,0.025318213673599096,0.9040415410447551,0.4646798773591771,0.04938606051459245,0.9496027492642874,0.49949440488943997,0.02531558180133411,0.9040410904156246,0.46467833610847936,0.04938105350327013,0.9496025006669215,0.49949177708509584,0.027525515392990894,0.8982962803317915,0.4629108978623912,0.053576315099997086,0.946423684900003,0.5,0.02752260646651132,0.8982957182961604,0.46290916238133584,0.05357080475563888,0.9464233729636573,0.4999970888596481,0.028817751557275843,0.8945881214515199,0.46170293650439787,0.056021100945538096,0.9443615858481579,0.500191343396848,0.02881468102916346,0.8945874824458195,0.4617010817374915,0.05601529908251117,0.9443612298028603,0.5001882644426857,0.029962589208825757,0.8910603602771276,0.4605114747429767,0.058181898105331704,0.9423922990449085,0.5002870985751201,0.02995937587993216,0.8910596443575209,0.46050951011872654,0.058175839905019094,0.9423918986545287,0.5002838692797739,0.030266085149709628,0.8900837332778849,0.4601749092137973,0.05875391917867822,0.9418458215438464,0.5002998703612623,0.058747793326076915,0.9418454084630087,0.5002966008945428,0.11097599200942762,0.9700518943044898,0.5405139431569587,0.09312952179188135,0.09312952179188135,0.09312952179188143,0.09312952179188135,0.09312952179188135,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,192247,162553,29694,9202,0.04786550635380526,0.8455424531982294,2,1
