area_code,id
3651000,G3600610031701
3651000,G36004700086
3651000,G36000500163
3651000,G36004700852
3651000,G36000500435
3651000,G36000500187
3651000,G36008100037
3651000,G36008100716
3651000,G36006100313
3651000,G36000500171
3651000,G3600810107202
3651000,G36004700455
3651000,G36004700177
3651000,G3600810064102
3651000,G36008100191
3651000,G36006100143
3651000,G36004700175
3651000,G36008100099
3651000,G36000500005
3651000,G3600050027102
3651000,G3600050005301
3651000,G36000500276
3651000,G36000500024
3651000,G36008100793
3651000,G36008101319
3651000,G3600470070203
3651000,G36008101211
3651000,G36006100301
