Houston-The Woodlands-Sugar Land, TX — Degree Distribution Report
============================================================

1990  |  block_groups_in_cbsa_26420_1990_march_2020_vintage_connected.json
  Rank  Degree  Tract
  -------------------------------------------------------
     1      17  480039006242
     2      17  480201002331
     3      16  48020100201022
     4      16  48020100424027
     5      15  48020100359321
     6      14  480167012342
     7      14  480201002432
     8      14  480201004212
     9      13  480167012305
    10      13  48020100370209
    11      13  480201004502
    12      13  48020100534013
    13      13  48033900902022
    14      12  48015700701251
    15      12  480167012036
    16      11  48003900620013
    17      11  480039006283
    18      11  48015700702223
    19      11  480157007041
    20      11  48016701216102

2000  |  block_groups_in_cbsa_26420_2000_march_2020_vintage_connected.json
  Rank  Degree  Tract
  -------------------------------------------------------
     1      24  481677241002
     2      21  482013416002
     3      16  481677224004
     4      16  481677239004
     5      15  480396642001
     6      15  481576707001
     7      14  482012122001
     8      13  482012525001
     9      12  480396644006
    10      12  482015430001
    11      12  482014119003
    12      12  482013301006
    13      12  482013419001
    14      12  483396920002
    15      12  482012327001
    16      12  482012102001
    17      12  482013315006
    18      12  481677206001
    19      11  480396643002
    20      11  482013402001

2010  |  block_groups_in_cbsa_26420_2010_march_2020_vintage_connected.json
  Rank  Degree  Tract
  -------------------------------------------------------
     1      25  482013341002
     2      24  480717102003
     3      17  481677261001
     4      16  482013437003
     5      16  482012125003
     6      16  482013436001
     7      16  481677262001
     8      15  480396642001
     9      15  481576707001
    10      14  482014544001
    11      14  481677239004
    12      14  481677241011
    13      14  481576729001
    14      13  480396644002
    15      13  482015432002
    16      13  482012525001
    17      13  482012532002
    18      13  481576720011
    19      12  482012124002
    20      12  482013315006

2020  |  block_groups_in_cbsa_26420_2020_march_2020_vintage_connected.json
  Rank  Degree  Tract
  -------------------------------------------------------
     1      28  482013428022
     2      23  480717102023
     3      21  481677261011
     4      21  481677220013
     5      18  482014544001
     6      17  481677206051
     7      17  481576707001
     8      16  482015432022
     9      16  482013341013
    10      16  482013437003
    11      15  480396642001
    12      15  481677262001
    13      15  482012125003
    14      14  481576720031
    15      14  481677241011
    16      13  482013341022
    17      13  482012327042
    18      13  482013131021
    19      13  481576746023
    20      13  482013506011
